Graduation_year,count
,1
1773,1
1777,4
1793,2
1796,1
1858,1
1860,1
1863,4
1865,1
1868,1
1873,1
1882,2
1883,1
1884,10
1885,4
1890,2
1893,2
1894,1
1895,1
1897,3
1898,1
1901,1
1905,1
1907,1
1908,1
1918,2
1919,19
1921,1
1927,2
1933,1
1938,1
1939,1
1940,1
1942,4
1943,16
1944,7
1945,18
1946,22
1947,39
1948,59
1949,72
1950,102
1951,127
1952,248
1953,248
1954,387
1955,625
1956,693
1957,927
1958,1033
1959,1309
1960,1994
1961,2199
1962,2933
1963,3547
1964,3776
1965,4747
1966,5514
1967,6457
1968,8065
1969,9290
1970,11074
1971,12509
1972,16031
1973,17034
1974,20034
1975,21562
1976,25408
1977,26852
1978,30203
1979,34027
1980,35599
1981,37333
1982,41150
1983,40983
1984,44442
1985,43441
1986,43813
1987,43543
1988,45695
1989,45572
1990,44037
1991,45710
1992,48285
1993,47709
1994,48407
1995,52082
1996,55054
1997,56772
1998,59355
1999,60217
2000,61518
2001,62803
2002,62336
2003,61986
2004,61454
2005,61538
2006,61971
2007,61385
2008,61013
2009,57344
2010,48607
2011,44775
2012,33687
2013,34465
2014,23882
2015,202
