latitude,longitude,count
33.606379,-86.50249,12
33.592585,-86.95969,5
33.232422,-86.80871,141
32.903432,-85.92669,128
34.323715,-86.49278,76
34.29254,-86.63505,3
33.405559,-86.95141,9
33.346817,-86.95252,130
33.443039,-87.0193,13
32.915182,-87.21488,71
33.107572,-86.74996,16
32.963486,-87.13867,20
33.317093,-86.66295,23
33.268471,-86.35582,12
32.834501,-86.64355,114
33.201789,-86.61584,9
34.167893,-86.82506,146
34.223732,-86.7562,218
33.731278,-87.0361,7
33.476908,-86.91684,2
33.611297,-86.81518,25
33.67933,-86.8206,227
34.043589,-86.80644,7
33.337092,-86.44085,1
33.280625,-86.88411,8
34.198738,-86.59814,4
32.96512,-86.74405,8
33.530698,-86.55506,4
33.605233,-86.12079,14
33.279946,-87.10148,16
33.114972,-86.8738,5
33.944897,-86.45813,119
33.317471,-86.78726,59
33.606663,-86.28912,44
33.728568,-86.66052,39
33.487675,-86.97331,1
33.561597,-86.30285,2
32.8697,-86.2822,20
33.781133,-86.45052,6
33.753474,-87.04756,17
33.185782,-86.25105,80
33.415449,-86.10908,46
33.623485,-86.58546,31
33.82343,-86.81569,136
33.118259,-87.13548,2
33.544622,-86.929208,14
33.519055,-86.8097,7
33.497055,-86.8057,627
33.568573,-86.72163,4
33.560652,-86.81897,6
33.494545,-86.88115,31
33.468306,-86.80814,829
33.546051,-86.66963,22
33.479306,-86.85878,326
33.542004,-86.74896,13
33.507637,-86.74161,360
33.558772,-86.89199,1
33.636102,-86.69506,11
33.420558,-86.78489,280
33.590003,-86.76708,1
33.506456,-86.89524,8
33.524254,-86.77335,1
33.488355,-86.73402,47
33.406409,-86.8295,41
33.454262,-86.92273,2
33.509623,-86.7997,7124
33.538504,-86.80602,60
33.609779,-86.65507,514
33.409582,-86.69684,312
33.437667,-86.74586,167
33.356981,-86.81577,276
33.544622,-86.929208,7
33.544622,-86.929208,233
33.544622,-86.929208,1
33.544622,-86.929208,25
33.193818,-87.56843,452
33.217168,-87.49461,42
33.149246,-87.52303,34
33.271585,-87.50611,230
33.095505,-88.18653,4
33.254197,-88.16866,26
32.931143,-87.93837,13
33.299935,-87.88368,65
32.558949,-88.12485,2
33.260567,-87.58945,47
32.962981,-87.61717,2
33.227736,-87.58819,137
33.399471,-88.02086,4
33.828412,-87.27632,216
33.901993,-87.293888,12
33.907546,-87.29957,11
33.883566,-87.2125,21
34.223057,-87.17232,2
34.146713,-87.39317,4
33.681768,-87.83026,102
33.972007,-87.90302,7
34.262751,-87.83441,2
34.225425,-87.6118,206
34.149717,-88.00384,33
34.049426,-87.57065,2
33.701484,-87.27103,8
34.343017,-87.71277,1
34.448328,-88.12041,10
33.823683,-87.08699,1
33.864591,-88.13117,8
33.752857,-88.0996,137
33.925454,-87.78949,254
34.595332,-86.98786,235
34.539072,-86.95732,199
34.784028,-87.02767,104
34.808165,-86.89623,93
34.665033,-87.30978,2
34.930354,-86.9809,4
34.340484,-86.89176,1
34.817537,-87.66253,337
34.869964,-87.706859,9
34.898897,-87.77379,12
34.888897,-87.60731,17
34.442184,-86.94027,88
34.904208,-87.50776,18
34.966009,-87.38262,2
34.496476,-87.27802,98
34.843309,-87.29937,18
34.519453,-87.78077,183
34.516472,-87.65265,2
34.759738,-87.69317,156
34.759947,-87.62705,134
34.757152,-87.966575,10
34.67373,-86.94986,4
34.64248,-87.41166,1
34.70017,-87.7142,23
34.972309,-86.81352,4
34.943871,-85.73077,4
34.720813,-86.48932,3
34.610055,-85.91553,2
34.500216,-86.27889,4
34.710942,-86.38995,3
34.815817,-86.76003,6
34.948321,-86.58988,11
34.520438,-86.61977,2
34.630103,-86.80159,2
34.715065,-86.73964,204
34.863236,-86.56137,3
34.902137,-86.44272,1
34.624533,-86.47069,11
34.695645,-85.80484,6
34.712327,-86.08387,85
34.606124,-86.06464,5
34.546397,-85.98279,9
34.877531,-85.84528,12
34.90267,-86.71367,4
34.72879,-86.57316,1257
34.666041,-86.55929,456
34.603017,-86.54293,16
34.728366,-86.585312,2
34.711291,-86.61691,130
34.748066,-86.68317,47
34.623075,-86.6647,1
34.78108,-86.53163,14
34.73969,-86.62464,22
34.654126,-86.73987,4
34.016747,-85.99282,198
33.996698,-85.92496,164
34.032097,-86.0353,15
33.942031,-85.93993,1
33.943964,-86.06154,74
33.906415,-86.02665,12
34.261878,-86.22835,90
34.313014,-86.19282,14
34.057496,-86.32225,5
33.825516,-86.24231,3
34.043263,-86.08904,3
34.155318,-86.13237,8
34.203621,-86.1728,119
34.141067,-85.60472,27
34.279268,-85.85634,5
34.297717,-86.036,2
34.429472,-85.71078,29
34.460537,-85.76744,35
34.350835,-86.30475,68
34.637589,-85.73274,9
34.189256,-85.76816,2
34.500878,-85.83763,17
34.5852,-85.65125,2
34.066644,-86.30438,1
32.439967,-86.68801,2
31.678393,-85.82425,6
31.843675,-85.43298,1
32.612619,-86.39497,2
32.697561,-86.016,1
31.876168,-85.17362,23
31.655458,-86.76737,10
31.8007,-86.60591,28
31.737407,-86.26946,12
32.492335,-86.36692,7
32.318234,-86.09585,1
32.459435,-86.42746,52
32.488113,-86.52962,80
32.553036,-85.9136,59
31.780847,-85.992,18
31.852825,-85.92314,65
32.427987,-85.69542,8
32.145437,-85.70998,5
32.592889,-86.21902,33
32.505741,-86.15644,13
32.377509,-86.31068,2
32.30234,-86.30504,5
32.354888,-86.27161,351
32.378138,-86.27905,2
32.353188,-86.36037,1
32.386088,-86.24511,14
32.338989,-86.27316,41
32.31324,-86.23672,315
32.373714,-86.16443,226
32.233377,-86.208528,3
33.658803,-85.85178,42
33.762195,-85.837828,24
33.591301,-85.83571,46
33.711314,-85.78527,10
33.719701,-85.83166,5
33.651673,-85.75895,200
33.766057,-85.88969,3
33.243964,-85.84503,64
33.613541,-85.55457,5
33.824496,-85.77037,40
33.328958,-85.72073,6
33.51179,-85.94756,1
33.79933,-86.0286,2
33.948018,-85.61491,6
33.159848,-85.36865,42
33.338853,-85.509,13
33.366136,-85.36501,8
31.180076,-85.4045,752
31.249042,-85.40605,77
31.156018,-85.355931,1
31.214832,-85.47402,276
31.599256,-85.2094,3
31.051843,-85.31561,1
31.284499,-85.72111,6
31.428389,-86.07271,3
31.32579,-85.84117,98
31.043454,-85.87941,8
31.096994,-85.7001,3
31.381263,-85.3149,1
31.447119,-85.62908,52
31.461019,-86.96271,74
31.279043,-86.48699,85
31.129008,-87.10173,36
31.091784,-87.26404,3
31.023139,-87.23957,2
31.042071,-86.34347,2
31.786539,-87.72688,2
31.704736,-87.77773,9
31.509039,-87.32416,100
31.280048,-86.25484,23
31.091359,-86.04782,3
31.090528,-87.49715,53
30.875697,-87.76592,39
30.401384,-88.24671,2
31.463383,-88.26781,17
31.0753,-88.2633,89
31.790834,-88.06933,2
30.620594,-87.88312,173
30.684873,-87.89723,76
30.377657,-87.56159,5
30.512458,-87.88559,166
30.484131,-87.860613,2
30.396876,-87.69616,121
30.42216,-87.706371,5
30.487783,-88.32722,3
30.262276,-87.72784,126
30.479171,-88.23793,8
31.508231,-87.88346,87
30.265325,-87.629926,1
30.393983,-87.45664,70
30.564701,-87.90216,1
31.088463,-88.03007,2
30.291503,-87.56198,142
30.5822,-87.63936,34
30.831636,-88.09386,23
30.540664,-87.7549,1
30.485351,-87.71292,1
30.533744,-88.16865,65
30.701142,-88.103184,6
30.693389,-88.04416,12
30.688457,-88.05341,31
30.68164,-88.06676,119
30.674057,-88.10249,83
30.699539,-88.10474,348
30.69044,-88.19701,910
30.662735,-88.16255,56
30.764938,-88.08505,1
30.64109,-88.062248,2
30.717539,-88.09609,327
30.728488,-88.16845,4
30.586808,-88.18552,8
30.696589,-88.173652,18
30.630441,-88.15397,151
30.646415,-88.23657,145
32.429066,-87.03809,104
32.008444,-87.25911,8
32.495484,-87.84521,70
32.703529,-87.60177,27
32.297441,-87.78812,6
32.789726,-86.8496,2
32.114999,-87.90187,4
31.936003,-87.77013,154
32.440868,-87.49657,13
32.660497,-85.39917,290
32.577135,-85.47282,93
32.589553,-85.53991,35
32.799998,-85.64621,1
32.787441,-85.79955,23
32.777662,-85.17623,31
32.903922,-85.42905,2
32.871306,-85.21314,2
32.492304,-85.01943,85
32.484671,-85.0752,1
32.545138,-85.09212,4
32.097363,-88.22647,19
31.96958,-88.18661,2
32.487726,-88.2679,5
