latitude,longitude,count
48.008825,-97.35424,2
34.506487,-93.01941,1
33.451143,-112.07838,19
33.451093,-112.07057,984
33.466392,-112.04875,915
33.449995,-112.09024,225
33.466393,-112.0008,435
33.45635,-112.12378,63
33.505251,-112.0703,347
33.50711,-112.08483,1009
33.511325,-112.05711,175
33.50689,-112.10262,337
33.503742,-112.03235,932
33.514092,-112.12285,143
33.498076,-111.98603,353
33.511992,-112.1417,81
33.563663,-112.05519,325
33.559437,-112.09281,220
33.630497,-112.0521,177
33.638271,-112.09341,22
33.675564,-112.04717,17
33.698731,-112.11429,369
33.585037,-112.00815,116
33.598841,-112.12023,129
33.493496,-112.17108,261
33.62414,-112.00416,797
33.496091,-112.21405,137
33.437772,-112.0281,14
33.472492,-112.1875,19
33.493006,-112.25539,321
33.393323,-112.02857,19
33.386995,-112.10076,10
33.381234,-112.02766,58
33.333591,-111.99246,81
33.29974,-112.09812,1
33.302098,-112.02477,165
33.683603,-111.99271,171
33.559783,-112.13361,122
33.629911,-112.13122,92
33.689558,-111.96463,42
33.276539,-112.18717,2
33.77776,-112.07945,47
33.831866,-112.06339,62
33.427135,-111.75848,1
33.432177,-111.84701,144
33.381097,-111.8756,417
33.437493,-111.806,50
33.400127,-111.78594,221
33.426932,-111.71686,83
33.400306,-111.72452,638
33.436767,-111.64338,26
33.393967,-111.64302,31
33.391233,-111.84129,125
33.35035,-111.64535,26
33.434192,-111.76892,157
33.479868,-111.6935,68
33.393398,-111.47897,14
33.349996,-111.41823,10
33.416083,-111.5762,51
32.878138,-111.73499,68
33.328951,-111.8735,895
33.316349,-111.83064,77
33.312208,-111.93177,193
32.961615,-111.31629,128
33.348593,-111.80833,122
33.36344,-111.75093,339
33.09977,-110.97202,2
32.989261,-112.11505,20
33.227266,-111.61087,14
33.107581,-111.75128,1
33.239097,-111.86355,106
33.237229,-111.8004,43
33.521433,-111.90944,18
33.494152,-111.92079,399
33.544596,-111.95645,38
33.617504,-111.95416,422
33.697268,-111.88321,160
33.491302,-111.83509,18
33.467347,-111.91741,168
33.566635,-111.89337,891
33.596995,-111.82628,695
33.606004,-111.88699,435
33.276539,-112.18717,1
33.798581,-111.8708,3
33.617643,-111.67554,3
33.276539,-112.18717,24
33.604811,-111.72852,98
33.426885,-111.92733,471
33.394067,-111.92873,343
33.365951,-111.93155,240
33.338333,-111.92962,238
33.850506,-112.05927,51
33.319722,-111.76078,245
33.272322,-111.71417,100
33.534128,-112.1767,15
33.568143,-112.17699,411
33.528166,-112.22189,1
