latitude,longitude,count
33.972914,-118.24878,9
33.962714,-118.276,359
34.07711,-118.30755,137
34.058911,-118.30848,759
34.048351,-118.2943,133
34.026448,-118.2829,425
34.009754,-118.33705,145
34.062709,-118.31481,76
34.007063,-118.25868,8
34.061611,-118.23944,465
34.044662,-118.24255,505
34.042912,-118.25193,124
34.038993,-118.26516,217
34.029711,-118.35255,2
34.052561,-118.26434,223
34.029112,-118.3183,6
34.048411,-118.34015,53
34.06646,-118.30863,124
34.029313,-118.24182,2
34.023662,-118.15581,499
34.023039,-118.20231,76
34.063209,-118.43643,384
34.045006,-118.44527,375
34.07851,-118.26596,94
34.111208,-118.28842,2218
34.098859,-118.32745,33
34.090259,-118.29455,44
34.07871,-118.2161,5
34.08166,-118.17568,7
34.050411,-118.21195,958
34.03056,-118.39804,398
34.05266,-118.38531,76
34.07036,-118.34926,135
34.002063,-118.28737,66
34.089459,-118.3285,466
34.110425,-118.25832,22
33.997492,-118.15284,6
34.137557,-118.20765,22
34.114558,-118.19233,110
33.987463,-118.334,15
33.953814,-118.29158,44
33.960041,-118.3949,246
34.098908,-118.36241,78
33.958464,-118.30998,8
34.073759,-118.37376,1845
34.067409,-118.47528,76
34.061911,-118.27687,293
33.927471,-118.24778,561
33.923365,-118.27591,5
34.003213,-118.3078,342
34.045161,-118.1865,15
34.03457,-118.42843,167
34.107559,-118.22663,10
34.002011,-118.43083,73
34.056709,-118.41183,118
34.122058,-118.3379,36
34.090975,-118.3813,79
34.052709,-118.2559,2
34.101007,-118.45077,2
33.786594,-118.29866,28
33.786594,-118.29866,1776
33.972814,-118.17385,40
34.088808,-118.40612,427
34.066009,-118.38271,778
34.060859,-118.40191,176
33.890566,-118.23666,52
33.893265,-118.204,84
33.910716,-118.23624,341
33.997179,-118.40145,83
34.021611,-118.39168,135
33.958363,-118.11987,42
33.942289,-118.12901,156
33.92018,-118.14291,1164
33.921313,-118.40843,52
33.891265,-118.2975,150
33.870466,-118.28813,2
33.899265,-118.319,49
33.914614,-118.35092,141
33.866314,-118.39968,28
33.978404,-118.21773,225
33.888364,-118.35355,96
33.924642,-118.20186,154
34.051056,-118.80768,23
33.88898,-118.40535,113
33.988813,-118.18642,8
34.050505,-118.53374,68
33.784099,-118.38752,53
33.758216,-118.36425,45
33.828815,-118.38322,647
33.871214,-118.37177,23
33.944264,-118.1949,27
34.101447,-118.59933,4
33.992411,-118.46531,28
33.976373,-118.45458,110
33.957012,-118.44167,2
33.955913,-118.35868,656
33.975263,-118.35558,1
33.934164,-118.33255,5
33.936163,-118.36076,15
33.960263,-118.3252,6
34.01491,-118.4922,147
34.036759,-118.50121,8
34.032159,-118.49022,283
34.026959,-118.47432,1620
34.009276,-118.47286,404
33.828766,-118.31367,211
33.833416,-118.29198,859
33.840264,-118.35587,384
33.870414,-118.33065,20
33.810848,-118.35096,980
34.002333,-118.03562,38
33.967562,-118.03384,444
33.941363,-117.99477,52
33.929163,-118.009,11
33.945413,-118.03362,81
33.978312,-118.06778,29
33.841014,-118.00969,41
33.875714,-117.99404,31
33.849327,-118.04395,62
33.817481,-118.0399,25
33.934513,-117.95159,42
33.90213,-118.00966,53
34.014212,-118.11358,182
33.906914,-118.08339,211
33.989013,-118.08912,82
33.933551,-118.06821,7
33.803565,-117.99596,9
33.867215,-118.08062,37
33.868314,-118.06754,142
33.368642,-118.40835,6
33.888165,-118.1276,1337
33.797317,-118.30065,860
33.851965,-118.1468,182
33.847265,-118.11337,22
33.840965,-118.07775,1
33.828565,-118.07364,34
33.793384,-118.31611,85
33.794028,-118.07218,392
33.899915,-118.16231,57
33.732368,-118.28905,185
33.736718,-118.31123,154
33.759283,-118.08239,76
33.718167,-118.07179,1
33.784018,-118.25897,380
33.823765,-118.2668,424
33.857416,-118.25633,7
33.801783,-118.16869,32
33.769018,-118.19225,28
33.761117,-118.12986,62
33.783467,-118.15182,73
33.865916,-118.18362,94
33.801767,-118.1858,581
33.828366,-118.18235,169
33.823316,-118.11329,206
33.781011,-118.19197,546
33.771167,-118.14482,13
33.795049,-118.11824,153
34.192102,-118.14206,8
34.134057,-118.02662,177
34.126957,-118.05216,326
34.137707,-117.96569,288
34.211171,-118.19776,31
34.140806,-118.00184,400
34.211494,-118.23104,27
34.164806,-118.0509,8
34.112958,-118.15577,55
34.261221,-118.31887,2
34.256952,-118.28453,2
34.146607,-118.1391,225
34.166706,-118.159,28
34.169356,-118.12392,16
34.137857,-118.16329,796
34.142557,-118.12715,126
34.151066,-118.08974,99
34.122658,-118.11296,21
33.786594,-118.29866,3
34.17013,-118.29158,109
34.166567,-118.26994,64
34.152757,-118.2658,100
34.135259,-118.25948,273
34.138514,-118.243,120
34.156674,-118.22937,664
34.165373,-118.24532,8
34.189605,-118.22857,134
34.232003,-118.24753,7
34.139536,-118.7607,101
34.133513,-118.66464,125
34.198204,-118.60206,77
34.218654,-118.62538,68
34.209407,-118.57735,6
34.197737,-118.64797,307
34.259052,-118.59426,12
34.168753,-118.51636,173
34.175038,-118.93956,101
34.377782,-118.51489,131
34.240353,-118.55038,92
34.235055,-118.51766,474
