latitude,longitude,count
39.795006,-105.0981,69
39.825357,-105.06439,87
39.81431,-105.12263,15
39.843304,-105.11896,33
39.833442,-105.18591,5
39.739387,-104.8621,5
39.739737,-104.80905,30
39.698387,-104.83956,489
39.659105,-104.7791,18
39.665637,-104.83421,3181
39.623896,-104.77723,19
39.595115,-104.7485,70
39.695269,-104.78439,4
39.93404,-105.05454,102
39.881608,-105.09953,38
39.836586,-104.9039,37
40.002156,-105.10036,328
39.963322,-105.15053,156
39.830936,-105.03736,7
39.866785,-105.04143,92
39.774341,-105.10036,647
39.746736,-104.83836,1426
39.385141,-104.85962,73
39.397242,-104.58696,6
39.453833,-104.88540,28
39.380857,-104.89947,35
39.646847,-104.99076,305
39.610431,-104.88139,503
39.579454,-104.88288,306
39.355957,-104.7241,5
39.599687,-105.00658,301
39.607386,-104.95805,33
39.582604,-104.95834,287
39.616114,-105.07393,243
39.543478,-104.89644,261
39.479365,-105.06708,3
39.544549,-104.96808,35
39.599755,-105.13052,134
39.576838,-105.07882,23
39.539556,-105.00973,64
39.541571,-104.92152,49
39.098692,-104.8684,37
39.508608,-104.78031,90
39.776934,-104.30997,9
39.523171,-104.70607,271
39.751586,-104.99699,133
39.731286,-104.98306,279
39.734686,-105.01966,557
39.758986,-104.96678,22
39.731237,-104.95243,253
39.759386,-104.91945,10
39.706535,-104.96698,73
39.679437,-104.96473,916
39.767536,-105.01973,56
39.770336,-105.04688,47
39.745526,-105.06251,37
39.744437,-105.10441,36
39.731237,-104.97133,1572
39.698137,-105.03483,15
39.734387,-104.91678,195
39.816536,-105.01123,4
39.669237,-104.92766,333
39.699156,-104.99999,1
39.688437,-104.91348,28
39.71222,-105.08918,113
39.668576,-105.09191,37
39.688278,-105.14558,201
39.859585,-104.95943,181
39.721763,-104.89627,54
39.681687,-104.88338,20
39.690387,-105.08866,17
39.903043,-104.9544,27
39.9091,-105.00829,84
39.648328,-105.08431,7
39.652454,-105.04089,2
39.643637,-104.90406,27
39.738752,-104.40834,12
39.929566,-104.94931,24
39.705318,-104.93113,130
39.693573,-104.87664,3
39.793686,-104.73913,51
39.868635,-105.00805,75
40.044385,-105.21928,113
40.020885,-105.29673,66
39.989135,-105.22883,119
40.039784,-105.27938,512
39.979691,-105.25258,23
40.087835,-105.37350,3
39.735745,-105.19337,252
39.827903,-105.32256,30
39.460306,-105.476,36
39.813744,-105.50875,14
39.478893,-106.03747,13
39.514738,-105.31198,29
39.607479,-105.97937,9
39.642572,-105.36812,62
39.22106,-106.0065,22
39.949217,-105.83438,2
39.532506,-106.14029,182
40.142434,-105.95502,7
39.737369,-105.56054,38
40.14711,-106.42854,10
39.231776,-106.31399,7
39.620748,-105.18121,1
39.964486,-105.50805,4
40.266778,-106.92849,2
40.348242,-106.92691,2
39.915508,-105.78359,4
40.502772,-106.87521,172
39.722417,-106.13744,5
40.171484,-105.10033,418
40.156035,-105.17365,27
40.160138,-105.01772,22
40.294423,-105.08431,7
40.083475,-104.93581,2
40.051051,-105.02767,12
40.370415,-105.51722,46
40.586282,-105.10494,41
40.45553,-105.46483,2
40.606962,-105.05106,348
40.532354,-105.0535,277
40.539432,-105.11576,164
40.502779,-105.01123,295
40.335398,-104.91477,22
40.67069,-105.17388,2
40.878334,-105.40415,2
40.383636,-105.10349,62
40.435645,-105.08726,600
40.253033,-105.33762,2
40.234505,-104.99747,12
40.332926,-104.85394,1
40.824993,-105.63525,18
40.528966,-104.98083,2
40.762264,-105.01233,3
40.47997,-104.90227,31
39.973251,-104.82407,85
39.958987,-104.90892,2
40.61798,-104.66762,2
40.529241,-104.71181,5
40.090367,-104.79723,15
40.421845,-104.69175,662
40.407853,-104.75498,599
40.399281,-104.70172,6
40.078242,-104.49916,1
40.332131,-104.68704,1
40.226357,-103.80625,41
40.124199,-103.18362,2
40.23045,-103.60824,28
40.593911,-102.58831,2
40.582954,-102.30451,9
40.916929,-102.21858,2
40.633845,-103.21574,53
40.064734,-102.21336,9
40.169249,-102.69005,14
39.3124,-102.25094,10
38.977375,-104.32017,4
38.846982,-102.37913,12
38.75604,-105.1497,18
39.348989,-103.07103,1
38.674013,-104.69627,22
38.940813,-105.01363,1
38.853663,-104.93485,2
38.96634,-104.54313,25
38.996004,-105.06335,94
39.085706,-105.23659,2
38.834282,-104.81654,252
38.850558,-104.86481,20
38.837542,-104.83632,38
38.791242,-104.82492,118
38.873692,-104.81869,892
39.035216,-104.69575,3
38.851493,-104.77856,835
38.813044,-104.77158,130
38.746807,-104.7232,11
38.858644,-104.70892,2
38.888394,-104.73975,197
38.916226,-104.76602,192
38.925451,-104.85255,122
38.952366,-104.76701,291
39.044969,-104.83755,9
38.897344,-104.70145,4
39.527772,-106.03941,18
38.282872,-104.57029,66
38.281052,-104.62567,130
38.197344,-104.6331,550
38.235865,-104.66972,22
38.243266,-104.52912,4
38.333601,-104.74329,9
38.370203,-104.61964,358
37.887346,-104.61361,1
38.089719,-104.37807,20
38.467553,-102.80439,2
38.060575,-102.19677,103
37.995879,-103.54001,61
38.08759,-102.61855,24
38.037435,-103.18631,1
37.499829,-105.02943,2
38.253191,-103.76209,1
38.042083,-103.72231,1
37.909758,-104.89892,1
37.409787,-102.61726,6
37.191882,-104.47809,39
37.621071,-104.80456,28
37.347009,-102.26776,2
37.471802,-105.83471,93
37.329743,-107.59026,6
37.945768,-105.69706,4
37.731981,-106.39774,11
37.099348,-107.64223,13
37.274108,-106.05178,1
37.569501,-106.14946,3
