latitude,longitude,count
41.789698,-72.86431,283
41.832798,-72.72642,130
41.879637,-72.734271,3
41.682249,-72.93365,929
41.758415,-72.94642,5
42.02351,-73.31103,10
41.834247,-72.89174,9
41.612748,-72.72017,1
42.010733,-73.26877,1
41.935501,-72.72718,9
41.909147,-72.45026,30
41.791776,-72.718832,339
41.725195,-72.83032,611
41.707932,-72.57085,165
41.959713,-72.79826,13
41.619048,-72.76734,33
41.951783,-73.43722,6
41.778888,-72.52384,595
41.771265,-72.43669,2
41.666049,-72.778391,378
41.666249,-72.76996,142
41.659099,-72.80129,702
41.686949,-72.7908,64
41.852712,-73.00492,2
42.012195,-72.8445,1
41.671548,-72.86294,34
41.841615,-72.46708,164
41.660949,-72.66098,47
42.014673,-73.42408,1
41.866222,-73.46331,66
41.874064,-72.81644,14
41.995851,-72.45336,4
41.836665,-72.56076,59
41.979871,-72.27863,51
41.985946,-72.63897,11
41.907114,-72.76831,3
41.987238,-72.56365,197
41.87688,-72.36806,13
41.749832,-72.8898,10
41.908464,-72.60547,6
41.839731,-72.81974,7
41.857303,-72.66654,169
41.926997,-72.64688,6
41.925967,-73.06944,255
41.791776,-72.718832,577
41.767049,-72.67433,5
41.771166,-72.70255,829
41.7469,-72.69593,500
41.75275,-72.7546,125
41.778316,-72.62313,48
41.702049,-72.6747,445
41.7313,-72.73374,12
41.688899,-72.73101,55
41.793299,-72.6954,135
41.7387,-72.67889,1
41.791399,-72.74853,81
41.745349,-72.60807,20
41.76255,-72.72839,44
41.784794,-72.67378,53
41.791776,-72.718832,25
41.714867,-72.20934,69
41.847302,-72.02528,1
41.629818,-72.36419,3
41.782474,-71.95989,10
41.809166,-72.11274,2
41.702777,-72.29349,12
41.778651,-72.33137,2
41.799111,-71.87594,6
41.850225,-71.85749,31
41.767929,-72.06127,3
41.683399,-72.40144,4
41.768455,-72.20007,21
41.609066,-72.14439,19
41.989579,-71.89659,2
41.758713,-72.13964,4
41.876565,-71.98252,1
41.913816,-71.88434,161
41.806041,-72.26127,18
41.895108,-72.17674,2
41.896875,-72.27456,3
41.971403,-71.99872,3
41.352498,-72.10338,490
41.697123,-72.0029,1
41.371913,-72.2269,31
41.543559,-72.17684,1
41.426775,-72.07227,11
41.345331,-72.04524,193
41.604341,-71.97599,7
41.360798,-71.97281,55
41.319649,-72.21064,14
41.456189,-71.86813,6
41.533848,-72.06232,308
41.509586,-71.96621,1
41.339421,-72.31008,22
41.684777,-71.91911,10
41.351307,-71.91317,11
41.375701,-71.84876,4
41.457198,-72.11459,15
41.347948,-72.14762,68
41.34269,-73.07446,48
41.432936,-73.06453,2
41.277763,-72.80542,106
41.353453,-72.41604,5
41.507049,-72.90489,77
41.408775,-72.47213,43
41.288599,-72.52728,15
41.56033,-72.33795,18
41.612046,-72.66998,20
41.323005,-73.08433,351
41.380594,-72.57637,3
41.485469,-72.25445,2
41.461639,-72.68733,11
41.573008,-72.5078,1
41.351598,-72.39787,32
41.163445,-73.2629,5
41.31353,-72.69791,111
41.45307,-72.50345,2
41.468654,-72.57956,3
41.298648,-72.60938,37
41.637066,-72.46252,7
41.532048,-72.78145,89
41.536048,-72.81973,127
41.514383,-72.7183,1
41.553672,-72.6632,617
41.21953,-73.0554,251
41.565697,-72.903746,3
41.336046,-73.22241,54
41.398462,-73.31474,45
41.332197,-72.77214,5
41.399873,-72.77975,1
41.378447,-72.85897,78
41.289348,-72.38285,160
41.279547,-73.02541,134
41.428163,-73.12729,12
41.575847,-72.89696,23
41.588297,-72.60384,6
41.411536,-73.24888,7
41.386584,-73.0792,4
41.306396,-73.1292,96
41.475263,-73.22184,700
41.612298,-72.87103,70
41.457711,-72.81704,235
41.289499,-72.46087,67
41.304697,-72.93561,91
41.306197,-72.92479,114
41.317197,-72.92798,247
41.276497,-72.87412,20
41.315797,-72.8803,12
41.357947,-72.93765,22
41.327997,-72.96902,16
41.272147,-72.96496,58
41.348297,-72.90712,13
41.413114,-72.90409,241
41.295197,-72.93673,1489
41.352964,-73.01212,67
41.178696,-73.20004,55
41.163596,-73.21633,14
41.209496,-73.20771,448
41.188746,-73.1813,6
41.202091,-73.1708,225
41.256129,-73.21227,148
41.219246,-73.13221,831
41.175947,-73.13515,134
41.555846,-73.0431,113
41.57693,-73.03488,19
41.54903,-72.99861,13
41.537896,-73.02827,198
41.551601,-73.06262,422
41.569496,-73.04484,14
41.501856,-72.97799,36
41.594785,-72.97889,23
41.721024,-73.24774,2
41.729239,-73.45553,4
41.754255,-73.21268,18
41.532992,-73.11555,70
41.493763,-73.05173,36
41.581494,-73.41313,36
41.697487,-73.3435,3
41.662281,-73.0482,1
41.557711,-73.30816,1
41.566534,-73.4915,4
41.676415,-73.00836,1
41.677982,-73.08979,2
