latitude,longitude,count
18.205232,-67.12655,1
18.332595,-66.98104,3
29.928691,-82.91032,6
30.567684,-81.84051,83
30.108128,-82.72529,25
30.155229,-82.62165,63
30.641487,-81.46092,143
29.97289,-81.72195,13
30.491893,-82.94876,6
30.005135,-82.38103,18
30.216073,-82.6396,144
30.285127,-83.04106,5
30.267664,-82.12457,147
30.331517,-82.957151,30
30.133007,-81.77904,60
30.084849,-83.21849,2
30.074926,-81.87932,47
30.160965,-81.72916,483
29.838279,-81.275174,54
29.50199,-81.600108,6
30.189934,-81.38213,108
29.87131,-81.29464,51
29.811123,-81.30987,372
29.937512,-82.11706,55
29.955409,-81.51284,59
29.923718,-81.33962,8
30.63928,-81.59442,92
29.174417,-81.56319,2
29.445826,-81.30203,14
29.425693,-81.55686,4
29.204009,-81.03602,409
29.238606,-81.05316,329
29.210309,-81.00259,10
29.153239,-81.02229,38
29.105506,-81.08642,2
29.116361,-80.98175,170
29.080251,-81.045962,10
29.022729,-81.172169,67
29.668112,-81.59005,70
28.982714,-80.911,19
29.401523,-81.83636,4
29.47033,-81.13316,7
29.581683,-81.21645,123
28.944915,-80.89524,8
29.640791,-81.88648,1
28.930573,-81.93806,342
28.945246,-81.987609,106
29.499591,-81.22328,195
29.016897,-80.95736,90
28.998887,-80.87561,33
29.284924,-81.10296,405
29.316606,-81.05611,22
29.666218,-81.67401,220
29.476035,-81.66331,1
29.003387,-81.89262,6
30.328539,-81.65101,3
30.323806,-81.68174,872
30.307439,-81.72044,86
30.351006,-81.64664,171
30.294389,-81.6374,1456
30.392888,-81.67933,166
30.354588,-81.69113,995
30.268572,-81.73987,41
30.333022,-81.586,14
30.28374,-81.58359,1094
30.24354,-81.62098,145
30.449096,-81.65651,202
30.411564,-81.76653,2
30.292631,-81.80502,41
30.230272,-81.81255,69
30.159091,-81.63073,68
30.284511,-81.47043,709
30.348585,-81.49965,128
30.453405,-81.52551,35
30.343407,-81.40949,9
30.34494,-81.683107,2
30.222489,-81.74894,157
30.296911,-81.52228,198
30.284641,-81.39844,578
30.336038,-81.72509,55
30.206922,-81.54604,445
30.192434,-81.60597,90
30.148209,-81.56882,176
30.092346,-81.60274,22
30.316641,-81.40308,11
30.364339,-81.59087,134
30.431283,-84.26903,67
30.486061,-84.31528,34
30.446766,-84.32394,6
30.531677,-84.16049,1097
30.514599,-84.188446,19
30.400318,-84.34803,1
30.403146,-84.18841,10
30.554434,-84.25979,62
30.479347,-84.346204,1
29.71877,-85.02704,19
29.912584,-84.6407,4
30.687983,-84.8218,7
30.194939,-84.35533,12
29.825252,-84.89247,5
30.442203,-83.65112,28
30.607352,-84.41376,4
30.476181,-83.40303,20
30.530854,-83.88017,5
30.080602,-83.58119,51
29.966454,-83.659371,3
30.573563,-84.6147,16
30.161901,-85.65297,133
30.188585,-85.56392,21
30.195424,-85.66458,482
30.196771,-85.81279,20
30.154621,-85.76367,4
30.252616,-85.90413,12
30.42007,-85.07299,10
30.838337,-85.67495,29
30.636228,-85.5775,50
30.747244,-86.14665,43
30.603777,-86.12111,24
30.482838,-86.1675,1
30.935306,-85.52171,9
30.239849,-85.64577,39
30.804698,-85.2206,96
30.675635,-85.23283,28
29.846517,-85.32792,47
30.361248,-86.18759,69
30.045471,-85.22822,3
30.420997,-87.22305,167
30.474288,-87.225691,48
30.447997,-87.20727,224
30.48787,-87.18937,519
30.441994,-87.25472,51
30.408807,-87.31919,16
30.360887,-87.33451,15
30.527195,-87.21485,298
30.479002,-87.31996,24
30.600993,-87.31979,4
30.526345,-87.27734,13
30.969066,-87.30604,2
30.760184,-86.58533,124
30.757479,-86.51088,79
30.391795,-86.4338,65
30.457156,-86.55081,1
30.447248,-86.62113,281
30.414932,-86.61992,50
30.381934,-86.359508,66
30.375469,-87.09013,180
30.659159,-87.04972,192
30.659159,-87.04972,28
30.902015,-87.13267,18
30.435069,-86.89025,43
30.409902,-86.71497,21
30.70969,-87.01098,90
30.627637,-87.16724,60
30.500901,-86.45335,193
30.444975,-86.57331,3
30.507047,-86.49702,5
30.58149,-87.00178,1
29.653195,-82.3244,52
29.653145,-82.3469,2
29.676006,-82.36889,441
29.681426,-82.41502,101
29.646189,-82.39658,145
29.611545,-82.3941,4378
29.713911,-82.29591,20
29.681312,-82.353862,5307
29.681312,-82.353862,3
29.801949,-82.48872,11
29.517277,-82.54518,6
29.764553,-82.87062,22
29.447069,-82.60452,1
29.453178,-82.86837,15
29.630964,-83.1148,4
29.601599,-82.0309,6
29.648594,-82.28621,20
29.823616,-82.60407,11
29.460221,-82.855334,4
29.735832,-82.39008,32
29.788679,-82.00421,20
29.733375,-82.01048,3
29.640613,-82.59446,7
29.598935,-82.82752,7
29.369207,-82.49831,17
28.666249,-81.36796,339
28.658395,-81.50319,64
28.665125,-81.31772,41
28.683408,-81.28151,18
28.713173,-81.52359,8
28.888595,-81.31212,15
28.663913,-81.41112,318
29.021782,-81.33352,161
29.039757,-81.27927,17
28.902426,-81.24515,44
28.850617,-81.68034,82
28.855517,-81.674147,2
28.985274,-81.23495,1
28.758133,-81.33992,255
28.703674,-81.35384,215
28.628359,-81.35942,639
28.707648,-80.89049,3
28.811078,-81.653642,1
28.786272,-81.64475,87
28.945857,-81.30512,443
28.656375,-81.21026,437
28.639275,-81.11906,2
28.803979,-81.28761,133
28.769173,-81.27631,7
28.804039,-81.53689,2
28.799017,-81.73184,116
28.704874,-81.41711,37
28.564077,-80.81695,55
28.948549,-81.70621,8
28.598677,-81.35594,236
28.607077,-81.30606,255
28.623371,-80.84123,172
28.541879,-81.37446,38
28.557579,-81.35244,490
28.577723,-81.3931,405
28.53028,-81.40089,20
28.51483,-81.36054,1133
28.546897,-81.30774,41
28.576028,-81.44369,57
28.463482,-81.38814,17
28.619445,-81.42695,37
28.52493,-81.43994,44
28.493531,-81.32609,20
28.566338,-81.260818,12
28.591692,-81.24717,22
28.583103,-81.48608,13
28.463509,-81.47514,642
28.391608,-81.47345,7
28.494931,-81.28949,53
28.543248,-81.2456,47
28.584177,-81.18634,58
28.425221,-81.30353,5
28.542132,-81.18404,66
28.491653,-81.26436,1
28.395979,-81.17653,3
28.528789,-81.47863,119
28.401151,-81.52488,3
28.385906,-81.41182,185
28.489758,-81.40625,16
28.077494,-80.61987,886
28.103191,-80.57414,24
28.073891,-80.67167,77
28.031689,-80.60014,80
28.012241,-80.67729,64
27.950975,-80.64679,3
28.390932,-80.60501,1
28.366284,-80.74196,21
28.392933,-80.79585,2
28.47123,-80.79887,28
28.326985,-80.61119,379
28.137443,-80.69211,5
28.13926,-80.65077,166
28.172041,-80.59957,67
28.21981,-80.69402,169
27.762118,-80.59472,18
28.01514,-80.53518,1
28.350373,-80.6691,44
28.396301,-80.70198,84
28.308581,-80.72558,299
27.78783,-80.48266,287
27.636828,-80.40294,506
27.582151,-80.39141,6
27.676376,-80.37248,29
27.645377,-80.51468,16
27.724801,-80.49708,5
27.594718,-80.45722,1
27.877504,-80.51457,3
26.051916,-80.14526,17
25.987069,-80.15004,139
25.832374,-80.27874,27
25.864773,-80.30069,182
25.860373,-80.27174,154
25.902172,-80.30732,128
25.938687,-80.3182,37
25.887983,-80.33284,398
25.895557,-80.35509,13
26.018967,-80.12231,18
26.016984,-80.14925,65
26.023634,-80.18922,1124
25.989119,-80.21318,18
26.023567,-80.23851,277
25.990494,-80.27326,21
26.0267,-80.29443,195
25.981409,-80.34491,109
26.018418,-80.34798,184
26.006373,-80.40212,166
25.479438,-80.48687,67
25.526214,-80.49632,1
25.524528,-80.40521,2
25.487988,-80.42692,56
25.431506,-80.51382,7
24.91828,-80.63676,5
25.137661,-80.40735,52
24.567593,-81.7566,174
24.675731,-81.34359,2
24.731758,-81.0278,71
25.909039,-80.24945,5
25.94422,-80.2773,3
25.946754,-80.24962,2
26.232009,-80.12211,37
26.236792,-80.09594,61
26.251909,-80.21016,233
26.279108,-80.11319,179
26.272608,-80.25589,340
26.253238,-80.17799,10
26.3007,-80.22727,161
26.21606,-80.21776,5
26.22876,-80.15816,7
25.006349,-80.53139,23
26.242559,-80.26564,109
26.305433,-80.18287,70
26.30116,-80.2731,23
25.558428,-80.458168,2
25.799962,-80.31775,24
25.782176,-80.23607,200
25.777977,-80.29718,109
25.813808,-80.2058,9
25.777143,-80.20225,19
25.757227,-80.20656,10
25.768277,-80.20339,41
25.767368,-80.1893,6
25.784326,-80.18753,10
25.730678,-80.2441,1058
25.753927,-80.27034,429
25.766577,-80.23576,91
25.786326,-80.2029,2256
25.817325,-80.19046,90
25.853184,-80.18622,63
25.784276,-80.14126,80
25.814225,-80.13085,550
25.858573,-80.12973,20
25.812625,-80.2369,23
25.702929,-80.29642,632
25.76226,-80.30839,153
25.753177,-80.23327,138
25.720728,-80.27255,239
25.850124,-80.23773,6
25.700966,-80.16195,17
25.851974,-80.20566,98
25.881391,-80.1276,38
25.739011,-80.30685,152
25.66558,-80.30688,134
25.606583,-80.34859,99
25.941535,-80.13861,54
25.893372,-80.18164,102
25.929571,-80.17839,102
25.734828,-80.3583,136
25.824725,-80.30476,101
25.892185,-80.21032,7
25.94267,-80.21276,241
25.786634,-80.36151,32
25.702429,-80.36184,257
25.763044,-80.35919,47
25.733204,-80.41197,242
25.653431,-80.35999,1069
25.595983,-80.40234,26
25.837696,-80.36947,25
25.95872,-80.17941,122
25.962069,-80.14465,819
25.897372,-80.16048,54
25.781127,-80.40467,3
25.699968,-80.40811,53
25.759184,-80.40773,19
