latitude,longitude,count
33.772122,-84.26491,2
34.119177,-84.30292,154
34.080035,-84.21929,227
33.907336,-84.5788,5
33.844371,-84.47405,73
33.696714,-84.01732,338
33.633685,-83.98382,52
33.581406,-83.851,126
33.555791,-83.864915,1
33.542118,-83.93372,127
33.888829,-83.96848,22
33.981721,-83.88302,65
33.809604,-84.2387,4
34.026238,-84.24506,114
34.052698,-84.07485,267
33.65072,-83.70779,4
34.193041,-84.092588,1
33.771705,-84.29407,445
33.891251,-84.07456,17
33.740055,-84.26791,26
33.811354,-84.28335,585
33.693448,-84.24743,8
33.725739,-84.21114,30
33.676358,-84.15381,19
33.822204,-84.03707,9
34.235408,-84.17441,100
34.201503,-84.09764,231
34.001159,-84.01487,63
33.91967,-84.07482,36
33.949054,-83.98565,178
33.960353,-84.037859,889
33.872371,-84.11655,70
33.823809,-83.89423,119
33.750257,-84.0964,68
33.932052,-84.54746,1229
33.99605,-84.47464,79
33.946735,-84.602,150
34.027533,-84.51475,59
33.933002,-84.47633,259
33.965601,-84.4433,58
33.940768,-84.2062,40
34.049789,-84.38539,107
34.032532,-84.31774,938
33.860955,-84.01807,332
33.87578,-84.50382,150
33.859137,-84.53744,34
33.795622,-84.19771,21
33.853853,-84.22036,162
33.817438,-84.13167,27
33.762106,-84.17938,12
33.960353,-84.037859,29
33.9692,-84.23261,190
33.909952,-84.1794,93
33.621906,-84.04633,87
33.979401,-84.15118,118
34.020621,-84.14294,197
34.052285,-84.68483,103
34.097998,-84.6183,9
34.368647,-84.92452,5
33.828061,-84.62593,721
34.344939,-84.37204,2
33.533934,-85.26088,5
33.723939,-85.14282,16
33.84627,-85.20291,2
34.228478,-84.50402,145
34.194029,-84.43884,18
33.560454,-85.02254,2
33.588486,-85.1062,251
34.167327,-84.82764,248
34.200264,-84.77533,39
33.776137,-84.64484,33
34.118206,-85.34001,1
34.010162,-85.25762,21
33.817738,-84.56087,8
33.874553,-84.68784,11
33.945735,-84.84463,18
33.769636,-84.74967,72
33.701554,-84.73756,44
33.867574,-84.77103,86
34.454934,-84.41583,77
34.038949,-84.59706,105
34.452988,-84.25925,2
34.002147,-84.63392,719
33.987497,-85.05508,2
33.892504,-84.8346,75
34.253343,-85.15312,83
34.281423,-85.23825,6754
33.797456,-84.60621,2
34.333308,-85.233721,17
33.748838,-85.29304,4
34.418116,-84.38462,1
33.76324,-85.02667,4
33.718079,-84.92356,74
34.108027,-84.4843,92
34.117565,-84.57176,70
33.05413,-84.14862,10
33.565662,-84.59321,9
33.47875,-84.47668,354
33.40147,-84.46271,9
33.298014,-85.12243,1
