latitude,longitude,count
41.612628,-94.03587,6
41.644716,-93.46641,30
42.02933,-93.60966,281
42.033235,-93.66741,24
41.725288,-93.60475,486
41.410484,-95.00852,48
41.741295,-94.92781,7
41.820644,-93.14743,1
41.704455,-93.46171,4
42.074515,-93.87437,37
41.491089,-93.48058,4
41.02891,-93.29857,11
41.682808,-93.23591,2
41.87131,-94.6884,1
40.756632,-93.31527,20
41.687847,-93.94852,1
41.759988,-93.81486,1
41.67822,-93.7935,14
41.736434,-92.72123,88
41.690084,-94.52602,12
42.30884,-93.31162,2
41.893335,-93.59844,7
41.354068,-93.57506,22
42.515426,-93.26217,131
42.017677,-94.37939,72
42.302683,-93.65232,1
41.674757,-93.71865,206
41.307595,-93.10226,21
40.630919,-93.94857,2
40.736802,-93.74273,45
41.877415,-93.79925,3
42.042506,-92.90646,121
41.242194,-93.173193,1
41.661112,-93.35327,1
41.581309,-92.53946,2
42.026021,-93.4484,41
41.445018,-92.64823,1
41.702148,-93.04467,80
41.470726,-93.68225,9
42.045766,-94.0443,5
41.031309,-93.77004,16
41.701873,-94.36488,19
41.411394,-92.91126,119
41.846679,-94.10961,48
41.381537,-93.27056,1
41.782755,-93.71405,5
41.584485,-93.24161,3
41.304096,-93.79728,1
41.871283,-93.67508,2
42.010415,-93.16827,1
42.186442,-93.59867,5
41.500086,-94.32731,5
41.5714,-92.85941,1
41.490848,-93.94509,1
41.601516,-93.86151,10
41.570916,-93.73568,112
41.581181,-93.78287,490
41.332618,-94.03802,22
42.158866,-93.29673,1
41.585939,-93.62004,476
41.625988,-93.67403,84
41.601189,-93.68076,1
41.587039,-93.67356,66
41.637638,-93.61636,6
41.602989,-93.63237,406
41.545089,-93.61904,84
41.606339,-93.59829,75
41.606939,-93.54829,87
41.537059,-93.58072,38
41.542789,-93.66189,10
41.630521,-93.7238,113
41.625788,-93.80235,3
41.60787,-93.78093,393
41.587818,-93.505751,28
43.153969,-93.20037,684
42.842616,-93.6187,29
43.104076,-93.8041,27
43.392145,-93.94282,8
43.1375,-93.38463,25
43.259165,-93.65625,22
43.102343,-93.61033,5
42.743106,-93.21518,12
43.418877,-93.52078,4
43.147661,-93.00519,1
43.444448,-93.24015,7
43.290536,-92.82115,10
43.048973,-92.95458,10
42.994932,-93.20192,2
43.402708,-92.93841,4
42.88516,-93.22082,1
43.242739,-94.04333,1
