latitude,longitude,count
42.662282,-92.91099,2
43.219155,-88.12043,1
42.46617,-88.09995,23
42.108428,-87.97723,443
42.069327,-87.98464,1221
42.005978,-87.99847,500
42.07506,-88.02508,140
42.160791,-88.15231,780
42.265643,-88.31664,34
42.217523,-88.24338,34
42.226623,-88.33066,384
42.169325,-87.86556,485
42.047178,-87.89058,890
42.008429,-87.89234,46
42.409445,-88.17822,9
42.194946,-88.21676,34
42.130976,-87.76252,6
42.07672,-87.81922,232
41.811929,-87.68732,289
42.338955,-88.03433,83
42.375821,-87.93517,405
42.424338,-88.61431,110
42.181875,-87.80956,337
42.205724,-87.81421,6
42.372721,-88.15303,15
42.277691,-88.20074,5
42.088128,-87.716,354
42.286222,-87.86309,46
42.238087,-87.86093,313
42.410687,-88.05462,64
42.199957,-88.05859,201
42.290922,-87.95169,621
42.348406,-88.24769,229
42.324761,-88.452481,8
42.041999,-87.78882,114
42.065427,-87.93621,126
42.263623,-88.01172,92
42.229856,-87.96779,133
42.124576,-87.84303,407
42.326072,-87.85202,26
42.10979,-88.04917,64
42.01183,-87.84158,1294
42.188074,-87.92717,50
42.105576,-87.92816,27
42.464639,-88.3028,2
42.366253,-88.09647,45
42.143819,-88.02546,36
42.03618,-87.7321,256
42.033313,-87.75764,289
42.441869,-88.22167,18
42.116377,-87.812064,4
42.428187,-87.92935,1
42.263181,-88.14328,68
42.361271,-87.86187,261
42.404272,-87.86525,3
42.312372,-87.85284,2
42.167638,-87.96393,1236
42.131526,-87.92958,84
42.077178,-87.72373,89
42.104127,-87.75016,78
42.384504,-88.3495,4
42.316121,-88.43884,98
42.451371,-87.84862,183
41.931573,-88.00222,55
42.17315,-88.31849,199
41.977477,-88.17257,68
41.882924,-87.87642,3
41.956479,-87.95117,10
42.023977,-88.17657,19
41.94954,-88.08256,680
42.121188,-88.27227,209
41.924127,-88.74617,138
42.101502,-88.28891,68
41.876506,-88.46429,7
42.037176,-88.25922,142
42.034776,-88.32393,667
41.89103,-87.94181,2572
41.871331,-87.81235,202
41.93548,-87.87468,63
41.980896,-88.144475,19
41.885728,-88.31957,267
42.10028,-88.6906,6
42.099479,-88.36942,1
41.869779,-88.06285,819
41.920228,-88.07891,42
42.086218,-88.5036,7
42.171973,-88.42891,365
41.972328,-88.02196,3
42.100571,-88.87665,1
41.875429,-88.01723,273
42.242199,-88.61034,83
41.880281,-87.84455,1007
41.851257,-87.88351,128
41.857931,-87.85477,62
42.185733,-88.348484,9
41.970628,-88.05606,2
41.89988,-87.85978,271
41.872997,-87.90101,8
41.91823,-87.89627,12
41.92583,-87.84013,3
41.980761,-88.08704,36
42.051927,-88.04814,273
41.919808,-88.30498,411
41.944577,-88.38326,114
41.95683,-87.87193,1
41.99215,-88.30609,224
41.990505,-88.68704,302
41.880429,-87.97813,201
41.953427,-88.25176,2
41.891978,-88.20502,11
41.858279,-88.10904,198
41.918578,-88.13688,41
41.839679,-88.088716,96
41.875228,-88.15261,288
41.962979,-87.97688,57
42.065827,-88.21399,35
42.01299,-88.09675,67
42.037108,-88.10719,54
42.067809,-88.10828,177
42.056391,-87.69684,1212
42.030327,-87.68828,128
42.048879,-87.7175,6
41.887981,-87.79562,131
41.893941,-87.78899,303
41.811929,-87.68732,2
41.87355,-87.7885,151
41.893031,-87.81718,63
41.350484,-87.62408,26
41.836981,-87.79095,434
41.656592,-87.68154,209
41.262178,-88.22307,4
41.614188,-87.54638,53
41.439518,-88.20898,41
41.511307,-87.6101,226
41.702482,-87.77869,99
41.292011,-88.2783,15
41.439034,-87.61173,38
41.626839,-87.59865,11
41.089453,-88.42783,5
41.539384,-87.68424,125
41.501178,-87.83875,210
41.544584,-87.61289,26
41.609078,-87.66264,142
41.574034,-87.67857,468
41.556734,-87.66464,124
41.52493,-88.19022,47
41.533631,-88.05592,99
41.511644,-88.05698,20
41.54338,-88.11963,731
41.50798,-88.10553,16
41.565685,-87.54819,80
41.676028,-87.98258,72
41.703097,-88.07462,1449
41.598235,-88.02753,137
41.407474,-87.96883,5
41.503468,-87.73695,51
41.631683,-87.73309,117
41.64273,-88.09934,6
41.473553,-88.29167,37
41.536782,-87.88582,193
41.422555,-87.75531,3
41.370642,-88.40749,193
41.509231,-87.96475,409
41.605633,-87.75356,43
41.715082,-87.7546,1460
41.742432,-87.80678,57
41.730533,-87.73198,23
41.723782,-87.82825,9
41.746432,-87.83557,5
41.744082,-87.77022,167
41.51829,-87.69274,280
41.623532,-87.83542,233
41.663548,-87.79148,684
41.664582,-87.84378,45
41.699432,-87.82977,82
41.472934,-87.68767,4
41.598255,-87.89201,291
41.331114,-87.79917,78
41.628034,-87.68694,23
41.483844,-87.72134,25
41.642933,-87.70814,23
41.597472,-87.59909,122
41.470084,-87.63369,2
41.5738,-87.80389,341
41.561134,-87.72398,25
41.688827,-87.79265,16
41.684752,-88.14203,24
41.784832,-87.81,4
41.760067,-88.25218,751
41.756129,-88.29699,15
41.766029,-88.35254,582
41.845228,-88.30995,50
41.822681,-87.84753,8
41.779533,-87.95798,8
41.80348,-88.01827,684
41.761463,-88.01334,61
41.75253,-88.04864,97
41.772915,-87.92996,744
41.837716,-87.96041,181
41.788536,-87.87605,279
41.829831,-87.8704,390
41.839679,-88.088716,218
41.789079,-88.08536,139
41.812331,-87.82318,2
41.721886,-88.32972,4
41.764779,-88.14579,892
