latitude,longitude,count
36.617443,-88.28746,2
40.112913,-85.737,91
40.132892,-85.65097,38
40.061092,-85.67672,10
40.098641,-85.68452,107
40.17449,-86.01736,1
39.970241,-86.15416,508
39.973731,-86.08875,18
40.127019,-86.03121,12
40.279375,-85.83761,11
39.95645,-86.00872,670
39.93549,-85.84047,1
40.290615,-86.5028,21
40.221208,-85.77612,1
40.065589,-85.84631,2
40.047966,-86.46592,160
39.898378,-85.9159,13
40.050109,-85.99815,183
39.997694,-85.75075,5
40.427919,-86.61059,12
40.378829,-86.09362,1
40.134736,-86.21885,1
40.284041,-86.04681,25
40.041325,-86.15262,32
39.960858,-86.28252,77
39.761986,-86.80492,2
39.718744,-86.09375,24
39.84952,-86.38739,130
39.631344,-86.31273,3
39.513388,-86.79169,1
39.761211,-86.52344,61
39.764436,-86.39699,1015
39.366507,-85.9864,3
39.674879,-86.75256,3
39.482105,-86.05043,87
39.652374,-86.87361,55
39.799143,-85.78446,208
39.62068,-86.15126,57
39.601649,-86.12734,292
39.442774,-86.41337,112
39.484598,-85.47698,1
39.588545,-86.37431,42
39.726811,-85.89726,6
39.872255,-86.46335,1
39.69775,-86.39589,22
39.614803,-85.43834,66
39.523797,-85.77208,103
39.557799,-86.08543,4
39.775125,-86.10839,1
39.782842,-86.15673,2985
39.742593,-86.11766,2
39.771743,-86.15598,5
39.824858,-86.13817,11
39.820708,-86.1713,32
39.792993,-86.28575,28
39.857639,-86.00948,1
39.668795,-86.1833,58
39.805841,-86.10175,4
39.78001,-86.04889,1414
39.866913,-86.12323,77
39.719444,-86.22183,77
39.786793,-86.21093,29
39.795593,-86.25409,7
39.746993,-86.15903,5
39.83729,-86.05378,20
39.678495,-86.12973,178
39.795025,-85.97356,45
39.71962,-86.33121,8
39.797622,-86.32493,1
39.888225,-85.97041,11
39.67859,-86.08634,248
39.732943,-85.99903,3
39.902039,-86.12948,96
39.736844,-86.25214,79
39.905689,-86.06733,111
39.844024,-86.26464,106
39.907838,-86.01405,1444
39.898107,-86.18232,1608
39.897548,-86.22546,132
39.89792,-86.28619,86
39.939102,-86.13831,49
39.934949,-86.16262,80
41.36959,-87.44849,3
41.616263,-87.05883,275
41.418873,-87.34298,220
41.179017,-87.24265,11
41.491377,-87.51022,273
41.639735,-87.46084,64
41.527235,-87.42458,7
41.610035,-87.50574,115
41.551457,-87.50143,498
41.549851,-87.45806,692
41.587718,-87.45528,4
41.583535,-87.50391,16
41.32374,-87.20898,1
41.533786,-87.26403,105
41.305178,-87.01522,1
41.605749,-86.71983,273
41.269789,-87.41353,20
41.707539,-86.87902,109
41.58327,-87.18154,115
41.44862,-87.47404,358
41.492085,-87.4519,70
41.47339,-87.03165,395
41.484652,-87.11269,18
41.186662,-87.05359,3
41.679185,-87.50015,17
41.601086,-87.33681,44
41.604654,-87.25695,3
41.588636,-87.37271,59
41.589135,-87.40962,3
41.580469,-87.33646,2
41.542536,-87.3581,5
41.544736,-87.32716,9
41.487369,-87.34024,445
41.224036,-86.24521,5
41.301049,-86.1114,2
41.450744,-86.1692,21
41.725061,-85.81792,1
41.218388,-86.42163,3
41.707616,-85.97605,239
41.676899,-85.96044,32
41.646499,-85.96923,21
41.567559,-85.84885,275
41.600649,-85.81902,55
41.741872,-86.13717,148
41.282822,-86.61613,17
41.519839,-86.2795,2
41.685374,-85.69409,2
41.525634,-85.68403,2
41.650672,-86.16002,34
41.681487,-86.16811,341
41.444183,-85.99829,8
41.328153,-85.6852,1
41.672698,-86.07877,6
41.347159,-86.32023,167
41.696334,-85.58665,5
41.411075,-85.736,6
41.565561,-85.54707,3
41.538432,-86.04261,5
41.2281,-85.85778,194
41.281518,-85.81927,29
41.526405,-86.17013,6
41.671197,-86.25253,602
41.654547,-86.25043,6
41.626588,-86.24804,23
