latitude,longitude,count
37.478169,-82.5189,4
37.010643,-86.46145,1
39.553786,-95.13472,103
38.789719,-95.21058,8
39.145077,-94.94259,1
39.065703,-94.90453,45
38.961396,-94.97681,13
38.917032,-95.06455,10
39.348031,-94.93177,2
38.813839,-94.9265,11
38.278069,-95.25997,27
38.35152,-94.73705,2
39.258624,-94.89859,30
38.983551,-95.23202,445
38.952526,-95.275623,2
38.932303,-95.22513,21
38.920649,-95.31219,64
39.298776,-94.93555,212
38.97583,-95.30399,73
38.602219,-94.68121,12
39.201274,-95.19892,3
38.889784,-94.85558,228
38.860511,-94.77581,95
38.489733,-94.96465,6
39.214825,-95.32501,6
38.614986,-95.27355,124
38.574804,-94.86706,45
39.097559,-95.40163,1
38.184882,-94.70142,1
38.736692,-94.83362,14
38.798648,-94.65527,5
39.112379,-95.08112,10
39.79684,-95.12869,17
39.339975,-95.45781,7
39.774356,-94.95873,5
38.698415,-95.10414,2
39.328743,-95.24608,4
39.118054,-94.62568,12
39.112204,-94.66643,45
39.059254,-94.62453,20
39.137003,-94.67203,13
39.066732,-94.68872,9
39.156275,-94.80033,28
39.076554,-94.79019,9
39.117009,-94.76614,193
39.096551,-94.749538,1384
39.023105,-94.66658,85
39.020405,-94.70583,43
38.992255,-94.67528,463
39.030172,-94.63097,6
38.959256,-94.62223,46
38.957396,-94.64691,28
38.999505,-94.63102,76
38.900535,-94.63248,390
38.924739,-94.70473,221
38.925159,-94.64136,608
38.959606,-94.68189,96
38.899634,-94.70758,522
38.961756,-94.71498,117
38.961006,-94.74145,364
39.009485,-94.73924,33
39.021629,-94.78107,73
39.011673,-94.8126,3
38.963798,-94.77155,203
38.964728,-94.82117,4
38.865825,-94.71231,143
38.860552,-94.66594,82
38.862007,-94.62127,21
39.029641,-94.84844,28
38.972197,-94.86987,34
39.656045,-96.63791,2
38.82517,-95.68963,3
39.857155,-95.54497,36
39.466971,-95.7132,16
39.659471,-95.53567,5
39.01585,-96.83653,69
38.602873,-95.67363,1
39.184986,-96.56932,256
39.241083,-96.64914,63
39.194065,-96.57872,2
39.852696,-96.63963,33
39.337531,-95.75535,4
39.201628,-95.55387,2
39.626301,-95.72954,1
39.483435,-96.21101,27
38.611619,-95.83132,7
39.143168,-95.95263,2
39.889544,-95.82289,11
39.200733,-96.07148,3
39.840496,-96.04833,7
39.020437,-95.55336,1
38.895185,-95.71995,1
39.220965,-96.31279,15
39.691428,-96.76189,1
39.0562,-95.67547,10
39.04045,-95.71698,139
39.013988,-95.65056,2
39.058177,-95.71088,811
39.044056,-95.64804,4
39.077066,-95.66824,12
39.0161,-95.6979,48
39.040333,-95.68048,6
39.015374,-95.76057,101
39.067174,-95.88115,51
39.130354,-95.63373,7
39.126429,-95.73302,26
37.823295,-94.73389,56
37.547763,-94.70622,5
37.026091,-94.74929,10
37.666078,-95.45681,47
37.347065,-94.82665,16
37.17473,-94.87713,30
37.539672,-95.84307,18
37.091398,-94.65462,54
37.506616,-94.86078,14
37.802718,-95.43452,25
37.926666,-95.39695,30
37.420016,-95.683,21
37.408511,-94.70414,183
37.455819,-94.69088,3
37.074648,-94.71538,3
38.410549,-96.19736,114
38.211108,-95.74293,19
38.649811,-96.49331,8
38.228452,-96.92825,1
38.359189,-97.01768,8
38.175115,-97.1049,1
39.568803,-97.64627,19
39.824657,-97.62881,16
39.888945,-96.88156,2
39.790935,-98.20722,4
39.794538,-98.79561,25
39.815522,-97.06111,9
39.936773,-98.04227,2
37.779021,-97.62602,1
37.693585,-97.11321,69
37.144088,-98.03857,5
37.067387,-97.02831,35
37.68066,-96.98153,41
37.062453,-97.60782,5
37.647611,-97.78765,3
37.518342,-97.49452,5
37.259332,-99.33385,2
37.557434,-97.25167,46
37.830417,-96.84294,83
37.854192,-96.32433,6
37.651845,-97.5739,10
37.590146,-99.29989,2
38.007112,-97.5139,2
37.297898,-98.03916,8
37.658761,-99.09672,2
37.552425,-97.34785,5
38.142541,-97.43368,9
38.347058,-97.21489,4
37.618339,-98.10612,15
37.037218,-98.49342,1
37.775593,-97.46797,6
37.286936,-98.60271,6
37.447829,-97.75943,1
38.193313,-97.52827,7
37.474542,-97.22812,2
38.051679,-97.323,178
37.253486,-97.18161,1
37.642738,-98.75394,53
37.196316,-99.50499,4
37.573226,-97.12421,2
37.853935,-97.33059,5
37.268972,-97.41247,32
37.256575,-96.97885,45
37.686992,-97.33362,21
37.703932,-97.36237,86
37.754443,-97.35763,8
37.738348,-97.42917,128
37.703247,-97.23166,461
37.669803,-97.23289,43
37.701997,-97.28114,498
37.67129,-97.4372,31
37.638946,-97.26652,10
37.667175,-97.31917,54
37.700632,-97.4343,192
37.669067,-97.36204,34
37.705384,-97.31777,831
37.626676,-97.42398,4
37.619858,-97.31751,3
37.62421,-97.36312,12
37.670092,-97.27953,125
37.765919,-97.31997,2
37.745561,-97.27841,86
37.750904,-97.23115,239
37.692778,-97.4959,10
37.216856,-95.72898,64
37.021498,-95.91616,5
37.278991,-95.54722,1
37.047431,-95.08365,1
37.041838,-95.61814,66
37.182538,-95.13678,6
37.339913,-95.25834,67
37.107867,-96.22087,3
38.827875,-97.61553,266
38.78359,-97.650446,52
38.94112,-97.21973,25
39.440546,-98.07736,14
39.341513,-97.1552,18
39.50357,-98.55591,5
38.744056,-98.22729,13
39.367111,-97.82634,2
38.677306,-96.92129,7
39.034792,-98.17577,7
38.590743,-97.67156,11
38.367298,-97.67719,68
39.131275,-97.70794,2
39.409385,-98.7059,8
38.034292,-97.92382,67
38.094945,-97.929,259
38.027185,-97.93976,2
38.122234,-97.74843,3
38.347872,-98.56205,6
38.363151,-98.78495,130
38.562172,-98.76647,19
37.918313,-99.43134,4
38.560733,-99.3193,3
38.179418,-99.12757,25
38.356474,-98.2025,8
38.443723,-99.92622,5
38.660733,-99.90598,2
37.976752,-98.59126,1
38.19784,-98.20222,6
38.881082,-99.32559,246
38.933306,-99.60135,1
39.360338,-99.8456,15
39.822766,-99.93288,12
39.799834,-99.32852,15
39.212784,-99.31688,14
38.866551,-98.8672,11
39.436461,-99.32578,1
39.015522,-99.89944,8
39.394701,-101.04485,41
39.810204,-101.1109,8
39.332837,-101.75422,33
39.356622,-100.3861,5
39.11329,-100.83926,6
39.832075,-100.53872,5
39.038252,-100.2322,6
39.773872,-101.82167,16
38.865428,-101.73575,9
37.755267,-100.02632,111
37.196075,-99.77662,3
37.84899,-100.32811,3
38.514924,-100.43776,1
37.976008,-100.82503,142
38.080626,-99.96701,6
37.557733,-101.68074,7
37.995238,-101.2722,11
38.503037,-101.39536,3
37.21313,-100.34464,6
37.394383,-99.96723,4
37.496762,-101.00775,2
38.48461,-100.93476,16
37.525821,-100.84391,1
38.022874,-101.80781,1
38.478369,-101.7871,1
37.569601,-101.33268,9
37.067979,-100.92813,105
37.011254,-101.88893,8
37.185269,-101.349,4
