latitude,longitude,count
37.81109,-85.46164,78
38.597624,-85.33889,4
37.923734,-85.28257,2
38.53445,-85.17178,5
38.335106,-85.4584,36
38.370336,-85.17208,6
38.411964,-85.57066,2
38.407833,-85.38475,124
37.565894,-85.25148,51
38.702793,-85.37187,5
38.045982,-85.55467,11
38.435604,-85.17658,2
38.308109,-85.48714,1
38.350915,-85.60042,56
38.211511,-85.21658,48
38.400619,-85.27741,2
37.702418,-85.22257,32
38.045406,-85.36427,3
37.973094,-86.11831,34
38.106135,-85.75362,5
37.777083,-86.48345,35
37.88108,-86.31377,6
37.849334,-85.73269,4
37.828459,-85.93888,42
37.756775,-86.00073,1
37.997938,-85.69667,44
38.252854,-85.75137,1000
38.248106,-85.7665,38
38.23862,-85.72626,595
38.22292,-85.68326,151
38.254671,-85.70254,17
38.257489,-85.65134,1049
38.218764,-85.76241,23
38.24142,-85.81181,36
38.26632,-85.79998,22
38.186126,-85.71304,54
38.160936,-85.77624,22
38.19192,-85.78405,553
38.188886,-85.83137,225
38.21632,-85.739,169
38.193769,-85.65733,252
38.141638,-85.68218,34
38.214982,-85.62207,245
38.26507,-85.61319,265
38.258941,-85.55574,324
38.137586,-85.62741,4
38.085601,-85.66979,11
38.188962,-85.676819,14
38.305636,-85.58424,117
38.279059,-85.59037,9
38.237155,-85.53657,64
38.270855,-85.48322,14
38.141719,-85.86375,42
38.096056,-85.85994,29
38.147232,-85.59169,15
38.190568,-85.55348,27
38.320944,-84.02358,8
37.846536,-83.9343,2
37.937105,-83.63429,18
38.221179,-84.55465,86
37.773923,-84.85812,59
37.694764,-83.9771,21
37.942941,-84.64418,1
38.012479,-84.94075,24
38.153759,-84.70928,3
38.19056,-83.4321,206
38.061248,-83.92964,69
37.883886,-84.571,30
38.467809,-84.81023,35
38.152302,-83.76603,10
38.212471,-84.23646,79
37.838747,-83.8099,26
38.042639,-84.73189,151
37.98223,-84.17023,69
37.968496,-84.157766,2
37.29409,-83.9759,2
37.575568,-84.27767,37
37.455879,-84.48753,2
37.644426,-84.78862,248
37.667083,-84.59496,16
37.457017,-84.03435,21
37.36766,-84.33233,26
37.745999,-84.28433,127
37.520836,-84.6735,38
37.351221,-84.62099,2
38.017219,-84.4859,16
38.007898,-84.53452,603
38.039322,-84.54259,1709
38.058477,-84.46109,7
38.047408,-84.49627,6
38.051727,-84.49336,81
38.005199,-84.40954,256
38.105283,-84.50775,65
38.010247,-84.58619,164
37.984907,-84.56691,2
37.952113,-84.45347,5
37.985128,-84.48874,783
38.032075,-84.508361,179
38.201649,-84.86935,205
36.942035,-84.10685,296
37.231717,-84.13026,10
36.930995,-83.98146,19
37.143828,-84.07839,152
37.060576,-84.071,4
