latitude,longitude,count
30.08677,-90.513522,2
29.984096,-90.16902,159
30.011517,-90.16245,224
29.997168,-90.2138,35
29.999453,-90.13398,75
30.013985,-90.19128,667
29.677893,-90.0901,2
29.958802,-89.99902,6
29.822707,-90.00616,6
29.900075,-90.38655,1
29.946404,-89.96118,53
29.969128,-90.37563,12
30.053907,-90.68915,3
29.915355,-90.05335,18
29.894261,-90.03072,143
29.878578,-90.06903,93
29.991051,-90.2469,19
30.022853,-90.25133,110
30.073941,-90.48516,79
29.907162,-90.35142,71
30.04401,-90.69956,13
29.869283,-90.10933,421
29.529091,-89.7883,6
30.059516,-90.55987,1
29.979997,-90.71178,9
29.91534,-90.17737,20
29.956804,-90.07757,3373
29.943505,-90.08408,9
29.938155,-90.03667,80
29.927305,-90.10197,530
29.968054,-90.06403,1
29.970404,-90.03036,6
29.952305,-90.12347,209
29.974504,-90.08747,88
29.961875,-90.16037,1071
30.006353,-90.06264,12
29.952605,-90.20536,49
30.006003,-90.10947,76
29.951705,-90.10411,38
30.016002,-90.01972,4
30.033475,-89.97736,55
30.05031,-89.95638,12
30.063059,-89.88511,2
29.938005,-90.07195,51
29.917005,-89.98982,8
30.032997,-89.882564,6
29.797776,-90.81809,236
29.931838,-91.19813,2
30.030819,-91.07576,2
29.385126,-90.61939,2
29.523897,-90.34043,23
30.103905,-91.00104,11
29.435146,-90.30479,4
29.670214,-90.46202,2
29.275485,-90.24378,1
29.696636,-90.77238,16
29.593377,-90.7475,296
29.560581,-90.6903,110
29.626988,-90.72076,10
29.535139,-90.44546,3
29.620122,-90.49218,7
29.694806,-91.18252,59
29.91599,-91.02187,2
29.990967,-91.05456,2
29.715302,-90.6097,57
30.517866,-90.47254,23
30.484785,-90.4762,694
30.482725,-90.00103,1
30.723034,-90.52108,51
30.762908,-89.87774,98
30.470793,-90.10491,970
30.53978,-90.07953,3
30.844465,-90.12066,30
30.867259,-90.74688,14
30.628735,-90.51744,47
30.923938,-90.50206,2
30.327126,-89.93118,75
30.424049,-90.18519,21
30.367119,-90.05999,53
30.272335,-90.72701,5
30.401481,-89.76917,19
30.427599,-90.41728,13
30.520782,-90.30638,6
30.269565,-89.77587,258
30.298048,-89.81176,11
30.266707,-89.73049,245
30.386031,-90.57297,4
30.400949,-90.08105,227
30.2334,-92.00959,38
30.185867,-92.04706,451
30.211901,-92.05912,528
30.2786,-92.02759,11
30.163368,-92.01974,726
29.943573,-92.14872,54
30.411741,-91.91702,2
29.841827,-91.54679,5
30.301254,-91.86169,16
30.134801,-91.95251,13
30.327199,-92.0433,28
29.883266,-91.5301,1
30.566122,-92.32115,1
30.414588,-92.21772,11
30.213767,-92.37921,60
30.228409,-92.301795,1
30.198258,-92.16211,2
30.492895,-92.41578,57
29.759314,-91.52561,38
30.005408,-92.54417,1
30.328683,-92.49549,2
29.910582,-91.6698,3
30.242533,-92.66375,101
29.984184,-92.3207,9
30.082515,-92.72596,2
30.076638,-91.71294,1
30.63,-92.42652,17
30.101305,-92.13152,1
29.975453,-91.84073,302
30.022348,-91.78314,102
30.530965,-92.09521,223
30.57445,-92.086077,7
30.781744,-92.41968,2
30.549089,-91.93006,40
30.234581,-92.26431,8
30.148473,-91.8003,7
30.244311,-92.10099,7
30.394648,-92.07786,7
30.710639,-92.30628,40
30.653805,-92.05479,1
30.246368,-92.83199,2
30.103107,-91.99993,16
30.20812,-92.095109,2
30.20812,-92.095109,1
30.226399,-93.20496,453
30.165907,-93.24905,322
30.129908,-93.19632,11
30.32797,-93.2109,10
30.264232,-93.326527,4
30.44431,-93.41221,6
30.835881,-93.27071,60
30.243213,-93.00386,4
30.494379,-92.85992,12
30.599065,-93.2561,4
30.620456,-92.74582,16
30.245205,-93.3636,106
30.183689,-93.59815,2
30.251665,-93.27047,6
30.608471,-90.92758,7
30.350306,-91.26121,1
30.508318,-90.58546,5
30.584787,-91.14763,15
30.384402,-91.25549,2
30.823174,-90.921,26
30.468526,-90.92827,49
30.211172,-91.00875,1
30.229237,-90.92251,199
30.585687,-90.98014,4
30.878083,-91.67672,12
30.826285,-91.22812,5
30.447866,-90.75228,8
30.568308,-91.55075,2
30.483791,-91.51619,1
30.700337,-91.44032,19
30.270694,-91.24853,50
30.473536,-91.26324,6
30.31144,-90.93955,67
30.857355,-91.37308,12
30.521962,-90.84035,27
30.655578,-91.14015,93
30.44629,-91.17305,8
30.485639,-91.15612,12
30.44495,-91.13806,700
30.534088,-91.17865,52
30.411391,-91.1497,1259
30.403341,-91.08035,444
30.361609,-91.09041,495
30.525121,-91.13185,4
30.504989,-91.1188,2
30.45514,-91.06358,32
30.425791,-91.03815,152
30.387642,-90.99921,134
30.537938,-91.04812,29
30.373865,-91.17065,2
32.57761,-92.9062,14
32.697056,-93.6991,7
32.050033,-93.31928,9
32.453029,-93.99683,2
32.569798,-93.55133,9
32.954851,-93.11344,2
32.78288,-93.03176,16
32.031067,-93.68585,9
32.631009,-93.28751,60
32.748354,-93.97188,2
32.913383,-93.68912,1
32.304429,-93.33008,2
32.535107,-93.30297,2
32.994597,-93.45992,15
32.849008,-93.97599,11
32.505352,-93.74861,326
32.490777,-93.76761,714
32.484232,-93.73671,39
32.457903,-93.7133,288
32.426104,-93.74542,127
32.56443,-93.8305,24
32.449286,-93.78,3
32.474453,-93.80022,48
32.552315,-93.70836,184
32.478752,-93.6704,13
32.350987,-93.62938,136
32.397255,-93.8043,115
32.487601,-93.89064,1
32.42067,-93.8877,16
32.519393,-92.10755,570
32.456862,-92.08881,55
32.547067,-92.04384,39
32.490777,-92.159354,14
32.490777,-92.159354,1
32.814969,-91.90678,39
32.823863,-91.843528,6
32.829213,-92.65296,4
32.507942,-92.34923,1
32.438621,-91.50809,12
32.764289,-92.37657,12
32.229884,-92.69763,16
32.806899,-91.20759,13
32.286179,-91.80804,2
32.770852,-91.74361,3
32.887552,-91.4107,20
32.341112,-92.72027,1
32.457301,-91.78754,54
32.52476,-92.64696,132
32.397286,-91.17657,5
32.526944,-92.1599,252
32.456034,-92.18276,9
32.156791,-91.72874,33
31.294532,-92.46015,370
31.302432,-92.50515,139
31.075638,-92.446135,3
30.920328,-92.16809,8
30.98676,-92.04319,1
31.667978,-91.51382,39
31.654792,-92.12872,26
31.586986,-91.86725,2
31.140727,-92.08056,119
32.090387,-91.24121,1
30.717386,-91.89085,2
31.352105,-92.4006,74
31.36923,-92.419836,12
30.945975,-91.95294,2
31.924224,-91.31265,2
31.85889,-91.67463,1
30.966506,-91.82242,2
31.540784,-91.48698,23
31.415125,-92.394536,2
31.5254,-92.6815,2
32.130124,-92.06755,27
31.138723,-93.22745,91
31.514631,-93.54869,13
31.751287,-93.09021,53
30.806617,-92.65224,15
31.861406,-92.19259,24
31.529155,-92.39418,1
31.915828,-92.6445,14
31.163538,-92.50144,2
