latitude,longitude,count
42.07061,-72.62029,41
42.377651,-72.50323,120
42.412094,-72.10443,3
42.278424,-72.411,13
42.161492,-72.60316,8
42.175992,-72.57265,302
42.27279,-72.68677,36
42.066795,-72.5102,34
42.070774,-72.67248,10
42.45792,-72.81551,1
42.254563,-72.51831,1
42.35549,-72.5733,41
42.064703,-72.41735,5
42.201891,-72.6242,642
42.170731,-72.604842,19
42.353105,-72.70206,9
42.479839,-72.49879,1
42.174893,-72.47068,30
42.089269,-72.317,1
42.324539,-72.63561,582
42.324232,-72.67915,134
42.176401,-72.32646,125
42.486027,-72.42208,1
42.223885,-72.72777,3
42.234891,-72.58243,48
42.05283,-72.76966,24
42.180563,-72.36518,1
42.270611,-72.26067,15
42.133642,-72.75029,603
42.173428,-72.847964,1
42.388831,-72.6321,7
42.112793,-72.64066,84
42.442673,-72.652511,1
42.12531,-72.44057,40
42.399054,-72.93871,5
42.170731,-72.604842,1
42.103294,-72.59112,75
42.130343,-72.57338,781
42.096644,-72.5798,114
42.050395,-72.5712,50
42.120193,-72.6061,456
42.084094,-72.55523,12
42.116277,-72.55031,41
42.093144,-72.5291,134
42.128442,-72.50932,2
42.095344,-72.48857,22
42.121031,-72.4896,2
42.153926,-72.50531,3
42.119943,-72.604983,6806
42.45384,-73.254,834
42.619727,-73.11842,18
42.314449,-73.09335,1
42.476575,-73.11547,12
42.189715,-73.35249,208
42.266874,-73.36236,4
42.557346,-73.24364,3
42.299263,-73.2327,22
42.36237,-73.27683,28
42.180659,-73.20849,1
42.696064,-73.10145,53
42.102694,-73.36591,3
42.103122,-73.45734,1
42.283216,-73.31423,10
42.328535,-73.36407,3
42.689962,-73.22355,48
42.605524,-72.60098,277
42.579931,-72.20836,37
42.678023,-72.55569,3
42.534976,-72.52522,1
42.599614,-72.29263,12
42.474718,-72.21226,2
42.603447,-72.72754,10
42.472734,-72.62452,12
42.449978,-72.56302,1
42.609425,-72.54438,13
42.578689,-71.80338,102
42.658768,-71.93287,2
42.549821,-71.59136,163
42.608903,-72.08021,10
42.575355,-71.99183,129
42.609887,-71.55722,23
42.505928,-71.5888,21
42.477515,-71.99654,2
42.526523,-71.75358,359
42.540052,-71.49085,28
42.665686,-71.5929,17
42.557796,-72.06824,14
42.658738,-71.69204,3
42.544622,-71.9021,18
42.675441,-72.0467,6
42.20361,-71.83843,137
42.338392,-71.73026,1
42.135142,-71.96961,33
42.418836,-71.68482,12
42.061437,-71.72887,3
42.12515,-72.12393,4
42.201674,-71.68771,1
42.338962,-71.84434,21
42.369658,-71.87418,1
42.473131,-71.67946,21
42.238942,-71.91908,2
42.196144,-71.76272,11
42.321917,-71.64692,34
42.140741,-71.64376,1
42.267274,-72.07823,1
42.231444,-71.70523,6
42.170846,-71.88989,1
42.117527,-71.8657,12
42.451569,-71.882,3
42.194793,-71.90651,79
42.286643,-71.72502,38
42.070827,-72.03533,272
42.247212,-71.99227,6
42.436875,-71.77333,3
42.104581,-72.08584,31
42.17382,-71.60971,10
42.064978,-71.62992,6
42.047728,-71.86108,13
42.049864,-71.9173,1
42.269845,-71.61408,96
42.359842,-71.787,26
42.242965,-72.16734,4
42.114195,-71.67225,106
42.131028,-71.75121,1
42.272359,-71.84482,26
42.240526,-71.83776,2
42.255393,-71.77459,60
42.286543,-71.78846,663
42.311342,-71.79531,22
42.229543,-71.79501,2
42.261343,-71.80173,259
42.271743,-71.81348,102
42.248493,-71.80793,95
42.307591,-71.91929,1
42.364807,-71.896868,1244
42.318695,-71.42344,294
42.283995,-71.42161,479
42.477142,-71.4422,104
42.257956,-71.45886,11
42.496679,-71.27504,25
42.459085,-71.27556,2
42.437086,-71.61266,6
42.5286,-71.35084,4
42.457201,-71.37478,396
42.295544,-71.50468,1
42.196065,-71.43797,18
42.125536,-71.53662,12
42.220447,-71.53418,25
42.389813,-71.55791,17
42.350909,-71.54753,151
42.430781,-71.45594,3
42.092006,-71.54474,3
42.149176,-71.52149,640
42.290763,-71.35368,224
42.231025,-71.37202,8
42.297643,-71.53369,67
42.425537,-71.30316,10
42.423882,-71.51086,4
42.38532,-71.42989,36
42.345583,-71.35643,32
42.484545,-71.15206,163
42.506362,-71.20008,103
42.446396,-71.459405,748
42.646942,-71.1513,130
42.54805,-71.25054,83
42.595491,-71.3544,176
42.677772,-71.316,42
42.78519,-71.07011,274
42.781357,-71.11023,11
42.729437,-70.98291,13
42.750691,-71.02487,13
42.757767,-71.08518,25
42.706941,-71.16181,40
42.71159,-71.16667,297
42.635443,-70.879123,460
42.691091,-71.16078,79
42.73004,-71.17935,314
42.683841,-71.11171,216
42.655791,-71.30504,2
42.630915,-71.33238,13
42.634112,-71.29849,308
42.649758,-71.33348,206
42.834246,-71.00207,4
42.573592,-71.2911,25
42.634199,-71.39322,107
42.583436,-71.0982,117
42.446396,-71.459405,14
42.52585,-71.10993,78
42.601684,-71.22071,111
42.671589,-71.41694,10
42.501345,-71.07132,77
42.592086,-71.43754,54
42.558576,-71.17031,62
42.451945,-71.14276,196
42.461246,-70.946743,111
42.469946,-70.94113,26
42.490421,-70.96579,41
42.464879,-70.97411,5
42.462796,-71.0098,46
42.474409,-70.90588,54
42.854423,-70.93547,183
42.560995,-70.8757,1121
42.677869,-71.00844,6
42.569756,-70.94322,621
42.631753,-70.77925,1
42.624015,-70.67552,445
42.635443,-70.879123,1
42.682965,-70.84007,35
42.527895,-71.02834,9
42.580033,-70.76462,24
42.497146,-70.86323,40
42.602278,-71.01356,17
42.809891,-70.86363,1076
42.780141,-70.86866,8
42.85048,-70.86153,17
42.534045,-70.96146,591
42.659936,-70.61727,9
42.716708,-70.90899,7
42.516845,-70.8985,674
42.616643,-70.86513,37
42.642471,-70.94424,18
42.600518,-70.87618,10
42.075122,-71.47953,69
42.166776,-71.1343,76
42.241908,-70.81223,14
42.244609,-71.16553,303
42.23888,-71.28241,4
42.153912,-71.21362,6
42.061427,-71.24232,56
42.089104,-71.4069,142
42.225708,-70.88764,184
42.286347,-70.87663,9
42.019982,-71.2191,28
42.109763,-70.69172,41
42.185571,-71.30476,20
42.151526,-71.42315,29
42.166398,-71.36178,13
42.111836,-71.32855,17
41.970474,-70.701357,1
42.15243,-70.8205,87
42.185974,-71.20166,388
42.205038,-70.7513,42
42.113749,-71.17923,235
42.180048,-71.08923,1
42.125432,-71.10627,193
42.145237,-71.25375,35
42.212949,-71.20735,64
42.0597,-71.34617,15
42.357903,-71.06408,15
42.361477,-71.05417,18
42.356532,-71.05365,105
42.349838,-71.06101,937
42.338947,-70.919635,22
42.365028,-71.05636,16
42.361792,-71.06774,3369
42.34308,-71.09268,5405
42.349622,-71.07372,87
42.338724,-71.07276,1278
42.324511,-71.08455,65
42.332099,-71.09651,300
42.307448,-71.08127,2
42.296298,-71.05454,96
42.28713,-71.07156,173
42.316852,-71.05811,25
42.272098,-71.09426,7
42.33499,-71.04562,54
42.378297,-71.0255,164
42.378619,-71.06495,6
42.309998,-71.11171,332
42.284678,-71.13052,122
42.279432,-71.1598,33
