latitude,longitude,count
40.847649,-74.5748,4
38.893311,-77.014647,2
39.138978,-77.54519,116
38.634306,-76.86008,44
38.598185,-76.90381,177
38.631542,-76.95723,133
38.509548,-76.981651,1
38.672216,-77.01807,1
38.676968,-76.82215,9
38.639117,-77.08301,2
38.303103,-76.52231,24
38.458322,-76.83947,116
38.260846,-76.4985,3
38.349517,-76.54839,75
38.523408,-76.75435,6
38.601648,-76.60434,13
38.528103,-76.98063,125
38.269283,-76.64336,481
38.234838,-76.44889,35
38.370044,-76.43328,10
38.427328,-76.72826,16
38.535116,-76.58432,326
38.339176,-76.46568,11
38.593202,-76.97063,150
39.044509,-76.9133,11
38.964093,-76.85331,190
39.098475,-76.86571,582
39.0632,-76.84103,25
38.941428,-76.93005,8
38.941594,-76.96369,2
38.711264,-76.53637,1
38.979413,-76.74382,80
38.93193,-76.72457,342
38.986699,-76.78612,4
38.917506,-76.79404,9
38.939716,-76.95203,88
39.134062,-76.8579,3
39.101646,-76.80334,6
38.670858,-76.53652,2
38.753264,-76.89913,338
38.694074,-76.61793,16
38.96146,-76.92056,45
38.99756,-76.92577,115
38.833563,-76.877743,2
38.886812,-76.90645,1
38.756347,-76.99034,105
38.80758,-76.99193,74
38.839663,-76.91478,25
38.855479,-76.88621,44
38.822163,-76.93974,36
38.786949,-76.55335,3
38.746123,-76.65117,123
39.147257,-76.93799,13
38.820546,-76.88334,1
38.839015,-76.5114,2
38.984107,-76.81544,39
39.00391,-76.88005,371
38.792281,-76.781,40
38.892456,-76.80685,1119
38.832265,-76.55604,2
38.946746,-76.9356,14
38.96401,-76.96139,136
38.98941,-76.97294,17
38.950528,-76.8888,29
38.920111,-76.889,206
39.144807,-76.78767,1
38.97026,-77.1442,1
38.999759,-77.10185,635
38.97986,-77.08079,521
38.958377,-77.11425,13
38.996842,-77.13519,268
38.97511,-77.15928,3
39.155449,-77.07487,333
39.128854,-77.40763,5
39.194497,-77.321,4
39.093408,-77.1718,1459
39.0509,-77.12261,554
39.087409,-77.0944,56
39.035028,-77.19995,148
39.131705,-77.14981,14
39.097243,-76.93467,36
39.262598,-77.29125,3
39.284185,-77.22752,22
39.169859,-77.27564,125
39.191769,-77.24329,41
39.13975,-77.18568,224
39.11755,-77.23548,79
39.168656,-77.18716,73
39.229652,-77.1594,23
39.178737,-77.19564,27
39.143979,-77.207617,2
39.027259,-77.07745,173
39.020359,-77.0115,76
39.040759,-77.04876,233
39.014009,-76.98199,28
39.069108,-76.97834,157
39.104509,-76.99374,10
39.07737,-77.06433,43
39.143979,-77.207617,52
39.143979,-77.207617,5
38.999992,-77.03404,586
38.98236,-77.00044,121
39.508177,-76.18066,67
39.473899,-76.2983,405
39.049377,-76.49892,97
39.536057,-76.34957,591
39.532212,-76.30754,95
39.476018,-76.24355,1
39.198816,-76.9367,16
39.477506,-76.64114,47
39.487938,-76.65938,21
39.04366,-76.58805,4
39.638039,-76.22398,1
38.931312,-76.65248,1
38.921763,-76.5373,239
39.427058,-76.30183,6
39.276305,-76.86082,458
39.254356,-76.8006,97
39.21536,-76.87823,350
39.207523,-76.82527,446
39.175004,-76.85319,57
39.521572,-76.4258,22
39.506853,-76.90953,3
39.574606,-76.39022,56
39.040159,-76.68408,40
39.162225,-76.59444,5
39.164158,-76.6306,825
39.613293,-76.84802,12
39.197119,-76.75178,72
39.167708,-76.71706,3
39.554644,-76.11118,101
39.610405,-76.45569,8
39.432273,-76.35578,8
39.444457,-76.40817,3
39.209529,-76.66177,22
39.435789,-76.63614,1036
39.685569,-76.8505,7
39.359754,-76.91103,4
39.099957,-76.62114,57
39.575605,-76.59123,5
39.079902,-76.70867,72
39.012134,-76.68561,55
39.419105,-76.78388,243
39.656737,-76.66001,12
39.125776,-76.51863,86
39.400296,-76.44639,3
39.504706,-76.57112,14
39.376372,-76.79916,180
39.470603,-76.81417,37
38.952412,-76.58205,1
39.079059,-76.55784,108
39.543905,-76.67,12
39.661905,-76.35166,1
39.563901,-76.98926,479
39.624705,-77.03086,2
39.387307,-76.41236,14
39.336855,-76.84947,1
39.295306,-76.62118,2941
39.296507,-76.60693,1416
39.405606,-76.62648,1976
39.301157,-76.57478,70
39.341107,-76.54085,38
39.324406,-76.7176,24
39.376879,-76.7287,645
39.368974,-76.66904,116
39.352496,-76.63452,55
39.328957,-76.63361,222
39.363456,-76.61142,87
39.311474,-76.58283,29
39.351857,-76.56399,15
39.345456,-76.68038,486
39.310006,-76.67029,12
39.306306,-76.63786,16
39.325956,-76.60602,481
39.337798,-76.41533,5
39.307737,-76.45171,18
39.263162,-76.5082,51
39.286556,-76.64644,72
39.284607,-76.55696,333
39.229507,-76.61203,163
39.241957,-76.67712,296
39.278056,-76.74002,309
39.284856,-76.6878,570
39.273107,-76.62613,31
39.288607,-76.59116,11
39.385006,-76.54177,103
39.389457,-76.48709,210
39.33224,-76.50365,1468
39.36225,-76.58812,869
39.338156,-76.76438,63
39.399639,-76.58418,177
39.297457,-76.592738,1367
38.997511,-76.49803,1351
38.988506,-76.47229,2
38.946462,-76.48358,19
39.646587,-78.77398,1386
39.64612,-78.93778,11
39.675393,-79.17045,2
39.409861,-79.39015,97
38.777863,-76.0782,385
38.545285,-76.09118,105
39.049697,-76.05309,24
38.949536,-76.28063,345
39.215278,-76.09726,119
38.871895,-75.8273,14
38.705731,-75.77488,3
38.747216,-75.91459,2
38.945143,-75.96915,1
38.963566,-76.13939,22
39.137775,-76.22765,1
38.942464,-76.34124,32
39.423344,-77.38902,423
39.451934,-77.442,631
39.385165,-77.4539,69
39.363415,-77.37849,103
39.521507,-77.66056,11
39.4203,-77.505098,4
39.313666,-77.62466,8
39.656474,-77.9152,1
39.695328,-77.32721,4
39.280106,-77.02052,2
39.633946,-77.73025,400
39.658897,-77.68297,329
39.692614,-78.21691,9
39.342096,-77.29984,13
39.460534,-77.69284,1
39.446452,-77.55169,10
39.354093,-77.24861,3
39.381295,-77.15867,39
39.528123,-77.557,1
39.408627,-77.28676,8
39.39667,-76.965,146
39.665171,-77.17264,4
39.604303,-77.41092,9
39.5549,-77.18176,38
39.484843,-77.34668,9
39.600029,-77.81584,63
39.335671,-77.06364,1
38.369675,-75.61214,221
38.359332,-75.56931,317
38.343166,-75.19082,1052
37.985297,-75.84597,3
38.284622,-75.64771,11
37.991177,-76.02374,1
38.322867,-75.62088,1
38.385457,-75.07153,55
38.069322,-75.54811,19
38.205272,-75.70169,51
38.193683,-75.41162,15
38.100727,-75.7115,1
38.446894,-75.56365,9
39.593813,-75.95602,18
39.571003,-76.05077,2
39.61881,-76.0853,51
39.694974,-76.05395,11
39.402919,-75.86943,3
39.523096,-75.84155,2
39.425542,-75.96164,1
39.626736,-75.84294,423
