latitude,longitude,count
43.190984,-70.88787,34
43.29016,-70.84559,1
43.135435,-70.79348,10
43.101538,-70.73611,45
43.08512,-70.69607,9
43.327517,-70.7646,3
43.234782,-70.77876,3
43.159537,-70.65239,451
43.490939,-70.6884,4
43.480704,-70.45871,299
44.059192,-70.72552,56
43.8992,-69.95894,472
43.365658,-70.604379,1
43.773606,-70.80878,7
43.798251,-70.26554,3
43.823849,-70.68482,2
43.887356,-70.67755,1
43.585861,-70.6793,1
43.843778,-70.10172,49
44.050856,-70.95648,3
43.697118,-70.46301,78
43.879576,-70.3533,14
43.871738,-70.83391,1
43.38551,-70.54707,54
43.399494,-70.4769,1
43.682791,-70.77178,2
44.172276,-70.87231,1
43.959974,-70.60312,4
43.810673,-70.41697,35
43.514864,-70.3856,1
43.833831,-70.93094,2
43.917206,-70.47233,1
43.527322,-70.45171,95
43.426792,-70.75245,66
43.583224,-70.35268,411
43.910029,-70.524524,1
43.797398,-69.95217,2
43.467037,-70.80275,8
43.761599,-70.56433,5
43.770432,-70.63812,2
43.94674,-69.96163,73
43.56066,-70.75497,4
43.320211,-70.61178,11
43.682148,-70.35823,165
43.660386,-70.57492,1
43.801773,-70.17932,51
43.660525,-70.25862,554
43.658632,-70.2911,930
43.685882,-70.2903,186
43.736732,-70.26027,127
43.631549,-70.27272,339
43.604739,-70.22617,19
43.760369,-70.19681,3
44.089173,-70.24143,191
44.372129,-70.8175,10
44.555583,-70.41383,2
44.194404,-70.14181,2
44.516475,-70.21933,3
44.094773,-70.19141,662
44.027509,-70.1097,1
44.009827,-70.05631,5
44.470961,-70.17486,5
44.10472,-70.39197,6
44.556984,-70.53351,1
44.231811,-69.99897,2
44.283844,-70.11254,16
44.223589,-70.58366,204
44.114612,-70.50506,33
44.049157,-70.39077,2
44.53599,-70.56609,54
44.235141,-70.50508,10
44.266842,-70.24563,2
44.325285,-70.52451,5
44.602261,-70.22906,3
44.344406,-69.76345,434
44.258771,-69.551024,8
44.07685,-69.75012,1
44.26043,-69.80122,2
44.211491,-69.80866,37
44.286802,-69.79788,13
44.306955,-69.87518,13
44.376802,-69.96353,2
44.117232,-69.82947,13
44.428911,-69.52679,1
44.31842,-69.95997,8
44.81777,-68.78952,6408
44.78696,-68.7547,652
44.609813,-68.78303,13
44.405928,-68.79341,1
45.679453,-67.86208,2
45.195052,-69.18861,112
44.700606,-68.59682,4
45.517693,-69.5223,2
45.245781,-69.37191,9
44.735745,-68.92518,11
45.368934,-68.48354,20
45.638612,-68.52012,1
45.646916,-68.74801,30
44.951551,-68.67889,4
44.889249,-68.68177,167
45.247401,-68.51819,12
44.657697,-68.8957,3
43.900651,-69.83405,80
44.084989,-69.62535,2
43.85424,-69.63217,5
44.036533,-69.48841,74
44.048714,-69.54335,8
43.973476,-69.63516,2
43.793136,-69.81778,1
44.10637,-69.37177,4
43.974367,-69.68366,11
44.614885,-68.43626,176
44.402596,-68.26204,54
44.413056,-68.58156,169
45.166045,-67.24243,25
44.753992,-67.3786,1
44.913741,-67.00391,8
44.599134,-67.82533,7
44.554662,-67.57808,2
44.818733,-67.04996,2
44.248615,-68.3521,1
44.802637,-67.54727,33
44.512003,-67.87827,2
44.975116,-67.1946,1
45.188555,-67.59063,1
44.333099,-68.65693,1
44.790082,-67.24789,2
44.384841,-68.09458,1
45.116525,-67.42484,3
46.12672,-67.87798,50
46.878869,-68.01128,382
47.042226,-68.61588,2
46.657001,-67.86338,1
47.209541,-68.57238,169
47.345936,-68.32256,2
46.024219,-68.49241,18
46.679321,-68.00216,360
47.119796,-69.00258,2
45.864106,-68.33986,1
45.880436,-68.45173,1
47.14685,-67.94718,3
46.78551,-68.16871,1
44.108735,-69.11366,158
44.218159,-69.08184,20
44.305981,-68.90883,1
44.325944,-69.03065,3
44.154189,-68.8781,3
44.180867,-69.09812,132
44.082602,-69.17598,2
44.240765,-69.27048,3
44.061051,-68.83819,4
44.554965,-69.61297,1098
44.513491,-69.43496,8
44.445295,-69.02257,180
44.493133,-69.83348,1
44.414056,-69.751913,1
45.07952,-69.84723,10
44.785927,-69.30376,2
45.023476,-69.29725,4
44.603329,-69.63627,1
44.66776,-70.12362,310
44.861365,-69.49934,2
45.018122,-70.2669,4
44.819206,-69.82782,4
44.85549,-69.26397,39
44.700173,-69.82554,1
44.560495,-69.76938,13
44.845899,-69.36775,1
44.840352,-70.37235,1
44.774328,-69.40616,158
44.966701,-70.6576,4
44.500622,-68.92829,3
44.782568,-69.69212,48
44.624821,-69.81117,1
44.499082,-68.85667,2
44.822625,-70.21778,1
44.60509,-69.33022,2
32.311287,-90.397157,2
