latitude,longitude,count
42.631359,-82.554,10
42.931178,-83.04585,8
42.842554,-82.91471,7
42.544084,-83.21527,172
43.01185,-82.93255,5
42.479137,-83.02449,13
42.535534,-83.15112,40
42.466086,-82.94641,86
42.693915,-82.66859,4
42.524134,-83.25454,191
42.536402,-82.95044,38
42.459022,-83.09819,7
42.474234,-83.29078,455
42.554134,-82.90786,131
42.587117,-82.89837,261
42.603172,-82.94459,803
42.710445,-82.50811,6
42.910198,-82.47973,35
42.93281,-82.80345,1
42.68347,-82.92958,17
42.596784,-82.88031,463
42.650265,-82.93416,143
42.582961,-82.83063,4
42.670932,-82.77754,96
42.739751,-82.79758,6
42.786198,-82.8092,4
42.682081,-82.83068,6
42.769956,-82.52595,58
43.088742,-82.48614,110
42.978974,-82.44402,363
42.829226,-82.77538,16
42.773535,-82.67684,1
42.826805,-83.02963,76
42.503285,-82.93851,197
42.488735,-83.13752,169
42.472235,-83.14051,4
42.482585,-83.16812,20
42.501385,-83.10474,259
42.497035,-83.18532,78
42.518635,-83.16357,1923
42.948521,-82.57049,7
42.465275,-83.2264,854
42.499335,-83.22829,214
42.833034,-82.50425,24
42.462036,-82.90232,188
42.497736,-82.89979,331
42.526965,-82.88809,12
42.556943,-83.11506,958
42.563505,-83.18405,254
42.597323,-83.116567,194
42.516851,-82.982757,205
42.467086,-82.99866,41
42.465886,-83.056,18
42.511293,-83.0597,97
42.514885,-82.99768,541
42.727731,-83.03847,38
42.779239,-83.02605,28
43.131709,-82.81411,7
42.599133,-83.15235,52
42.587643,-83.173666,2
42.254788,-83.21027,118
42.280887,-83.79147,185
42.266805,-83.72297,152
42.307288,-83.70443,322
42.253502,-83.836571,4
42.232807,-83.72671,82
42.291637,-83.71831,6654
42.194865,-83.49083,36
42.566097,-83.75725,293
42.509476,-83.77718,230
42.05589,-83.40605,2
42.316922,-84.03445,636
42.306288,-83.15863,20
42.281638,-83.18188,1
42.294987,-83.25049,628
42.277388,-83.25987,11
42.333787,-83.18179,289
42.335687,-83.28332,104
42.320237,-83.26872,16
42.344837,-83.89907,23
41.965806,-83.67133,33
41.777302,-83.49818,1
42.107026,-83.28711,28
42.324338,-83.3382,169
42.130091,-83.16017,2
42.449117,-83.80332,9
41.876895,-83.58184,1
42.292582,-83.31414,18
42.454366,-83.83372,6
41.754298,-83.63047,75
42.243488,-83.18097,57
42.365936,-83.36513,99
42.427835,-83.36299,390
42.396194,-83.37161,358
42.14784,-84.03123,7
42.081363,-83.68414,12
41.904793,-83.41669,175
41.940898,-83.38515,284
42.128069,-83.38785,3
42.501401,-83.62916,5
41.988228,-83.29818,8
42.425506,-83.48945,98
41.885451,-83.418524,22
42.455063,-83.93425,65
42.370837,-83.4856,142
42.073793,-83.21575,1
42.212372,-83.37223,26
42.16489,-83.78387,60
42.45644,-83.66673,31
42.231788,-83.26481,239
41.773203,-83.57793,15
42.137071,-83.21446,156
42.276688,-83.3786,54
42.335937,-83.378,201
42.293787,-83.37464,31
42.33087,-83.47575,456
42.289354,-83.47401,45
42.422746,-83.78009,3
42.199989,-83.17402,220
42.205289,-83.19812,163
42.223482,-83.63316,685
42.247039,-83.58215,38
42.343787,-83.05879,4360
42.375237,-83.07837,2207
42.421936,-83.09981,22
42.365337,-83.14254,3
42.433703,-82.98068,20
42.375787,-83.10849,3
42.352837,-83.02449,47
42.348937,-83.08994,24
42.307088,-83.11467,17
42.338137,-83.12785,6
42.379019,-83.04483,1
42.410037,-83.05826,55
42.395904,-82.99632,34
42.368137,-82.99314,42
42.378287,-82.95243,19
42.328338,-83.07805,13
42.425236,-83.24902,50
42.460986,-83.13398,21
42.426786,-83.14969,27
42.394586,-83.24422,10
42.410487,-82.94348,10
42.438186,-82.9283,17
42.331821,-83.04888,9
42.388786,-83.1918,8
42.355437,-83.21722,7
42.250505,-83.14829,1
42.386087,-82.92426,146
42.432686,-83.04422,16
42.427636,-83.19547,146
42.425836,-82.90003,1761
42.467235,-83.17952,61
42.396736,-83.14152,2
42.379436,-83.29105,42
42.426285,-83.30197,11
42.546445,-83.28083,48
42.5863,-83.29705,178
42.586677,-83.22956,76
42.708151,-83.16584,37
42.662293,-83.12781,796
42.662732,-83.18111,104
42.563644,-83.07158,140
42.558151,-83.00446,101
42.598734,-82.99938,119
42.609789,-83.04844,135
42.662902,-82.99392,187
42.689632,-83.06154,42
42.639777,-83.04255,94
42.611783,-83.33757,19
42.541268,-83.37551,342
42.572442,-83.37159,82
42.595233,-83.39974,10
42.661129,-83.24571,92
42.642764,-83.40273,271
42.642302,-83.35133,139
42.68828,-83.38967,24
42.508809,-83.40875,39
42.660091,-83.3863,19
42.5065,-83.35363,383
42.465142,-83.39853,27
42.458502,-83.3464,614
42.668532,-83.29585,2
42.626947,-83.30243,334
42.644581,-83.28211,115
42.720966,-83.4044,202
42.768373,-83.37805,40
42.747677,-83.52283,3
42.644709,-83.71792,12
42.66415,-83.58982,3
42.656281,-83.63297,13
42.722932,-83.28537,13
42.74628,-83.2612,60
42.783379,-83.2471,19
42.823968,-83.27921,61
42.467945,-83.51766,406
42.462734,-83.45865,191
42.511766,-83.47314,170
42.571402,-83.59318,71
42.593035,-83.48997,99
42.657361,-83.54529,3
42.642431,-83.47193,7
42.549483,-83.47969,39
42.532251,-83.53378,14
43.803691,-83.00181,79
43.268788,-83.79486,5
43.214645,-82.98356,3
43.420791,-82.6415,1
43.176375,-83.726,14
43.154173,-83.3933,2
43.263998,-82.64573,8
43.029526,-83.5218,88
43.519997,-82.71234,7
42.918766,-83.99148,3
42.78459,-83.74074,69
43.89867,-83.01232,2
43.072177,-83.84883,27
43.111009,-83.62016,1
42.911611,-83.48421,2
42.925677,-83.63585,403
42.952899,-83.40536,1
43.812371,-82.69274,29
42.800191,-83.5968,15
43.038967,-83.06067,21
43.048777,-83.33073,391
43.243891,-82.52701,10
42.800911,-83.81366,9
43.336126,-83.03213,22
42.938891,-83.29409,5
43.182851,-83.89507,3
43.116959,-83.69025,12
43.131102,-83.98443,1
43.210744,-83.20549,7
42.84391,-83.43109,10
43.167457,-83.52542,3
43.418054,-82.83687,56
42.950128,-83.82612,27
43.014077,-83.69012,172
43.011227,-83.69291,401
43.043627,-83.73126,91
43.062076,-83.69728,4
43.047826,-83.64688,8
42.973263,-83.70142,260
43.020176,-83.60433,65
42.984777,-83.61155,13
42.972477,-83.67085,2
43.005477,-83.76098,672
43.413975,-83.91427,192
43.423925,-83.97142,443
43.441975,-84.01177,241
43.473075,-83.94479,203
43.431375,-83.93267,2
43.40153,-84.09438,5
43.617796,-84.07918,22
43.87787,-84.42078,1
43.190239,-84.11987,61
43.828266,-84.74219,152
43.747084,-84.55669,5
44.718279,-83.98795,4
43.840787,-84.86734,1
43.518309,-84.1337,12
44.041529,-84.46503,79
44.052759,-84.83959,13
43.416335,-84.22384,1
44.305812,-84.75589,16
44.616344,-84.27784,1
43.605457,-84.27234,491
43.652404,-84.21671,24
44.654024,-84.10388,1
43.851276,-83.97901,4
44.258616,-84.646,8
44.484145,-84.66089,10
44.468977,-84.19608,4
43.297082,-84.14652,4
44.360384,-84.43815,6
43.69784,-84.39169,2
43.985129,-83.93628,10
44.080925,-84.02506,4
44.288158,-84.21162,97
43.637471,-84.256758,139
44.06434,-83.65821,12
43.607523,-83.9162,114
43.583323,-83.87869,181
43.346632,-83.84636,9
43.490117,-83.3881,78
43.604819,-83.17889,26
44.335904,-83.48516,6
43.605861,-83.81298,16
43.542822,-83.61267,1
43.340413,-83.74123,235
44.379147,-83.83539,14
44.663477,-83.3516,9
43.274498,-83.53822,10
44.447318,-83.41927,50
43.85672,-83.28557,42
44.206123,-83.99306,3
43.462775,-83.68564,2
43.737971,-83.43007,2
44.250144,-83.55805,191
43.370434,-83.57917,2
43.377113,-84.66256,124
42.821233,-84.46099,2
43.085313,-85.24478,28
43.184647,-84.84871,66
42.580076,-84.8228,46
42.841491,-85.25046,33
43.000193,-84.0634,1
42.552218,-84.27674,1
42.842438,-84.58612,104
42.747922,-84.47143,705
42.725884,-84.4792,305
42.507093,-84.6579,15
43.404412,-85.03033,6
42.666646,-84.07542,42
42.749774,-84.7503,42
43.1791,-85.26533,18
