latitude,longitude,count
44.903133,-92.81904,1
45.017767,-92.78039,1
45.722,-93.19781,1
45.566735,-93.24381,25
44.493575,-92.89402,16
45.335128,-93.27434,1
45.365164,-92.88864,4
45.153516,-93.14463,5
44.830966,-92.93739,17
44.415567,-93.23269,1
44.571365,-93.36011,1
44.29478,-93.28732,66
44.649263,-93.15222,15
45.272117,-92.9911,29
44.408846,-92.63312,1
44.726517,-92.86147,37
46.008128,-92.79349,12
45.161267,-92.99596,34
45.470239,-93.27947,2
44.42278,-92.2948,36
44.999023,-92.90939,18
44.9316,-92.77001,2
44.669564,-93.26654,55
45.387281,-92.83551,24
44.464394,-93.42243,8
45.897003,-93.29452,91
44.571056,-93.354267,18
44.871166,-93.00187,1
45.509818,-92.97816,3
44.459969,-93.16623,123
44.07393,-93.22716,198
45.824236,-92.95813,16
44.539036,-92.53637,140
44.732105,-93.13437,9
45.690784,-92.96843,1
45.395912,-93.37005,6
46.131798,-92.71377,7
45.275771,-92.83001,12
44.887966,-93.04546,6
44.844833,-93.03528,20
44.825391,-93.06893,4
45.403157,-93.02829,2
45.054551,-92.82581,448
45.054666,-92.95703,1
45.329115,-93.06834,23
44.964852,-93.08397,500
44.935315,-93.12049,1459
44.964115,-93.12261,43
44.953665,-93.15922,861
44.934465,-93.16554,73
44.967565,-93.05001,8
44.928315,-93.08876,25
44.982515,-93.17489,20
45.010632,-93.01845,408
45.081266,-93.01146,86
45.076365,-93.19335,131
45.011215,-93.15536,94
44.964815,-93.19581,182
45.060048,-92.95762,8
44.913815,-93.17459,57
44.989065,-93.10666,109
44.903165,-93.10026,50
44.957315,-93.00616,71
44.873398,-93.14538,2
44.844965,-93.14431,26
44.804548,-93.19871,312
44.804048,-93.13378,46
44.743963,-93.20624,134
44.921982,-92.94234,327
45.085643,-93.1353,59
45.076708,-93.0828,30
44.985792,-92.96532,65
45.237867,-93.66261,5
45.246631,-94.11692,7
45.247509,-93.418,33
45.254715,-93.28652,21
44.953763,-93.43346,138
44.732569,-93.28909,413
44.613278,-94.10728,8
45.426203,-93.85017,24
45.358004,-93.74294,8
44.761856,-94.8845,1
45.102133,-93.48757,10
45.175558,-93.85441,120
45.170714,-93.38452,15
44.866236,-93.54487,163
44.809954,-93.6105,52
45.387625,-94.0599,2
45.085142,-94.18748,6
44.768762,-93.77839,2
45.091115,-94.31758,10
45.032489,-93.79591,5
45.321197,-94.56778,1
45.317152,-93.58117,64
44.901368,-93.58278,27
44.529702,-94.71718,1
44.542729,-94.21773,2
44.773886,-94.17294,35
44.770297,-93.27302,151
45.07343,-93.56455,3
44.921599,-93.40857,127
44.867013,-93.42557,158
44.915413,-93.48443,42
44.880435,-93.4869,7
44.831413,-93.46031,3
45.064272,-94.07175,6
44.896255,-94.38604,250
44.657463,-93.6133,15
45.328802,-94.32528,1
44.881515,-94.05846,1
45.104473,-94.52868,27
44.985463,-93.58388,19
45.088013,-93.65053,4
45.244744,-94.00289,2
45.002212,-93.69319,4
45.301337,-93.80774,58
45.046143,-93.92085,2
44.933712,-93.66038,5
44.756883,-93.91666,11
45.120764,-93.43183,372
45.576431,-93.57644,68
44.704646,-93.42139,32
45.087513,-93.73548,4
45.197646,-93.57104,21
44.906512,-93.7439,4
45.20382,-93.67618,17
44.761796,-93.3722,46
44.776138,-93.52556,2176
44.936423,-93.62868,5
44.858595,-93.66341,5
44.849912,-93.78514,132
44.955136,-93.84467,16
45.291986,-94.43811,2
45.066811,-93.97836,1
44.963063,-93.52912,45
44.960829,-94.05525,2
44.536882,-94.36811,1
45.455085,-93.57873,3
44.975565,-93.27053,118
44.971765,-93.28557,168
44.963365,-93.26179,4016
44.971798,-93.30273,26
44.938615,-93.22082,17
44.934915,-93.25424,1135
44.947515,-93.28742,83
44.924115,-93.28362,8
44.911564,-93.31947,10
44.999165,-93.29823,18
45.027715,-93.30337,21
44.997665,-93.24927,36
44.980379,-93.23003,20
44.973415,-93.25941,622
44.946664,-93.34215,2160
44.905365,-93.23662,5
45.019315,-93.24304,8
44.902414,-93.29012,6
44.837964,-93.27657,20
45.050434,-93.25007,92
45.014764,-93.33965,1978
44.877164,-93.28124,102
44.904414,-93.34045,28
44.846765,-93.2449,12
44.952064,-93.37795,156
45.006764,-93.38223,53
45.059997,-93.37702,5
45.064714,-93.34155,30
45.059265,-93.29977,15
44.829564,-93.30982,225
45.095674,-93.25336,477
45.163848,-93.3195,542
45.164248,-93.2531,147
44.875614,-93.33487,1595
44.903864,-93.37056,49
44.822764,-93.34422,964
44.8257,-93.38212,4
44.875997,-93.37021,184
45.001997,-93.42421,134
45.046701,-93.42892,56
45.108581,-93.33988,91
45.112742,-93.3789,11
45.039312,-93.47988,186
45.003363,-93.49262,20
45.186232,-93.29635,64
45.168287,-93.20001,84
44.969465,-93.24327,2645
44.971965,-93.23588,1542
44.805487,-93.766524,2
47.939037,-90.54659,20
47.314743,-91.25765,5
47.077723,-91.66464,35
47.45225,-92.24109,12
47.688083,-91.91856,3
47.509833,-92.87637,4
46.727077,-92.48612,71
47.285247,-93.43112,1
47.854987,-92.77077,11
46.667284,-92.87081,2
47.913365,-91.91712,49
47.4211,-92.51331,4
46.929033,-92.90614,1
47.243062,-93.52599,157
47.413817,-92.94228,298
46.67746,-93.28391,4
46.44429,-92.7699,54
47.502878,-92.66548,1
47.406731,-93.1645,83
48.098627,-92.80495,15
47.825059,-92.3247,4
47.527383,-92.53371,273
46.774593,-92.09206,124
46.972432,-92.10105,13
46.86242,-91.98342,17
46.798339,-92.09568,993
46.770773,-92.12718,16
46.738841,-92.16969,43
46.674141,-92.2276,2
46.753414,-92.24355,8
46.821489,-92.18242,71
46.809438,-92.07319,40
44.048931,-92.49459,80
43.991846,-92.49166,18
43.988708,-92.42937,636
44.022513,-92.466826,6724
44.064733,-92.44427,10
43.671988,-92.97908,17
43.88481,-93.07546,1
44.024835,-92.6388,1
43.630012,-91.48667,3
43.84113,-92.1606,1
44.026272,-92.86903,1
44.135053,-92.28314,1
43.55123,-92.04994,1
43.769776,-91.57534,1
44.035512,-92.75013,3
43.829382,-91.33919,24
43.70844,-91.95965,1
43.525845,-92.51616,1
43.498082,-91.89429,6
44.272368,-92.53501,1
44.196932,-92.65482,2
44.164431,-92.17048,3
43.646355,-92.12329,2
43.80784,-91.75117,2
43.977555,-92.06276,2
43.57279,-91.65004,1
43.686356,-92.37242,2
43.862105,-92.49849,5
44.374261,-92.04204,15
44.285672,-92.79816,1
44.033867,-91.65106,225
44.297157,-92.68312,6
44.15644,-93.99388,711
44.056047,-94.069828,168
44.184909,-94.04244,7
43.652042,-93.36916,296
44.616113,-93.76906,2
43.630763,-94.10129,8
44.153696,-93.86918,1
43.646916,-94.45856,177
44.102188,-93.71255,1
44.128212,-94.23883,2
44.393899,-93.72583,1
44.449976,-93.90513,7
44.045998,-94.4211,18
44.429956,-93.56982,1
44.546463,-93.57848,57
43.899778,-93.53178,1
44.308395,-94.46149,83
44.331757,-94.19561,1
43.986563,-94.63345,24
44.337276,-93.99282,30
44.29717,-94.73426,15
44.239384,-94.98313,12
43.834331,-94.4436,1
44.067673,-93.5103,20
43.731479,-93.71837,3
43.764936,-94.18016,4
43.870469,-95.13275,30
43.626278,-95.93973,13
43.861532,-95.59378,2
44.512114,-96.41157,17
44.476959,-96.23,1
43.625811,-95.00447,16
44.268332,-96.30822,2
43.649239,-95.19501,2
44.227021,-95.28014,1
43.653947,-96.2303,39
43.942515,-94.93058,1
44.020814,-96.32473,33
43.660847,-94.74357,1
44.007631,-95.75803,18
44.260625,-95.62371,67
43.771341,-94.72593,1
44.274909,-96.12408,7
43.672105,-94.61716,1
44.043567,-95.41116,11
43.623255,-95.59604,79
45.118846,-95.04504,245
45.228278,-96.00539,5
45.317872,-95.57247,13
45.606998,-96.81833,2
44.725437,-96.2921,27
44.974538,-95.36594,2
44.761504,-95.8183,2
45.459383,-96.44694,1
44.932368,-96.04823,16
45.568463,-96.45916,8
44.794723,-95.56737,25
45.488399,-95.78157,5
45.036047,-96.19573,1
44.446885,-95.77281,167
44.58701,-95.98153,4
44.985313,-95.7066,52
44.417533,-94.91902,2
45.584124,-95.9092,49
45.327429,-94.99921,19
44.766441,-94.99624,12
45.335958,-96.40032,22
44.540923,-95.12732,49
44.783251,-95.20682,1
45.238936,-94.95001,1
44.403815,-95.25784,2
45.823795,-96.47706,11
45.526066,-94.20649,81
45.568516,-94.19251,814
45.547283,-94.11303,3
45.632455,-94.58257,6
45.88645,-95.38287,268
45.902998,-95.88297,2
45.462728,-94.42511,28
45.695411,-93.90417,10
45.67539,-94.67303,1
45.609555,-95.35104,15
46.035241,-93.9153,3
46.212757,-93.45729,3
45.994029,-94.37183,107
45.973572,-94.8582,6
45.659491,-94.81417,2
45.760191,-93.63247,5
46.073505,-93.66983,9
45.884771,-95.10486,1
46.156758,-95.33754,1
45.389395,-94.70519,14
45.996396,-94.08461,6
45.448703,-94.52597,1
45.582653,-94.32974,5
45.622966,-94.20959,121
45.729898,-94.97236,36
45.608178,-94.13838,6
45.578335,-95.55201,2
45.80679,-94.57067,1
45.550378,-94.22429,46
46.352758,-94.16289,390
46.347175,-94.27017,1276
46.507241,-93.66458,43
46.528094,-93.98055,79
46.67066,-94.10686,9
46.244818,-93.8155,14
46.963355,-94.4646,2
46.362398,-94.63849,1
46.501623,-94.28917,8
46.974221,-95.06581,53
46.602684,-94.29986,15
46.368605,-94.4846,21
46.718997,-94.38716,7
46.380664,-94.80503,83
46.447659,-95.14289,45
47.099774,-94.53347,1
46.809965,-95.8518,197
47.322444,-96.51915,50
46.653912,-96.42891,3
46.284496,-95.70975,3
46.27324,-96.54888,18
46.878062,-96.70242,2
45.990556,-95.96704,12
46.282084,-96.06798,154
47.557644,-96.26954,2
47.571567,-95.73784,10
46.864977,-96.30781,16
46.31855,-95.45375,1
47.330624,-95.87672,1
46.861413,-96.75367,209
46.890034,-96.506156,5
47.093608,-95.84166,40
46.608461,-96.0663,14
46.607429,-95.55911,34
47.245894,-96.24825,4
47.504496,-94.87105,344
47.436583,-95.41337,15
48.663939,-94.54953,13
47.667203,-93.58773,6
47.373207,-94.58834,30
47.382872,-93.84832,15
48.579947,-93.38142,89
47.997931,-94.55748,1
47.821937,-94.18727,3
48.018746,-94.87594,1
47.871135,-95.14362,23
47.036967,-94.02951,10
48.118625,-96.1793,174
47.761982,-96.58055,87
47.956458,-96.98774,26
48.787016,-96.95434,6
48.565296,-96.47578,2
48.817919,-95.75167,58
48.478075,-96.83465,1
48.195512,-96.74207,5
48.890886,-95.33831,9
38.322558,-88.90842,4
