latitude,longitude,count
40.583803,-73.95019,1
35.954679,-80.44132,18
36.027101,-80.39312,30
36.429179,-80.19588,45
36.367258,-80.72296,8
36.198622,-80.52694,5
36.293122,-80.3546,24
36.097767,-80.42715,12
36.383107,-79.97451,9
36.421448,-79.97458,8
35.920477,-80.57143,61
36.49376,-80.62336,206
36.182718,-80.36487,2
36.398995,-80.48006,4
36.232354,-80.30391,2
36.47266,-79.90522,1
36.174243,-80.16679,5
36.298241,-80.14383,5
36.12301,-80.64557,40
36.107037,-80.21918,93
36.066545,-80.30733,1154
36.094104,-80.31503,7
36.147887,-80.23423,4
36.141395,-80.3137,145
36.046215,-80.18998,3
36.039398,-80.26171,22
36.027482,-80.20728,1042
35.686122,-79.82919,196
35.665973,-79.832161,4
35.354158,-79.76839,1
36.205771,-79.69839,6
36.072336,-79.4698,364
36.047523,-79.479743,1
36.132737,-79.41135,5
35.911979,-79.69566,1
35.618434,-80.10517,2
36.152742,-79.50839,3
36.125747,-79.56352,2
36.031837,-79.37815,11
35.950436,-79.99345,3
35.964586,-80.02239,676
35.914548,-79.96062,28
36.017647,-80.00628,86
36.079726,-79.09459,48
35.998221,-79.93573,2
36.119887,-80.08726,195
36.505996,-79.74935,115
36.392135,-79.773094,2
35.775789,-80.23174,248
35.856896,-80.28961,9
35.884276,-79.56809,2
35.752578,-80.37587,1
36.108536,-79.6808,1
36.111449,-79.27142,19
35.227919,-79.99741,19
36.178137,-79.9842,10
35.756091,-79.17848,37
35.937595,-79.75441,1
35.711954,-79.63723,3
35.817411,-79.80389,12
36.345919,-79.67075,77
35.447663,-79.57555,4
35.458804,-79.16415,152
35.401023,-79.14419,8
35.53332,-79.71018,3
35.729692,-79.44984,38
35.414095,-79.78487,2
36.209976,-79.88921,3
35.871,-80.08603,43
35.382213,-79.92418,84
36.392135,-79.773094,28
35.248989,-79.54383,17
36.050652,-79.59483,2
36.387904,-79.33107,17
36.071135,-79.77468,1240
36.064485,-79.82206,215
36.107499,-79.75242,114
36.022863,-79.77895,17
36.025379,-79.87112,51
36.101385,-79.81425,319
36.083885,-79.94122,1
36.116854,-79.88291,151
36.066129,-79.806735,1
36.156707,-79.80644,19
35.494384,-78.71,4
35.73663,-78.86462,46
35.390431,-78.53155,18
35.406513,-78.73848,19
35.954331,-78.25342,2
36.138298,-78.75882,2
35.912489,-79.08144,23
35.755651,-78.77508,172
35.797882,-78.79702,115
35.915083,-79.02939,1353
35.912786,-79.10931,37
35.892359,-79.020849,182
35.797692,-78.625265,350
35.76812,-78.829548,289
35.635275,-78.4489,95
35.408375,-78.66964,1
36.111937,-78.69122,14
36.104866,-78.45893,3
35.575302,-78.80234,56
35.679194,-78.60246,45
35.384344,-78.00893,30
35.377069,-77.92463,206
36.340681,-78.39425,182
35.681429,-78.782556,2
35.643545,-78.83486,75
35.606392,-78.13755,4
35.790516,-78.48345,32
35.396654,-78.83852,26
36.062239,-78.24953,52
35.846363,-78.83866,20
35.633286,-78.97271,1
36.450603,-78.21676,1
36.340501,-78.61595,47
35.458912,-78.1638,1
35.921662,-78.45805,4
36.414739,-78.97375,47
35.506459,-78.34446,179
36.454831,-78.5702,1
35.97154,-78.52241,150
36.378439,-78.13903,5
35.781595,-78.37287,15
35.554891,-78.67038,5
36.000487,-78.44921,6
35.848039,-78.30135,26
36.05251,-79.107692,14
35.774451,-78.63274,8
35.716105,-78.65734,12
35.814572,-78.58348,26
35.788284,-78.65316,34
35.758268,-78.71783,7
35.807458,-78.70086,780
35.808451,-78.64667,7
35.844753,-78.63263,565
35.767829,-78.5861,172
35.847788,-78.70161,506
35.899208,-78.71161,91
35.939255,-78.60317,454
35.891726,-78.63203,246
35.865441,-78.54929,672
35.906016,-78.743197,108
35.797692,-78.625265,2
35.997193,-78.89731,29
35.966431,-78.83969,10
36.034561,-78.86892,504
36.015992,-78.95911,1675
35.963994,-78.93602,214
36.051155,-78.857651,149
36.087738,-78.92313,2
35.905765,-78.92113,251
