latitude,longitude,count
42.854886,-71.6082,97
43.048372,-71.3078,16
42.886486,-71.30019,162
43.045076,-71.07095,6
43.037495,-71.57023,6
42.935709,-71.86645,6
42.739909,-71.58044,1
42.759821,-71.42079,36
42.85059,-71.45379,1
42.880481,-71.38205,85
42.858053,-71.51216,21
42.831686,-71.66743,228
42.748888,-71.46492,521
42.952124,-71.653939,3
42.724822,-71.49238,92
42.770738,-71.51047,79
42.774171,-71.47306,47
42.978267,-71.69414,1
42.734182,-71.32359,6
43.031491,-71.19598,29
42.792456,-71.21316,238
42.81949,-71.85063,1
42.830184,-71.78177,4
42.805194,-71.29878,39
42.989984,-71.46376,243
42.990684,-71.4868,234
42.967684,-71.44828,2026
43.006033,-71.44716,118
43.058785,-71.44412,49
42.972584,-71.41349,16
42.942551,-71.51993,389
43.444702,-71.78401,3
43.459555,-71.47352,12
43.887682,-71.65161,2
43.204192,-71.70711,5
43.444456,-71.66034,29
43.173469,-71.81722,3
43.119417,-71.92108,2
43.557153,-71.43842,196
43.588972,-71.445452,2
43.555878,-71.398521,27
44.051981,-71.6606,2
43.644559,-71.50488,7
43.32582,-72.02654,4
43.60768,-71.64372,3
43.418863,-72.00004,55
43.356838,-71.9255,1
43.216633,-71.2079,2
43.753837,-71.64503,81
43.152469,-71.43654,3
43.446729,-71.5785,5
43.283838,-71.82537,2
43.213705,-71.53774,3557
43.310279,-71.662928,2
43.283796,-71.63832,4
43.144614,-71.53576,10
42.946418,-72.28616,159
42.871815,-72.47163,4
42.975105,-71.98913,1
42.827096,-72.03418,3
42.884919,-71.95133,224
42.749835,-72.01034,6
42.775629,-72.33893,7
44.313606,-71.79751,304
44.463337,-71.19092,129
44.893888,-71.44766,49
44.200124,-71.69959,1
44.386557,-71.16273,2
44.376866,-71.46436,4
44.483756,-71.54999,73
44.271516,-71.51746,1
43.249468,-72.39026,12
43.075411,-72.41902,9
43.374562,-72.34152,58
43.614847,-72.12058,2
43.719756,-72.2507,28
43.967542,-71.840883,1607
44.037125,-72.05658,1
43.642945,-72.24403,88
43.358339,-72.18321,25
43.53357,-72.30353,2
43.381133,-72.09028,1
43.649781,-72.30594,18
44.133215,-71.96306,57
43.070188,-70.77684,1640
43.478364,-71.22377,2
42.836245,-71.16246,3
43.966958,-71.15892,45
42.927682,-71.12034,1
43.190984,-70.88787,791
43.128085,-70.96035,9
43.208136,-71.04356,31
42.890357,-71.12296,3
42.973783,-70.97665,845
43.395688,-71.06217,2
44.116958,-71.20354,1
43.267581,-70.98552,7
43.038279,-70.84714,5
42.880837,-71.18252,15
42.93569,-70.82514,16
42.923946,-70.88666,2
44.086488,-71.13865,1
42.923643,-71.06236,9
43.072738,-70.94336,16
44.035684,-71.13084,38
42.97778,-70.83055,7
43.672636,-71.10266,4
42.837189,-71.09445,12
43.304163,-70.99816,136
43.000003,-70.76517,7
43.564008,-71.03405,1
42.88439,-70.85466,5
43.253783,-70.87549,222
43.828696,-71.32104,1
43.257919,-71.17701,1
43.015756,-70.90192,33
43.857079,-71.25988,3
43.596233,-71.19552,174
43.589157,-71.218894,5
