latitude,longitude,count
43.611238,-70.63265,1
40.578996,-74.27987,46
40.666552,-74.11768,327
40.803,-74.18895,297
40.879049,-74.29378,45
40.912798,-74.41516,67
40.848999,-74.27917,103
40.79185,-74.245241,2
40.582504,-74.22997,30
40.855854,-74.22898,64
40.82154,-73.98949,74
40.879699,-74.14263,102
40.847922,-74.1579,113
40.868699,-74.17102,336
40.834049,-74.13669,3
40.656302,-74.30371,97
40.770933,-74.20589,27
40.75555,-74.21897,200
40.79185,-74.245241,1
40.830733,-73.97334,109
40.827499,-74.28091,3
40.816737,-74.00082,16
40.641852,-74.38533,23
40.849879,-73.97501,163
40.879858,-74.10807,22
40.650802,-74.32351,28
40.80495,-74.2047,31
40.745951,-74.15509,10
40.744851,-74.03294,152
40.791895,-74.13254,35
40.763051,-74.13718,53
40.674652,-74.2908,17
40.881149,-74.38112,4
40.923233,-74.29376,22
40.633953,-74.25339,51
40.788733,-74.32134,789
40.728901,-74.26821,76
40.724168,-74.29913,169
40.81315,-74.21576,281
40.844199,-74.20218,56
40.832449,-74.24227,111
40.906152,-74.36742,59
40.892021,-74.44022,60
40.7946,-74.01963,109
40.7683,-74.23603,28
40.78865,-74.25541,504
40.860149,-74.4171,151
40.857384,-74.12899,139
40.852931,-74.10925,11
40.871299,-74.34331,5
40.633652,-74.5008,119
40.620102,-74.42481,65
40.665651,-74.299692,5
40.631252,-74.40383,3
40.607103,-74.28099,91
40.620336,-74.30934,154
40.591653,-74.31341,18
40.821799,-74.30477,28
40.641207,-74.443695,41
40.828922,-74.11064,113
40.808416,-74.12111,111
40.836555,-74.08466,3
40.830158,-74.09707,10
40.847638,-74.08754,3
40.637152,-74.37493,45
40.73915,-74.32749,32
40.74765,-74.25881,47
40.580703,-74.41401,106
40.701801,-74.32216,93
40.92241,-74.34625,2
40.695401,-74.26933,243
40.769796,-74.022351,3
40.767751,-74.0302,104
40.718401,-74.28416,1
40.649202,-74.34567,245
40.680301,-74.35601,40
40.7895,-74.01223,93
40.7885,-74.06,80
40.557104,-74.28316,87
40.736101,-74.22509,3
40.735257,-74.17326,114
40.738501,-74.19507,181
40.767702,-74.16831,71
40.725801,-74.15206,101
40.742251,-74.23006,7
40.760667,-74.1879,415
40.7935,-74.16144,326
40.8196,-74.15877,133
40.725651,-74.23207,53
40.711651,-74.21303,306
40.707553,-74.17883,12
40.669502,-74.19889,46
40.652302,-74.21692,172
40.653502,-74.26058,7
40.665552,-74.26768,27
40.695552,-74.22856,3
40.653189,-74.19158,10
40.665651,-74.299692,9
40.673102,-74.22834,153
40.721602,-74.04703,113
40.716452,-74.07253,191
40.701302,-74.08843,29
40.733751,-74.06582,242
40.748001,-74.04943,46
40.731901,-74.0402,17
40.73235,-74.075391,2
41.031505,-74.13409,10
41.014497,-74.33021,2
40.99313,-74.35893,57
40.905639,-74.1199,59
40.933943,-74.11671,341
41.11736,-74.58784,39
41.010433,-74.20847,30
41.232344,-74.48688,2
41.156187,-74.57094,12
41.026747,-74.29742,5
41.173445,-74.37404,6
41.001695,-74.10239,33
40.886628,-74.21405,212
41.181052,-74.51796,1
41.077102,-74.16147,36
40.99312,-74.14286,76
41.045897,-74.43677,16
41.028884,-74.23727,36
41.029555,-74.5071,4
41.080066,-74.5972,2
40.946748,-74.29575,8
40.99948,-74.28807,44
40.964548,-74.29813,95
41.058819,-74.14238,80
40.983997,-74.11438,476
40.948054,-74.083231,2
40.961109,-74.12576,24
41.096095,-74.26012,6
40.990032,-74.31023,34
41.054568,-74.09616,27
41.091254,-74.52081,2
41.229754,-74.60203,21
41.193708,-74.5089,78
41.013109,-74.12231,43
41.052958,-74.28236,1
40.943608,-74.25004,750
41.102569,-74.37047,14
40.998583,-74.1671,39
40.912198,-74.16863,11
40.918948,-74.1939,4
40.896798,-74.15731,146
40.912148,-74.14271,9
40.916165,-74.17129,18
40.957498,-74.15627,28
40.945198,-74.18286,51
40.903348,-74.21763,51
40.906598,-74.14944,3
40.923648,-74.14321,57
40.925778,-74.17784,2
40.888678,-74.0488,1667
40.873876,-74.02769,3
40.86289,-74.07506,15
40.862685,-73.98551,11
40.90503,-74.06279,33
40.923748,-73.99879,219
40.971956,-73.96166,22
40.942074,-73.96504,23
40.955603,-73.96044,4
40.945173,-73.99342,24
40.97514,-74.02725,163
40.893343,-73.9758,561
40.883749,-73.95173,102
40.989357,-73.97958,146
40.958573,-73.98659,8
41.007389,-74.04247,12
40.850621,-74.04112,4
40.877999,-74.08265,30
41.048997,-74.04052,47
40.936211,-74.0188,26
41.009414,-73.94849,25
40.994442,-73.95586,8
40.953126,-74.03379,120
40.845742,-73.99479,39
40.947107,-74.07047,598
41.034672,-74.04065,17
40.832421,-74.00399,29
40.856749,-74.02278,2
40.927579,-74.03739,48
40.906553,-74.07797,52
40.904131,-74.09474,51
40.890964,-74.01115,455
40.92169,-73.96482,38
40.99904,-74.03291,192
40.989508,-74.061302,8
41.025101,-74.059762,27
40.352953,-74.07703,690
40.329128,-74.06315,132
40.360581,-74.03738,37
40.236916,-74.0069,6
40.232713,-74.03143,137
40.407958,-74.03483,23
40.191809,-74.01688,2
40.415902,-74.08689,12
40.175357,-74.04694,131
40.202113,-74.01353,9
40.300226,-74.18306,41
40.250104,-74.00153,1
40.301979,-74.06889,217
40.294244,-74.34213,210
40.205367,-74.15767,9
40.241036,-74.27629,663
40.423298,-74.179,98
40.146597,-74.20815,169
40.384832,-74.17194,197
40.444407,-74.13298,11
40.439714,-74.19374,15
40.416772,-74.06058,2
40.337374,-74.12059,25
40.33517,-74.04059,61
40.297932,-73.99097,266
40.316876,-74.26112,187
40.411102,-74.23767,139
40.410213,-74.11718,56
40.332877,-73.97986,3
40.361014,-74.26595,62
40.208945,-74.05261,587
40.302718,-74.24928,114
40.263575,-74.02176,92
40.211982,-74.00916,6
40.318115,-74.01239,1
40.369145,-73.99576,2
40.153024,-74.03372,17
40.289985,-74.01671,324
40.889166,-74.55462,78
40.878785,-74.60098,12
40.869648,-74.849661,8
40.966308,-74.74298,5
40.82383,-75.04585,12
40.96035,-74.96243,3
41.177457,-74.75904,6
41.300062,-74.76058,1
40.878198,-74.73875,13
40.723778,-74.81866,11
40.739382,-74.944756,7
40.886149,-74.48704,340
40.84405,-74.70134,21
40.861748,-74.83054,281
40.919658,-74.984628,2
41.094159,-74.69036,20
40.963959,-74.61414,43
40.908198,-74.65749,5
40.876349,-74.65769,10
40.788599,-74.78295,9
40.919498,-74.63559,17
40.897398,-74.70301,2
41.0714,-74.80199,152
40.815107,-74.96802,1
40.926798,-74.50624,27
40.847649,-74.5748,100
40.810362,-74.819318,1
41.035384,-74.63557,142
40.917054,-74.71053,17
41.043858,-74.871981,1
40.855549,-74.65251,58
40.753753,-74.99617,62
40.913298,-74.58246,6
40.714501,-74.3633,294
40.6789,-74.57039,105
40.652301,-74.653,34
40.675112,-74.43459,537
40.72344,-74.57753,23
40.821149,-74.45121,64
40.7332,-74.39736,160
40.786549,-74.68799,44
40.696601,-74.63781,2
40.77835,-74.39009,157
40.683934,-74.47079,5
40.739333,-74.45631,5
40.820012,-74.36474,46
40.655399,-74.586151,2
40.75875,-74.41609,46
40.782767,-74.59529,12
40.672823,-74.52011,3
