latitude,longitude,count
41.682249,-72.93365,2
41.261936,-72.00708,1
41.390194,-73.45441,2
40.410213,-74.11718,2
40.750742,-73.99653,545
40.71704,-73.987,231
40.732509,-73.98935,1939
40.699226,-74.04118,36
40.706019,-74.00858,24
40.707904,-74.01342,456
40.714754,-74.00721,44
40.727093,-73.97864,33
40.739022,-73.98205,540
40.741012,-74.00012,363
40.72596,-73.99834,66
40.720666,-74.00526,746
40.734718,-74.00532,92
40.74618,-73.97759,20267
40.752159,-73.97231,335
40.755101,-73.99337,48
40.765714,-73.9856,806
40.758667,-73.98024,1
40.76842,-73.96045,3140
40.759015,-73.96732,713
40.776099,-73.98285,536
40.786387,-73.97709,459
40.798502,-73.96811,550
40.802853,-73.95471,22
40.812665,-73.95499,46
40.776777,-73.9541,645
40.791586,-73.94575,3555
40.818151,-73.94351,15
40.826201,-73.94879,47
40.840686,-73.94154,1901
40.848764,-73.93496,199
40.867653,-73.92,51
40.802395,-73.93359,89
40.759511,-73.99019,157
40.813385,-73.93616,194
40.709677,-74.00365,295
40.826181,-73.9371,41
40.858704,-73.92853,74
40.762174,-73.94917,3
40.766429,-73.982728,20
40.753987,-73.980811,2
40.780751,-73.977182,2
40.748998,-73.986467,4
40.750824,-73.99289,2
40.751757,-73.992171,2
40.751489,-73.990537,4
40.781894,-73.95039,469
40.761104,-73.968036,15
40.752354,-73.9789,6
40.751933,-73.976794,5
40.752859,-73.97608,2
40.751656,-73.97516,1
40.754305,-73.979782,15
40.75557,-73.978877,4
40.713062,-74.00857,18
40.707467,-74.0178,4
40.717179,-74.01433,1
40.631775,-74.09432,176
40.631127,-74.13715,12
40.629448,-74.16239,28
40.60787,-74.08991,198
40.599021,-74.07503,563
40.569394,-74.11785,220
40.508274,-74.24387,11
40.551353,-74.15098,30
40.529749,-74.21304,109
40.63212,-74.11551,187
40.605245,-74.179485,8
40.543117,-74.17628,104
40.606337,-74.14513,248
40.819729,-73.9223,504
40.838745,-73.92234,13
40.853017,-73.91214,45
40.805968,-73.91628,15
40.815559,-73.90771,95
40.829676,-73.90856,51
40.846745,-73.89861,571
40.864166,-73.88881,185
40.825432,-73.89327,42
40.84095,-73.88036,50
40.842917,-73.83819,435
40.842173,-73.85862,205
40.881086,-73.90749,202
40.857017,-73.78903,7
40.825727,-73.81752,64
40.89095,-73.84702,139
40.872265,-73.86937,1384
40.867107,-73.89916,86
40.868643,-73.84735,69
40.900629,-73.86072,7
40.900819,-73.90347,69
40.830409,-73.86845,27
40.818514,-73.85893,14
40.878522,-73.82541,44
41.289939,-73.76493,2
41.011324,-73.84152,91
41.129908,-73.70352,30
41.195778,-73.62777,3
41.236931,-73.69018,17
41.41362,-73.59556,149
41.146297,-73.83311,39
41.260283,-73.94033,3
41.444833,-73.6845,294
41.167455,-73.77597,21
41.440695,-73.9314,5
41.300561,-73.861217,1
41.269072,-73.60493,5
41.215541,-73.88543,28
41.012729,-73.86602,54
41.057089,-73.81658,12
