latitude,longitude,count
39.998073,-82.8052,15
40.304121,-82.68029,2
40.295925,-83.06968,105
40.089811,-83.13983,103
40.109478,-83.12713,739
40.493191,-82.56998,3
40.070985,-82.52134,34
39.958869,-82.49882,1
40.021665,-83.14762,283
40.151979,-82.66944,11
40.173636,-82.99675,12
40.255973,-83.36391,177
40.052907,-83.57223,1
39.900063,-82.53696,5
40.385636,-82.48254,206
40.080252,-82.82462,90
40.079115,-82.40054,574
40.017096,-82.34322,21
39.994001,-82.67652,14
40.103133,-83.26825,4
40.155515,-83.08415,329
39.956384,-82.7961,112
40.173402,-82.36653,2
40.123455,-83.95416,1
40.270926,-82.84501,11
39.909915,-82.41013,4
40.112531,-83.76633,82
40.242377,-82.42775,4
40.109513,-82.91606,160
40.14852,-82.91278,137
40.097796,-83.02076,88
39.720751,-82.94842,2
39.860353,-82.61356,4
39.703126,-82.41937,1
39.854413,-82.80872,32
39.803993,-82.70953,2
39.598236,-82.94285,84
39.939871,-83.1667,18
39.88628,-83.07989,221
39.852363,-82.89589,1
39.712887,-82.61216,306
39.530972,-82.40801,93
39.892676,-83.43643,29
39.710455,-83.28776,4
39.904288,-82.756,39
39.533002,-83.43905,99
39.939528,-83.28912,6
39.990764,-83.00117,128
40.018814,-83.00894,10
39.9718,-82.9688,5
39.958496,-83.08231,19
39.957265,-82.96587,527
39.944564,-82.98085,8
39.897695,-82.96969,23
39.958564,-82.92824,38
40.003681,-83.02148,1212
40.012714,-82.97127,7
39.988114,-83.04268,123
39.966814,-82.87413,2225
40.053063,-83.01881,3284
39.965131,-83.00431,944
40.002514,-82.92589,49
40.047273,-83.06986,133
40.02063,-83.07655,263
39.958664,-83.02856,314
39.935263,-83.04558,10
40.039914,-82.96772,1
39.944231,-82.89063,12
39.954363,-83.123,169
40.085313,-82.97326,36
40.039963,-82.87855,152
40.076042,-82.94064,31
39.924213,-82.86563,9
40.099204,-83.05567,142
40.146873,-82.98178,71
39.969036,-83.011389,4
40.589747,-83.12173,375
40.518081,-83.78052,2
40.365923,-83.75816,83
40.490756,-82.87312,1
40.954293,-83.38068,1
40.460862,-83.83774,2
40.642266,-83.60577,17
40.399648,-82.80783,6
40.555366,-82.77273,43
40.547039,-83.49204,1
40.470755,-83.18305,3
40.430758,-83.32103,2
40.469231,-83.88554,3
40.82732,-83.29921,146
40.254824,-83.751,21
41.388519,-83.65795,106
41.39235,-83.648996,1
41.304387,-82.96925,13
41.477061,-83.28361,5
41.35307,-83.11217,63
41.523309,-83.37072,6
41.390878,-83.32313,2
41.53446,-83.13569,12
41.4031,-83.47664,2
41.512855,-82.92948,51
41.603797,-83.5619,6
41.455129,-83.36565,3
41.529231,-84.30866,28
41.471569,-84.55459,105
41.29037,-84.36539,193
41.585627,-84.00778,12
41.211032,-83.89827,39
41.441679,-84.73356,2
41.572443,-84.75333,1
41.66143,-84.29732,1
41.30569,-84.74496,55
41.253169,-84.14754,14
41.626651,-83.73047,28
41.576992,-83.672,1192
41.609365,-84.62292,8
41.388278,-84.12511,29
41.540724,-83.58904,119
41.491112,-84.40709,1
41.585948,-83.87384,3
41.706383,-83.7102,173
41.501902,-83.73685,23
41.5615,-84.15574,76
41.586794,-84.43574,1
41.517402,-83.81063,1
41.658109,-83.52774,31
41.642549,-83.5104,13
41.671761,-83.6064,701
41.65,-83.59783,2
41.678248,-83.53257,492
41.63105,-83.57313,3
41.676299,-83.55996,4
41.703379,-83.49003,7
41.706048,-83.5577,4
41.703899,-83.605,20
41.60135,-83.62611,250
41.6522,-83.67037,228
41.646398,-83.46933,224
41.667361,-83.71609,66
41.607416,-83.48322,5
41.665849,-83.55218,5
41.707649,-83.64363,405
39.949377,-82.00492,2327
39.922656,-81.433818,11
39.989191,-81.17197,26
40.028171,-81.00679,7
39.741629,-81.52512,7
40.025859,-81.59243,96
39.876997,-81.90909,4
39.905157,-82.28507,1
39.675911,-81.79548,6
39.621481,-81.91737,14
40.018953,-81.73657,5
39.717824,-82.19823,8
39.991056,-81.28517,1
39.801679,-82.29166,3
39.742066,-81.09908,14
40.449531,-81.72309,5
40.270198,-81.86761,71
40.130754,-82.01637,2
40.277376,-81.59662,5
40.268019,-81.74213,4
40.01558,-80.76343,84
40.258447,-81.00415,24
40.074284,-80.77447,13
40.641545,-80.57469,253
40.103877,-80.73327,126
40.318569,-80.64172,2
39.964553,-80.76013,3
40.086725,-80.90826,48
40.371185,-80.63426,162
40.369467,-80.70251,116
