latitude,longitude,count
35.681402,-97.5331,22
35.050671,-98.23984,34
35.506456,-97.63934,32
35.292476,-98.35804,1
35.118392,-97.66381,6
34.48532,-97.852223,19
35.623805,-97.47909,161
35.113271,-98.58643,10
35.040526,-97.94723,63
35.208566,-97.44451,7
35.465363,-97.26645,9
35.22704,-97.28198,7
34.485896,-97.14753,3
35.683768,-97.44686,112
35.519046,-97.95534,22
35.857303,-97.43176,27
35.491184,-97.16132,8
35.471566,-98.54418,1
35.572909,-97.29596,4
34.839562,-97.60045,12
35.662619,-97.18976,1
34.637595,-97.93235,5
35.388059,-97.73626,28
35.240232,-97.60908,6
35.138421,-97.32689,4
35.228649,-97.45629,152
35.225702,-97.42394,258
35.212681,-97.48672,131
34.741677,-97.22846,18
36.308588,-97.28809,36
35.654827,-97.76238,4
35.017656,-97.39646,27
34.790635,-97.93807,1
35.52106,-97.34173,8
34.49284,-96.98606,14
35.279882,-97.78458,5
35.527593,-98.71259,29
34.634693,-97.16322,2
35.506204,-97.74814,66
35.47156,-97.52036,393
35.489709,-97.51819,118
35.47596,-97.50586,742
35.509659,-97.50211,20
35.482309,-97.53499,16
35.484558,-97.57336,7
35.447126,-97.55824,5
35.43366,-97.52496,122
35.459478,-97.39721,244
35.504109,-97.47889,1
35.517857,-97.57284,801
35.568806,-97.52544,103
35.440311,-97.44201,15
35.544864,-97.55637,111
35.476457,-97.47411,5
35.515008,-97.53106,70
35.42306,-97.56051,25
35.579488,-97.56496,766
35.50356,-97.44693,1
35.520506,-97.6133,9
35.481507,-97.6423,12
35.431361,-97.49267,8
35.459512,-97.35183,167
35.576357,-97.46924,9
35.552755,-97.63571,28
35.612359,-97.57152,152
35.40017,-97.43249,4
35.388461,-97.52713,152
35.498461,-97.39314,2
35.605785,-97.63042,28
35.433093,-97.39844,4
35.395362,-97.49701,2
35.407113,-97.33996,3
35.568867,-97.4055,1
35.386411,-97.55731,93
35.34377,-97.48596,108
35.579254,-97.63765,61
35.338716,-97.53569,35
34.184742,-97.12655,178
34.238486,-97.48895,5
33.938714,-96.71234,2
34.175234,-97.28894,1
34.092658,-96.74851,10
33.9401,-97.11031,3
34.273995,-96.54837,5
33.794716,-97.13848,2
34.253452,-96.68124,98
34.608348,-98.39414,27
34.613973,-98.46255,335
34.621373,-98.4001,72
34.638773,-99.31787,436
34.372622,-97.97809,28
34.502833,-97.95185,99
34.747379,-98.27805,6
34.410061,-98.96701,2
34.688567,-99.90944,5
34.855652,-99.52012,5
34.359739,-98.3455,2
34.16127,-97.99784,6
35.508248,-98.96917,35
35.603809,-99.6728,2
35.283812,-98.94987,1
35.405935,-99.41658,80
35.018385,-99.09374,12
35.321815,-99.65314,14
36.13196,-98.91683,2
35.739994,-98.75502,1
36.411133,-97.85026,129
36.402666,-97.92836,45
36.804875,-98.69707,21
36.751276,-98.37108,8
36.281915,-98.52463,8
36.455282,-97.55974,1
36.105884,-97.88304,4
35.856216,-97.93743,13
36.832446,-97.72414,4
35.713606,-97.97217,1
36.116401,-98.33352,11
35.870276,-98.43772,10
36.433665,-99.40838,79
36.851116,-99.5897,9
36.557966,-99.57425,20
36.673357,-99.88179,4
36.226355,-99.89028,23
36.56306,-98.86623,1
36.710457,-100.47888,3
36.740652,-102.54473,6
36.739447,-101.48851,79
36.832751,-101.25618,2
36.56879,-101.91782,1
36.549109,-96.146,2
36.741589,-96.00614,22
36.733398,-95.92404,88
35.951402,-95.88361,8
35.843486,-96.38183,36
35.992283,-95.80542,4
36.045907,-95.80694,115
36.053246,-95.70957,9
36.188136,-95.73199,7
36.327143,-95.61192,117
36.260645,-96.39586,16
36.369251,-95.8397,16
35.973286,-96.75751,8
35.710256,-96.76333,1
36.808722,-95.92617,1
35.987421,-96.58776,22
35.951244,-96.00803,5
36.417205,-96.38379,2
36.145085,-95.51443,2
36.012562,-95.98241,16
36.111943,-96.37159,7
36.690587,-95.62751,54
36.084211,-96.5794,1
36.278298,-95.8305,99
36.764056,-96.32123,30
36.358645,-96.77143,18
35.968675,-97.04258,2
36.533868,-95.90865,1
36.139385,-96.16523,205
35.996582,-96.1194,93
36.381305,-96.03998,23
36.105571,-97.07631,85
36.149394,-97.05784,13
36.093665,-96.987458,1
35.744531,-96.66342,12
36.935821,-95.78336,2
36.156892,-95.99508,28
36.146143,-95.95414,989
36.099044,-95.96615,76
36.184692,-95.98512,22
36.102042,-96.03144,57
36.181143,-95.95424,1
36.148444,-95.90841,9
36.126894,-95.94657,110
36.180144,-95.91129,5
36.142743,-95.98872,6
36.151143,-95.97747,179
36.160341,-96.03435,121
36.146577,-95.85194,14
36.126446,-95.86763,29
36.051893,-96.02752,71
36.04309,-95.88417,393
36.114797,-95.82105,12
36.101245,-95.92475,253
36.059495,-95.93922,1326
36.025405,-95.92953,107
36.096296,-95.8847,47
36.102112,-95.85244,114
36.631673,-95.17303,34
36.618326,-94.93424,2
36.227439,-94.67798,2
36.599689,-94.76673,58
36.444215,-94.78345,41
36.148065,-95.16801,7
36.880746,-94.87142,53
36.294174,-95.30295,26
36.296196,-95.10556,49
36.897777,-95.15249,1
36.777702,-94.68768,1
35.739681,-95.40711,141
35.719962,-95.33691,42
35.755522,-96.04744,1
35.443872,-95.54393,3
35.94785,-95.6377,16
35.280145,-95.57854,7
35.799294,-95.23355,4
35.566657,-95.09627,3
35.815497,-95.68608,1
35.447961,-95.95038,8
35.616464,-95.84645,1
35.628612,-95.9734,41
35.742956,-94.96737,4
35.272967,-95.16328,47
35.923658,-94.97185,312
35.961019,-95.3611,33
35.493581,-95.30914,2
35.963567,-95.513856,2
34.944399,-95.75709,164
34.229335,-95.61603,10
34.347553,-96.11276,16
34.590491,-95.36797,2
34.553763,-96.23084,2
34.84294,-95.57413,1
34.729815,-95.03625,82
34.886021,-95.29859,6
36.707393,-97.10167,127
36.800787,-97.29289,19
36.577618,-96.69529,8
36.904817,-97.06078,2
36.665613,-97.32967,1
34.009209,-96.38612,134
33.98526,-96.15629,1
34.142978,-94.80269,8
34.010943,-95.51651,25
33.883578,-94.83154,35
34.038794,-95.07793,1
34.148691,-94.95546,4
35.327341,-96.93544,19
35.375188,-96.93162,103
34.780243,-96.68761,384
34.817511,-96.4108,3
35.702159,-96.88961,7
35.088636,-96.38778,19
34.969783,-96.73899,7
35.44116,-96.30798,4
35.490727,-96.69141,13
35.249655,-96.65915,21
35.231608,-96.9767,7
35.166644,-96.5066,12
34.866897,-94.58622,10
35.431711,-94.56575,2
35.052793,-94.61829,41
35.413049,-94.50476,7
35.467031,-94.78647,78
35.815628,-94.65023,48
35.543155,-94.96628,3
34.38587,-100.28401,1
