latitude,longitude,count
37.860576,-122.29673,2
45.49106,-122.80359,177
45.517695,-122.85826,147
45.469079,-122.85602,52
45.46059,-122.80683,11
45.247004,-122.68208,92
45.416785,-122.52859,329
45.267354,-122.28464,3
45.385642,-122.59272,3
45.507752,-122.4323,361
45.673147,-121.5368,129
45.40765,-122.6811,81
45.41387,-122.72492,143
45.093643,-121.10814,2
45.10799,-122.56555,8
45.479419,-120.75969,1
45.344246,-122.58464,92
46.054948,-122.95714,1
45.862489,-122.84824,91
45.375143,-122.21021,24
45.778892,-122.92065,52
45.594257,-121.18944,176
45.529551,-122.39156,18
45.373991,-122.77127,233
45.262423,-121.23304,2
45.862577,-123.206,75
45.361991,-122.64443,62
45.308105,-122.77266,27
45.144415,-122.84521,45
45.451976,-122.78925,2
45.481342,-122.40856,3
46.155007,-123.7417,85
45.515181,-123.05089,37
45.541009,-123.13043,140
45.491024,-122.95745,275
45.545841,-122.94605,231
45.210104,-123.20747,231
45.720836,-123.93471,1
45.310304,-122.972,96
45.65749,-123.0242,5
45.926112,-123.81524,45
45.352086,-122.85376,13
45.459109,-123.80389,74
46.136322,-123.91753,5
45.688054,-123.8842,6
45.49894,-122.68781,23
45.481791,-122.64055,99
45.589689,-122.73875,2
45.51854,-122.6755,148
45.52054,-122.68573,540
45.482341,-122.60007,20
45.52889,-122.68458,126
45.534839,-122.7095,1407
45.56544,-122.64635,2
45.54424,-122.64353,29
45.53704,-122.59979,1748
45.51379,-122.6458,39
45.514241,-122.60089,17
45.515674,-122.56087,142
45.574439,-122.68665,5
45.45867,-122.70611,46
45.546205,-122.56027,853
45.49759,-122.72945,8
45.442634,-122.61833,268
45.43884,-122.78224,355
45.406292,-122.78441,107
45.497856,-122.76988,1659
45.543831,-122.67497,863
45.580557,-122.37477,1
45.540967,-122.81728,63
45.539473,-122.50488,20
45.52874,-122.6446,65
45.513242,-122.49985,230
45.474722,-122.50997,2
45.488031,-122.69379,1221
45.478641,-122.56233,17
45.408882,-122.61476,28
44.926644,-122.98694,1385
44.906492,-123.05129,250
44.984008,-123.01992,32
44.970181,-123.08033,22
44.995029,-122.95801,83
44.858446,-123.05368,54
44.635395,-123.0896,167
44.62205,-123.06132,16
44.838001,-122.8593,22
44.390881,-122.97168,1
44.608694,-123.2752,426
44.52789,-123.2791,14
44.920815,-123.33432,46
44.49893,-123.44503,3
44.821446,-124.05729,2
44.865209,-123.44807,3
45.060436,-123.66311,8
44.849012,-123.18673,5
44.527304,-122.85512,132
44.789252,-123.30325,4
45.067719,-122.79115,5
44.649252,-124.05039,141
44.950573,-124.00655,47
44.578526,-123.43709,13
44.702164,-122.81401,2
45.089532,-123.40787,1
44.738154,-123.91023,2
45.003489,-122.78012,83
44.798379,-122.7601,148
44.850245,-122.7645,1
44.391863,-122.72856,3
44.885,-123.99421,3
44.626888,-123.91515,4
44.424255,-124.04868,7
44.06092,-123.08275,887
44.062231,-123.16804,209
44.03858,-123.05562,8
44.101227,-123.13604,33
44.004396,-123.12203,69
44.122004,-123.06447,15
43.113799,-124.39911,22
44.178746,-122.14591,3
42.098285,-124.27265,43
42.934754,-123.25498,11
43.357357,-124.21086,326
43.187219,-124.16396,10
43.77182,-123.05667,34
43.911542,-123.03036,6
43.703855,-123.35279,1
44.009099,-124.08307,80
42.771195,-123.38578,4
43.242312,-123.03325,16
42.451203,-124.39036,81
44.278808,-123.12026,3
44.204189,-123.2294,6
43.042614,-123.2322,6
43.434529,-124.20994,18
43.747181,-122.44717,4
43.68516,-124.00262,22
43.227287,-123.35138,99
44.061057,-123.01769,288
44.070824,-122.90709,262
43.397697,-123.27314,6
44.023225,-123.38399,6
43.094626,-123.43658,1
42.313498,-122.87944,74
42.387399,-122.92154,28
42.471919,-122.87201,20
42.334496,-122.83547,897
42.169751,-122.61772,189
42.139958,-123.60245,21
42.484283,-122.74031,13
42.4631,-123.33162,104
42.405162,-123.3624,379
42.224913,-123.04526,7
42.270808,-122.81805,1
42.528269,-123.1515,6
42.259678,-123.54778,1
42.612422,-122.81342,10
42.227162,-122.78933,12
42.282428,-121.88447,393
42.804981,-121.58483,18
42.169323,-121.70298,33
42.202475,-121.33346,2
42.606472,-121.81297,6
42.199446,-120.42459,5
43.256842,-120.65084,1
44.091256,-121.29769,872
44.020483,-121.30891,92
43.84783,-121.46569,4
43.600795,-118.96382,58
43.692251,-121.53865,14
44.64079,-121.12506,75
44.238306,-120.75682,25
44.272796,-121.19173,229
44.322689,-121.54897,59
44.814466,-121.32302,11
45.665146,-118.789,95
45.57852,-120.17301,4
44.796517,-117.82092,139
45.564451,-117.88306,1
45.547098,-117.26823,19
44.919974,-117.13838,5
45.343509,-119.53938,6
45.846442,-119.28423,141
44.408646,-118.95122,18
45.336407,-117.17791,4
45.32627,-118.08197,64
45.938511,-118.36952,18
44.138142,-118.9767,2
44.741727,-119.82803,1
45.201699,-117.83083,2
43.661247,-117.07192,1
44.057074,-116.99148,128
44.029403,-117.33282,1
47.907923,-119.06531,2
