latitude,longitude,count
40.947107,-74.07047,2
41.035384,-74.63557,2
39.908613,-74.99951,1
42.832007,-76.66641,2
40.603966,-80.28776,152
40.593917,-80.22181,220
40.341487,-80.38408,7
40.652311,-79.93303,2
40.695281,-80.3299,412
40.763899,-80.33572,78
40.140248,-79.84251,72
40.608403,-79.74234,22
40.635147,-80.08369,3
40.351802,-80.11534,48
40.383884,-80.41364,28
40.136537,-79.91321,297
40.569723,-79.83242,21
40.292974,-79.90179,513
40.508376,-80.35953,2
40.583218,-79.77947,1
40.176375,-79.86138,1
40.350519,-79.89008,2
40.384223,-79.80792,2
40.258438,-79.85946,7
40.631011,-79.95766,48
40.326919,-79.88869,2
40.565907,-79.85848,2
40.665001,-80.42534,1
40.357286,-80.23629,4
40.677132,-80.28881,24
40.154271,-79.88277,5
40.196694,-79.92642,310
40.628522,-79.72566,278
40.73998,-80.29472,6
40.207526,-79.95304,1
40.571108,-79.74226,246
40.420319,-80.18692,15
40.708166,-80.2735,6
40.61517,-79.83394,1
40.574634,-80.23609,1
40.61357,-79.78095,42
40.386968,-79.74467,13
40.661431,-80.09304,7
40.211895,-79.75483,3
40.617016,-80.05916,535
40.570915,-79.96033,35
40.324535,-80.03864,189
40.404743,-79.86439,25
40.404119,-80.09014,65
40.500665,-80.18464,182
40.399436,-79.83794,1
40.533806,-79.96303,5
40.395336,-79.90635,30
40.366177,-79.89418,86
40.454423,-80.26324,4
40.289752,-80.00756,3
40.341469,-79.81105,43
40.341919,-79.84791,91
40.471618,-80.07695,377
40.380219,-79.81017,4
40.519518,-79.83762,39
40.405768,-79.77643,2
40.561091,-80.15554,180
40.543053,-79.78223,14
40.408218,-79.82339,7
40.431034,-79.76526,1154
40.498218,-79.83426,2
40.471468,-79.95726,3
40.502918,-80.0704,109
40.426211,-79.97826,28
40.436618,-80.07289,262
40.468968,-79.91863,149
40.399355,-79.93414,7
40.455168,-79.89709,1
40.492618,-79.97458,2
40.409219,-79.98948,8
40.428369,-80.01269,7
40.460669,-80.01144,1948
40.443269,-79.95487,14585
40.479469,-80.0115,1
40.497701,-79.9157,841
40.400319,-80.03566,24
40.430919,-79.92569,63
40.424336,-79.88725,13
