latitude,longitude,count
33.272026,-81.03203,7
33.872503,-81.55245,3
34.213582,-80.26083,2
34.200042,-80.98653,10
33.354403,-80.65134,1
34.278935,-80.59142,132
34.349725,-80.48117,1
33.964753,-81.06618,7
34.128998,-81.33822,38
34.1699,-80.81448,16
33.947764,-81.3823,10
34.588329,-80.70107,1
33.332666,-80.42251,2
33.920721,-80.84535,2
34.120487,-81.19686,97
34.545825,-80.54807,14
34.183978,-80.07629,4
33.931279,-81.465,18
33.925183,-81.248345,5
33.991362,-81.25047,193
33.917812,-81.21854,9
34.204467,-80.70776,24
33.647611,-80.21281,26
34.282877,-81.61641,222
33.629017,-81.09763,17
33.487767,-80.8564,33
33.49593,-80.824603,2
33.548282,-80.88513,194
34.242848,-81.32649,2
33.71469,-80.4548,22
34.14854,-81.511,10
33.804368,-81.65577,2
34.328826,-80.88762,1
34.029635,-81.77579,7
33.462378,-80.50903,3
33.916418,-80.35738,267
33.899155,-80.43433,7
33.734171,-81.07563,14
33.659078,-81.40845,2
33.990952,-81.08956,710
33.943251,-81.14142,13
33.902216,-81.08256,3
34.143934,-81.27281,1
34.369441,-81.08218,26
33.998454,-81.03519,496
34.066271,-81.02492,1949
34.027955,-81.00008,260
33.990555,-80.99826,12
34.037557,-80.96024,15
34.021442,-80.94144,1
33.968011,-80.93844,14
34.041646,-81.10624,45
34.075611,-81.17611,259
34.005992,-80.970766,142
34.084069,-80.93286,148
34.139511,-80.88783,40
34.940921,-81.98682,63
34.926075,-81.87919,58
34.980636,-81.95665,825
34.925353,-81.9308,30
34.982424,-81.85729,277
35.033903,-81.97413,27
35.109207,-82.141,1
35.131971,-81.88553,2
34.470115,-81.86761,57
34.915071,-82.13322,14
34.660137,-81.90924,2
35.03653,-81.62497,39
35.10425,-81.69232,33
35.061431,-82.07523,7
34.828217,-81.66903,1
35.15617,-82.22045,9
34.503167,-82.02271,23
34.96589,-82.14541,2
34.865445,-82.02018,2
34.900682,-81.74846,9
34.856283,-81.95444,2
34.714045,-81.60496,24
34.954729,-82.09312,2
34.758703,-82.0483,27
32.779126,-79.9355,75
32.799326,-79.94813,194
32.856634,-79.98218,32
32.918757,-80.0228,540
32.794841,-80.005,262
32.73727,-79.95409,60
32.84885,-79.85773,1
32.821238,-80.05353,210
32.879529,-80.05911,34
32.93064,-80.09247,27
32.786176,-79.94711,921
33.284887,-79.91504,14
33.345833,-80.19009,2
32.542343,-80.31682,1
32.662451,-79.93224,2
33.38934,-79.32638,105
32.991185,-80.02347,77
32.715745,-80.26738,4
32.798138,-79.76496,1
32.717109,-80.08507,19
32.993571,-80.12165,66
33.10594,-79.4657,7
33.164225,-80.01039,364
32.813518,-79.85899,432
32.87602,-79.79148,83
33.187906,-80.57602,4
33.391941,-79.91737,1
32.763456,-79.83791,14
33.034586,-80.18599,71
32.983408,-80.17627,145
32.89989,-80.67195,86
32.91583,-79.8846,53
34.195705,-79.80977,178
34.142119,-79.74311,175
34.201299,-79.71722,533
33.45053,-79.59233,1
34.657694,-79.69151,54
34.68862,-79.92315,67
33.850218,-79.01692,174
34.291269,-79.8761,8
34.413907,-79.36512,48
34.386728,-80.08256,105
33.71239,-79.40387,1
33.671678,-79.78693,30
33.859815,-79.7542,41
34.345437,-79.18651,3
33.873017,-78.64282,60
33.915705,-78.74796,3
34.046247,-78.9008,47
34.164094,-79.396,6
33.765136,-78.79097,308
34.194685,-79.25775,152
33.627763,-78.98126,45
33.568115,-79.03226,181
33.698101,-78.89604,77
33.729439,-78.97824,62
34.19138,-79.11348,1
33.823495,-78.67824,49
33.983639,-79.57018,1
33.467343,-79.1301,65
33.694757,-78.999862,82
34.848301,-82.40578,694
34.837666,-82.371519,2
34.798035,-82.39289,615
34.825592,-82.34099,849
34.889217,-82.39364,13
34.840717,-82.44234,10
34.866801,-82.31739,539
34.897829,-82.447,4
34.189812,-82.41245,27
34.523657,-82.62509,647
34.491988,-82.782868,1
34.478139,-82.6455,54
34.532638,-82.71615,12
34.517231,-82.49053,8
34.095246,-82.56215,3
34.733515,-82.78407,1
34.681255,-82.82176,40
34.847372,-82.710126,4
34.325575,-82.4023,3
34.849655,-82.59365,229
34.789884,-82.56459,33
34.681279,-82.19732,1
34.169781,-82.15474,246
34.21241,-82.168139,1
34.225872,-82.15614,25
34.911469,-82.25178,213
34.937356,-82.22117,117
34.286915,-82.23672,5
34.45451,-82.38755,6
34.299215,-82.63812,3
34.779483,-82.68861,9
34.774657,-82.30432,17
34.14606,-82.00203,17
34.641851,-82.76668,7
34.912476,-82.71136,52
34.736907,-82.94599,48
34.723173,-82.4565,57
34.660345,-82.94557,148
34.709869,-82.28385,154
34.762693,-82.24512,132
34.935636,-82.32238,8
35.018511,-82.43224,53
34.769994,-83.06882,5
34.404535,-82.23851,2
34.633763,-83.11495,4
34.77272,-83.02066,15
34.622494,-82.50551,14
35.118338,-81.49413,2
34.720597,-81.21429,49
35.040969,-80.99427,95
35.109114,-81.19429,31
35.008416,-80.91644,32
35.062815,-80.969035,2
34.729073,-80.76005,124
34.699412,-80.781721,6
34.769259,-80.39935,3
34.692002,-81.00536,27
34.914611,-81.0125,37
34.969427,-81.0509,578
35.005981,-81.21176,21
33.569885,-81.71368,219
33.723519,-81.59072,2
33.486049,-81.70946,77
33.650812,-81.61561,1
33.010041,-81.33069,1
33.226172,-81.36031,17
33.819096,-81.95036,10
32.963048,-81.24052,12
33.566349,-81.84119,1
33.824496,-81.79179,2
33.91509,-82.30548,3
33.517435,-81.94945,44
33.443562,-81.87994,2
33.047132,-81.22185,1
33.59107,-81.96445,4
32.421594,-80.67505,206
32.445712,-80.74845,16
32.447677,-80.642097,33
32.312621,-80.915532,83
32.241315,-80.87404,166
32.744565,-81.24794,1
32.868065,-81.10998,3
32.226713,-80.74325,276
32.277216,-81.07847,37
32.159476,-80.75144,23
32.382453,-80.69009,20
32.493936,-80.97461,16
32.586005,-80.82739,1
32.822292,-81.05236,23
