latitude,longitude,count
36.055115,-86.64782,23
36.299293,-87.06949,21
35.390308,-86.70969,1
35.616935,-86.39629,1
35.943598,-87.28991,2
35.699599,-86.10976,1
36.007373,-86.79121,312
36.264959,-85.94893,28
35.76714,-87.49418,11
35.639491,-86.6865,3
35.702877,-86.35134,1
36.528448,-87.34142,159
36.58068,-87.4056,10
36.506407,-87.2572,216
36.548569,-86.67907,1
36.065779,-87.40831,118
36.477136,-87.85877,28
35.73843,-86.64441,1
36.301089,-87.68198,36
35.976983,-87.14128,1
35.893823,-86.89919,103
36.388997,-86.4548,129
35.921811,-86.7952,778
35.97706,-86.89653,8
36.35465,-86.71879,198
36.427758,-86.81023,1
36.407653,-86.15305,6
36.311047,-86.61173,645
36.180507,-86.60111,201
36.329551,-86.90949,2
36.537994,-86.01497,14
35.950979,-86.29596,1
36.01333,-86.56268,6
36.240331,-86.29271,579
36.147433,-86.31061,11
35.461359,-86.7792,14
35.61432,-87.87486,12
35.769743,-87.80286,1
35.882639,-87.31395,2
36.069712,-87.64489,3
35.687286,-85.787,163
36.264069,-86.70566,300
36.195016,-86.49732,88
35.791021,-86.34445,7
35.813319,-86.4455,122
35.896645,-86.42425,406
35.860152,-86.3648,110
35.859565,-86.420958,48
36.022057,-87.9564,1
35.940383,-86.6686,5
36.243698,-86.62308,8
36.393153,-87.0285,20
36.576137,-86.51355,23
36.543183,-85.81114,1
35.47066,-86.45974,103
35.922583,-85.80108,17
35.968513,-86.52231,149
36.513979,-86.86892,168
35.73062,-86.91144,70
36.323799,-87.77676,2
35.621614,-86.57353,1
35.508541,-86.30889,1
36.085376,-87.81626,15
36.579247,-86.23954,3
36.117433,-87.21761,1
36.467624,-86.66941,36
35.813335,-86.05538,21
36.164556,-86.77738,1
36.340304,-86.827254,1
36.152607,-86.78927,3114
36.112058,-86.77626,107
36.113558,-86.86207,458
36.180806,-86.74176,10
36.215535,-86.77317,395
36.174806,-86.80252,103
36.151324,-86.8559,166
36.079259,-86.72584,350
36.133251,-86.80057,68
36.166956,-86.66869,37
36.098408,-86.82522,108
36.213004,-86.72594,1
36.103408,-86.66616,14
36.206755,-86.85215,16
36.166806,-86.78172,3
36.069659,-86.77266,13
36.065032,-86.94674,30
36.190205,-86.80078,30
36.186605,-86.785248,2177
36.186605,-86.785248,117
35.429018,-85.77679,2
35.017404,-85.01322,1
35.441378,-84.61975,111
35.172376,-84.63913,17
35.275808,-84.76927,2
35.146362,-84.88723,107
35.219532,-84.86489,167
35.047891,-85.057359,9
35.008596,-84.3859,11
35.495894,-85.01032,49
35.503723,-84.80741,2
35.114482,-84.82836,1
35.234156,-86.0324,7
35.399109,-85.38755,13
