latitude,longitude,count
42.964593,-77.5919,2
45.769159,-86.55894,1
34.252213,-91.7679,2
35.956342,-91.53548,8
32.96129,-96.83751,57
33.092846,-96.62447,205
32.960374,-96.89163,296
33.00542,-96.89773,128
33.327927,-96.76129,17
33.030556,-96.89328,162
33.106582,-96.69402,190
32.967341,-96.98656,60
33.754053,-96.57867,387
33.742641,-96.51427,22
33.024778,-97.10206,67
33.054671,-96.73506,72
33.07707,-96.79859,338
33.086868,-96.74504,9
33.033214,-97.05965,153
32.867103,-96.44129,100
33.143792,-96.83938,216
33.130086,-96.78177,127
32.872386,-96.98524,107
32.876474,-96.94129,199
32.920574,-96.62639,73
32.881525,-96.64601,27
32.915625,-96.67399,404
32.854893,-96.60211,32
32.960375,-96.66188,25
32.975723,-96.58661,12
32.759922,-97.01216,7
32.728982,-97.00428,47
32.675604,-97.02346,233
33.081421,-96.88957,22
33.04867,-96.99321,234
33.453628,-96.73436,22
32.80268,-96.95499,9
32.826729,-96.9614,200
32.846645,-96.96733,99
32.916865,-96.97349,100
33.12635,-97.02525,2
33.020118,-97.00771,100
33.173008,-96.95485,11
33.195073,-96.60363,134
33.212203,-96.67522,187
33.225107,-96.638614,472
33.028921,-96.68102,50
33.024721,-96.74038,447
33.818635,-96.69338,6
33.075138,-97.0529,54
33.240766,-96.79944,354
32.969523,-96.74093,395
32.948974,-96.70916,50
32.993405,-96.65901,100
32.767268,-96.777626,2
32.93382,-96.45446,88
32.897459,-96.5497,205
32.923924,-96.54697,7
33.632806,-96.59106,161
33.649938,-96.65387,116
33.03505,-96.80492,1565
33.009681,-96.61113,16
33.011975,-96.53607,29
32.532449,-95.88,42
32.588536,-96.94949,50
32.078228,-96.44612,53
32.599286,-96.85882,192
32.658384,-96.91265,43
32.331239,-96.61962,65
32.533551,-96.65684,2
32.745373,-96.46038,25
32.634835,-96.91343,25
32.661299,-95.71738,5
32.574299,-96.30377,311
32.348007,-96.21035,6
32.120271,-96.22474,1
32.590063,-96.75892,51
32.314256,-96.11068,12
32.183649,-96.01862,2
32.767329,-96.60759,127
32.818392,-96.63355,259
32.526123,-96.82325,33
32.290819,-96.114108,17
32.628858,-96.53811,2
32.747747,-96.28923,101
32.397024,-96.83283,171
33.022051,-96.43601,6
32.725386,-96.00238,4
32.803646,-96.56965,28
32.960512,-96.31278,5
32.787629,-96.79941,14
32.745831,-96.80672,62
32.800333,-96.78952,714
32.836094,-96.79524,91
32.826128,-96.7712,175
32.78643,-96.81992,3
32.751464,-96.83864,466
32.845978,-96.82552,55
32.736931,-96.88253,31
32.78238,-96.86945,6
32.825628,-96.74872,36
32.76103,-96.77035,25
32.710082,-96.7972,5
32.72238,-96.67582,26
32.842726,-96.69937,214
32.812462,-96.81412,156
32.867977,-96.86306,47
32.716065,-96.83987,91
32.862876,-96.7904,669
32.783978,-96.77662,61
32.77003,-96.69,78
32.825227,-96.67955,116
32.895376,-96.85985,6
32.901176,-96.79054,866
32.874317,-96.74764,2317
32.664034,-96.83886,5
32.704398,-96.87222,15
32.925975,-96.88322,153
32.828128,-96.84612,2399
32.666984,-96.87633,165
32.873926,-96.70922,17
32.938774,-96.78543,131
32.669383,-96.77439,2
32.912225,-96.73688,321
32.922624,-96.83616,40
32.791878,-96.77365,1543
32.817978,-96.87928,61
32.968123,-96.78863,43
32.919104,-96.77497,430
32.998132,-96.79088,40
32.679924,-96.60367,1
32.946069,-96.794496,106
32.998786,-96.84436,43
32.767268,-96.777626,3451
33.15023,-96.11289,229
33.082411,-96.08977,63
33.14572,-96.49664,13
33.356094,-96.51907,5
33.615634,-96.41899,1
33.462828,-95.193,1
33.583772,-96.1818,53
33.146779,-95.93998,2
33.626445,-95.03534,11
33.25868,-95.91061,20
32.882305,-95.73842,8
