latitude,longitude,count
38.964054,-77.60878,8
38.790202,-77.51294,152
38.752269,-77.47694,459
38.685117,-77.44796,2
38.855848,-77.88174,6
38.983902,-77.74903,15
38.953454,-77.74996,4
38.851221,-77.44998,19
38.82571,-77.43964,41
38.797424,-77.39237,1
39.146479,-77.72798,26
38.7475,-77.56917,2
39.041978,-77.49064,820
39.020637,-77.52276,9
38.889111,-77.4363,101
38.90371,-77.5038,35
38.803732,-77.62404,118
39.011909,-77.39295,9
39.044855,-77.38701,71
39.004276,-77.43442,101
38.860551,-77.64947,10
38.977109,-77.38527,255
38.931479,-77.40085,7
39.080037,-77.58025,16
39.138978,-77.54519,1015
38.69835,-77.57365,1
38.707135,-77.8145,398
38.959673,-77.3462,525
38.934709,-77.3469,43
38.977362,-77.34658,3
38.416782,-76.54814,16
39.325956,-76.60602,2
38.830345,-77.21387,1156
38.788646,-77.27888,69
38.582319,-77.32722,10
38.893921,-77.21976,30
38.846212,-77.32787,279
38.859675,-77.26167,1072
38.821753,-77.29293,25
38.874879,-77.38642,789
38.760747,-77.31684,16
38.849136,-77.14081,20
38.864669,-77.18781,1301
38.901311,-77.19777,41
38.859645,-77.15328,66
38.886311,-77.18098,49
38.71299,-77.16615,4
39.003809,-77.30165,15
38.695915,-77.20122,179
38.93276,-77.1677,172
38.938664,-77.22196,40
38.88619,-77.32402,8
38.683295,-77.26044,4
38.778243,-77.18562,61
38.803813,-77.20821,85
38.775716,-77.23131,91
38.745164,-77.23535,1
38.894711,-77.25337,423
38.896361,-77.29102,2
38.922478,-77.2566,250
38.831813,-77.288755,12
38.63275,-77.26786,320
38.678451,-77.30657,206
38.646375,-77.34469,55
38.885337,-77.09512,86
38.856795,-77.05628,6
38.874979,-77.11455,444
38.860247,-77.09627,88
38.88275,-77.13999,517
38.843466,-77.08973,35
38.903697,-77.12749,79
38.893241,-77.07453,4
38.819863,-77.05854,12
38.829512,-77.08204,29
38.792863,-77.07964,8
38.813013,-77.11667,461
38.836779,-77.06418,42
38.757214,-77.08666,344
38.774863,-77.0593,54
38.728464,-77.05701,2
38.725214,-77.10734,60
38.782013,-77.12125,160
38.837312,-77.12064,204
38.817362,-77.1537,56
38.806163,-77.05139,103
38.757924,-77.15284,1
38.301829,-77.47077,685
38.317636,-77.43297,31
38.387261,-77.54676,9
38.271028,-77.5559,266
38.236023,-77.46111,202
38.042346,-77.30833,3
37.996825,-76.56435,1
38.22653,-76.97442,6
37.892668,-76.36307,18
37.733327,-76.34389,46
38.277837,-77.1642,18
37.762848,-76.49749,4
38.326624,-77.76987,6
37.95969,-77.47733,2
38.207275,-77.64378,4
38.460395,-77.43266,85
37.916172,-76.90656,105
38.233223,-77.91258,2
37.957869,-76.75725,12
