latitude,longitude,count
34.876638,-111.80666,2
33.786915,-117.98224,1
39.801047,-120.48359,1
45.507752,-122.4323,4
45.406292,-122.78441,2
47.303722,-122.26608,68
47.304221,-122.21602,198
47.311072,-122.31188,941
47.618371,-122.20308,936
47.611021,-122.16858,117
47.562975,-122.1526,36
47.610935,-122.14104,87
47.609222,-122.1155,17
47.751471,-122.20257,99
47.84311,-122.20457,102
47.648232,-121.91265,5
47.7353,-121.96222,122
47.803668,-122.37096,21
47.790653,-122.22021,67
47.193729,-121.91915,36
47.309021,-122.36178,8
47.565642,-121.88638,1
47.821568,-122.33651,406
47.522828,-122.02921,520
47.75287,-122.24736,4
47.572401,-122.02065,39
47.369098,-122.19227,292
47.388461,-122.19644,34
47.388254,-122.25932,29
47.67903,-122.1934,68
47.71828,-122.19702,1107
47.808816,-122.28394,431
47.848237,-122.28348,22
47.381989,-122.03553,30
47.569271,-122.23233,171
47.363382,-122.11451,224
47.790969,-122.30539,67
47.483057,-121.73254,31
47.677471,-122.12138,225
47.640972,-122.03318,24
47.467422,-122.21005,1203
47.510739,-122.18372,6
47.432251,-121.80338,117
47.448322,-122.14584,3
47.493031,-122.14169,21
47.530639,-121.83053,95
47.416198,-122.46821,19
47.758786,-122.10205,74
47.625364,-122.04534,10
47.584879,-122.03368,9
47.297285,-122.16328,12
47.61067,-122.33438,759
47.63287,-122.32253,52
47.671346,-122.34166,123
47.60252,-122.32855,1943
47.66377,-122.30118,606
47.53282,-122.35443,22
47.66747,-122.37468,76
47.546188,-122.31514,40
47.630648,-122.34675,75
47.65526,-122.53508,262
47.629653,-122.29752,613
47.763669,-122.35384,2
47.68382,-122.30122,99
47.57487,-122.39392,44
47.685919,-122.37838,67
47.543348,-122.27496,80
47.63877,-122.36694,21
47.61487,-122.34578,46
47.61157,-122.30406,785
47.716648,-122.30308,77
47.54687,-122.3748,55
47.733852,-122.34461,462
47.57867,-122.33441,28
47.538887,-122.38803,18
47.58577,-122.30081,16
47.501753,-122.35688,8
47.443756,-122.33068,26
47.753019,-122.30373,23
47.432251,-121.80338,1
47.458821,-122.34943,234
47.491327,-122.3027,36
47.740886,-122.36978,7
47.497971,-122.24664,1
47.450321,-122.27472,28
47.432251,-121.80338,7045
47.397521,-122.315,41
47.64767,-122.39758,455
47.986274,-122.20222,2015
47.943468,-122.21792,103
47.90296,-122.25064,58
47.893451,-122.19797,268
48.495234,-122.61976,115
48.203856,-122.05288,118
48.747578,-122.48508,767
48.759079,-122.43597,122
48.814753,-121.98854,2
48.725417,-122.43547,13
48.961443,-122.73714,10
48.559548,-122.41375,2
48.486892,-122.33366,31
48.461672,-122.23308,1
47.962134,-122.40089,4
48.497601,-121.70018,11
48.204162,-122.66723,64
48.265483,-121.56075,2
48.672312,-122.91972,20
48.900256,-122.32095,24
48.852655,-122.61807,13
48.029176,-122.54222,27
48.55113,-123.07563,52
48.070852,-121.82242,13
48.085852,-122.57129,1
48.393063,-122.50476,2
48.028355,-122.06327,66
48.030555,-122.44856,15
48.481655,-122.88271,6
