latitude,longitude,count
42.497736,-82.89979,1
43.498943,-87.86211,1
43.060872,-88.09478,1122
43.10836,-88.06893,2
43.602787,-88.2653,3
43.305412,-87.99794,96
44.033215,-88.17626,30
43.05348,-88.39844,286
43.85255,-88.01085,1
43.483263,-87.98908,3
43.219155,-88.12043,153
43.32546,-87.94573,48
43.313361,-88.37332,42
43.132743,-88.34737,147
43.446666,-88.62795,6
43.233282,-88.2396,2
43.345528,-88.60135,2
43.178685,-88.5739,2
43.322213,-88.17011,2
43.075784,-88.77595,16
43.378828,-88.70876,18
43.52413,-88.19215,6
43.924095,-88.00285,5
43.055315,-88.1503,612
43.584926,-88.44594,1
43.499518,-88.53911,52
43.151183,-88.11034,1376
43.80576,-88.25436,1
43.108775,-88.40276,1
43.949961,-88.09962,5
43.108241,-88.48935,1707
43.622793,-87.80364,6
43.076953,-88.268,470
43.758674,-87.98005,12
43.40181,-87.88001,26
43.564477,-87.99094,2
43.394676,-87.95887,67
43.736145,-87.72893,424
43.797567,-87.75664,42
43.731685,-87.83406,5
43.33278,-88.27907,40
43.14004,-88.22641,149
43.446623,-88.17879,16
43.223907,-87.95085,631
43.170606,-88.73058,170
43.40328,-88.18026,55
43.234506,-88.00914,369
43.231506,-88.70634,179
42.886982,-88.20955,15
42.662671,-88.28132,282
42.948416,-87.86101,55
42.63427,-88.6383,124
42.991622,-88.47085,660
42.881035,-88.47117,133
42.797775,-88.40435,7
42.711105,-88.54214,59
43.050762,-88.0842,18
42.546003,-88.56234,2
42.526028,-88.33443,1
42.937448,-87.99839,39
42.941264,-88.05121,30
42.896145,-88.00891,155
42.60217,-87.82979,50
42.559823,-87.87878,296
42.56427,-87.83043,139
42.601842,-87.87617,78
42.587613,-88.45828,49
42.872477,-88.34409,293
42.901235,-88.12464,544
42.980163,-88.09438,585
42.935259,-88.40501,1
42.884347,-87.8992,35
42.879242,-88.58987,1
42.529075,-87.87201,56
42.573081,-88.12444,19
42.909816,-87.86395,18
42.699169,-87.91692,1
42.515668,-88.13454,1
42.515596,-88.25761,1
42.696322,-88.04658,2
43.002534,-88.37771,3
42.532636,-88.59862,1
42.798555,-88.19409,5
43.015289,-88.20924,332
43.020762,-88.26852,1919
42.967394,-88.264,165
42.818747,-88.73279,10
42.573162,-88.54021,1
43.011264,-87.958409,1
43.046213,-87.9005,162
43.037963,-87.91548,26
43.017414,-87.92625,73
43.053763,-87.93473,15
43.076179,-87.93476,10
42.985465,-87.89998,18
43.047863,-87.96618,74
43.11941,-87.94727,740
43.068962,-87.97423,288
43.083012,-87.8859,610
43.072062,-87.9103,84
43.049012,-88.00012,203
43.020363,-88.01273,261
42.999364,-87.94343,501
43.086711,-87.9749,34
43.14351,-87.90894,337
43.11096,-87.99436,16
42.996614,-87.99213,25
42.969115,-87.99141,610
42.953915,-87.9457,147
43.083261,-88.02823,59
43.163692,-87.98717,37
43.153865,-88.04032,44
43.11576,-88.04121,15
43.048545,-88.04239,3432
42.997647,-88.03717,390
42.966681,-88.03798,55
43.037313,-87.93373,1969
42.971156,-87.87452,197
42.767286,-87.79747,2
42.704519,-87.80062,51
42.743169,-87.80534,6
42.714369,-87.82424,107
42.730807,-87.85827,163
42.698173,-89.85736,5
43.008697,-89.90117,2
42.865397,-89.55461,20
42.526464,-89.04291,172
43.131939,-89.7438,6
42.802663,-89.85943,1
42.613107,-89.37364,93
42.839241,-89.40088,1
42.99273,-89.02274,7
42.551253,-88.85412,1
43.073751,-89.1967,47
43.116408,-89.64371,8
42.686745,-90.10983,51
43.240098,-89.33659,32
42.974296,-90.14404,46
42.841688,-89.07223,27
42.772516,-89.2802,17
42.924942,-88.84813,285
42.69146,-89.04277,34
42.666761,-88.99528,12
42.993905,-88.79321,18
43.082761,-88.90838,10
43.325153,-89.56074,13
43.015498,-89.28954,16
43.172619,-89.07464,1
43.177861,-89.78012,6
43.103711,-89.51106,242
42.778497,-88.95595,13
42.852038,-90.1745,10
42.603462,-89.64037,253
42.985255,-89.73647,24
43.1914,-90.45655,1
42.81636,-89.64075,11
42.929208,-89.38478,33
43.302123,-90.07619,2
43.318318,-89.74928,71
43.361048,-90.40776,137
43.267183,-89.76912,14
42.5744,-90.23935,6
43.174503,-90.07267,29
42.926473,-89.22432,112
43.189953,-89.2253,56
42.988593,-89.55543,53
43.18584,-88.97553,3
43.182873,-89.45408,35
43.21352,-89.34203,5
43.078646,-89.37727,96
43.121416,-89.34968,57
43.073395,-89.45049,196
43.036696,-89.44499,137
43.037647,-89.39154,100
43.099861,-89.31786,22
43.061546,-89.40024,910
43.065621,-89.32085,81
43.072994,-89.51992,280
43.095178,-89.2704,44
43.029497,-89.50531,195
43.06956,-89.423861,5
43.06956,-89.423861,1435
42.563769,-90.36783,1
43.136963,-90.69831,48
42.607138,-90.44812,3
42.627951,-90.5939,1
42.98995,-90.63483,4
42.847591,-90.70167,33
42.743948,-90.48625,156
43.036566,-91.11838,183
43.549851,-89.47101,116
43.908737,-89.80722,3
43.483503,-89.74753,140
43.456814,-88.84058,166
43.734566,-88.78585,1
43.340383,-89.04091,762
43.752732,-90.2853,13
43.407179,-89.05837,5
43.566325,-88.90158,2
43.967604,-89.85287,148
43.727646,-89.02574,1
43.783534,-90.0566,240
43.792518,-89.34061,6
43.90147,-90.13777,16
43.522529,-89.32342,27
43.404191,-89.4171,3
43.544491,-89.01137,9
43.53414,-89.99183,103
43.633781,-88.7351,29
43.907282,-89.49412,6
43.645603,-89.78104,252
43.49534,-89.30897,5
45.326339,-92.37857,63
44.96915,-92.37326,26
45.319095,-92.13016,2
45.237727,-92.22901,5
45.351585,-92.60246,2
44.718955,-92.46651,7
45.06461,-92.18504,3
44.978518,-92.71996,162
45.122052,-92.53691,142
45.299735,-92.64222,20
44.752662,-92.77958,4
44.854636,-92.61729,202
45.469339,-92.62088,80
45.142151,-92.6819,24
44.472424,-88.45746,3
44.710588,-88.45159,1
44.179504,-88.07449,6
45.054842,-88.0547,1
45.245131,-88.1504,2
44.42042,-88.07896,316
45.873589,-88.27342,7
44.131149,-88.19443,1
44.293197,-88.25922,20
44.901909,-88.59535,17
44.268387,-88.33656,8
45.312629,-88.47583,13
44.286637,-88.31001,9
45.092448,-87.64929,109
45.732689,-87.96996,6
44.886571,-87.89935,13
44.86802,-88.16446,45
44.52284,-88.18008,35
45.057605,-87.77449,2
45.116325,-88.16811,2
44.65711,-88.24208,7
44.51523,-88.31075,4
44.779241,-88.60636,54
44.173538,-88.27525,2
45.047766,-88.37913,9
44.325856,-88.16205,96
44.613604,-87.46502,23
44.358527,-87.79747,1
45.146473,-87.24154,2
44.456022,-87.54429,36
44.55681,-87.71413,4
44.096194,-87.68919,167
44.132295,-87.599031,1
45.186528,-87.11618,1
44.844133,-87.38044,59
44.174245,-87.58613,80
44.037618,-87.90026,3
44.489059,-88.01674,892
44.505782,-87.97947,10
44.530892,-88.04482,163
44.499346,-88.06318,103
44.485243,-87.92232,407
44.564261,-88.10326,90
44.958382,-89.6693,554
44.976118,-89.59209,67
44.950905,-90.30486,5
44.421111,-89.30618,2
45.121666,-89.13388,101
45.040345,-90.01829,5
44.879391,-88.95511,7
44.903,-90.30657,4
45.186932,-90.81846,48
44.935076,-89.83699,5
44.656686,-90.18152,3091
45.171131,-90.40527,70
45.181311,-89.70469,53
44.787003,-89.69066,11
44.553719,-90.61457,28
44.260056,-89.88239,17
44.945107,-90.53973,3
44.404914,-90.24246,4
44.452277,-89.54399,17
44.348816,-89.86368,1
44.885168,-89.61922,10
44.903194,-89.57937,214
44.764411,-90.33179,1
44.524054,-89.55621,208
44.793747,-90.06026,6
45.510639,-89.73162,55
44.373468,-89.78761,79
44.376507,-89.90771,13
44.797279,-89.18442,15
45.64672,-89.39408,322
46.040996,-89.28591,2
45.522208,-88.9105,37
45.922669,-89.24825,32
46.40553,-90.21811,4
45.964667,-89.90731,12
45.869921,-89.79346,12
45.927783,-90.34311,15
45.716124,-90.40013,18
45.914371,-89.4897,2
45.815926,-89.10942,9
45.924341,-89.68496,28
