latitude,longitude,count
39.451934,-77.442,2
37.2757,-81.2145,174
37.352655,-81.24781,1
37.368167,-81.07307,170
37.424498,-81.57835,6
37.352131,-81.54688,4
37.469496,-81.79548,1
37.418471,-81.41706,11
37.69629,-81.60845,1
37.562494,-81.51746,4
37.309666,-81.69546,2
37.80848,-80.44493,144
37.731717,-80.65942,3
38.185341,-80.13261,17
38.325205,-79.90179,4
38.412244,-79.79796,12
38.114627,-80.22808,2
38.196374,-80.05957,20
37.424195,-80.78465,7
37.742719,-80.47151,97
37.590774,-80.53448,12
37.861237,-80.24008,16
38.001124,-80.48027,2
38.254483,-81.79045,1
38.242575,-81.39377,2
38.46791,-81.0082,17
38.05738,-81.86082,35
38.108987,-81.46418,13
38.583094,-80.94056,1
38.367255,-81.74473,19
38.538953,-81.93548,5
38.451344,-81.46602,3
38.621761,-82.02827,1
38.557141,-81.03747,5
38.038145,-81.79154,35
38.175742,-81.33047,26
38.417852,-81.8321,11
38.140732,-81.66005,1
38.378841,-81.82633,19
37.978232,-81.53288,4
38.509445,-81.90578,4
39.017309,-82.03031,4
38.803814,-81.70763,75
38.780168,-81.34244,21
38.350647,-81.63028,1797
38.375397,-81.62367,40
38.362374,-81.6863,48
38.313411,-81.58564,261
38.329768,-81.73418,426
38.351204,-81.58198,25
38.414155,-81.66166,12
38.425721,-81.76168,19
38.335969,-81.66084,22
38.23753,-81.55661,1
38.530623,-81.62565,1
38.296818,-81.554655,1
39.463781,-77.95767,309
39.567987,-78.22783,41
39.279965,-77.86203,14
39.58132,-77.8804,2
39.272324,-77.77982,4
39.540636,-78.05882,1
39.368967,-78.02742,1
39.349476,-77.93415,12
39.500633,-78.43726,2
39.300223,-77.8599,29
39.434479,-77.81132,20
38.391209,-82.28563,54
38.214232,-82.191,2
38.396081,-82.55881,2
37.962522,-82.01954,6
38.764623,-82.16003,12
38.280976,-82.08584,15
38.427011,-81.9896,172
38.385975,-82.57461,16
38.30329,-82.44551,2
38.440316,-82.13535,2
38.44068,-82.22311,1
38.87018,-82.10751,153
38.446225,-81.90315,25
38.225065,-82.43909,2
37.833826,-82.00011,80
37.625805,-81.90186,1
37.729265,-81.87853,18
37.705144,-82.26827,23
37.705946,-82.14416,2
37.860845,-82.37574,12
37.640357,-82.13265,2
38.403511,-82.43904,626
38.431116,-82.37019,393
38.421443,-82.41924,71
38.386966,-82.49609,15
38.410745,-82.36995,69
38.413384,-82.277401,8
37.79064,-81.19958,331
38.138419,-81.10403,1
37.754656,-81.11304,11
37.733391,-81.23769,2
37.728559,-81.10364,1
38.059415,-81.11208,11
37.802995,-81.36495,4
37.596209,-81.38193,10
37.982775,-81.14533,33
37.964622,-81.21634,26
37.712469,-81.00561,2
37.70708,-81.26263,1
37.748935,-81.224458,2
37.671295,-80.86867,12
37.966816,-80.7889,11
37.854735,-80.84199,3
40.071472,-80.6868,599
39.81304,-80.58446,5
40.330969,-80.58889,8
39.951586,-80.74994,38
39.987177,-80.73048,1
39.912923,-80.73701,17
40.519953,-80.58925,3
40.063895,-80.6091,7
40.412067,-80.57542,397
40.266698,-80.59709,3
39.265408,-81.53706,300
39.285724,-81.52639,52
39.323907,-81.54206,79
39.374773,-81.27886,1
39.070067,-81.40762,1
38.911018,-81.07278,2
39.162229,-81.53788,2
39.646099,-80.83465,79
38.977445,-81.72789,14
39.370217,-81.17215,7
39.547803,-80.97408,5
39.387718,-81.44585,7
38.997267,-80.20915,116
38.330842,-80.64803,3
38.364123,-80.5902,7
38.857567,-80.27872,4
38.735363,-80.18033,4
38.792214,-80.3159,6
38.920042,-79.8446,252
39.032644,-79.95295,4
38.915141,-79.53066,1
38.97639,-79.95201,1
38.736144,-80,6
39.141165,-79.67466,4
38.484777,-80.38023,10
38.444873,-80.09781,1
39.149624,-79.5003,1
39.281289,-80.34348,323
39.258328,-80.28798,2
39.296499,-80.24199,186
38.856879,-80.66528,3
39.270902,-81.06189,1
38.939952,-80.84886,26
39.343418,-80.02665,16
39.171784,-81.05325,9
38.969579,-80.36881,2
39.106153,-80.42691,2
39.163304,-80.35527,8
39.378137,-80.3709,4
39.205852,-80.29416,2
39.39905,-79.82996,1
39.294877,-80.96009,3
39.155551,-80.02419,38
39.320034,-79.68442,1
39.284467,-80.57219,7
39.392285,-80.28438,5
39.204169,-80.40294,3
39.04101,-80.47731,57
39.293095,-80.77811,6
39.628475,-79.98796,28
39.646497,-79.95154,559
39.645276,-79.962669,6656
39.680786,-79.836473,4
39.61098,-79.89947,31
39.718922,-80.21137,4
39.646876,-79.59847,7
39.472924,-79.69873,34
39.69234,-79.97335,3
39.561031,-79.79533,1
39.470949,-80.13936,188
39.646936,-80.44192,5
39.513513,-80.25738,1
39.527817,-80.3586,7
38.641439,-80.67497,9
38.653616,-80.86194,4
38.704457,-80.79366,54
38.30696,-80.87329,41
39.261474,-79.50612,1
39.434856,-78.95987,35
39.248761,-79.23785,1
39.579717,-78.78539,7
39.321688,-78.74815,21
39.44763,-78.6661,1
39.454805,-79.54326,5
38.65585,-79.33975,12
38.737991,-79.43087,4
39.038183,-78.97189,13
38.959188,-79.13703,24
44.096194,-87.68919,6
