Metrix_name,uniqueID,Text_
"Blood pressure management",1,"82.96% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2,"Performing as or better than expected for 4 out of 4 indicators"
Caring,3,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",4,"81.10% of women have attended cervical screening"
"Chronic Disease Management",5,"Performing as or better than expected for 4 out of 6 indicators"
"Dementia review",6,"100% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",7,"63.16% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",8,"92.68% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",9,"86.05% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",10,"91.67% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",11,"93.75% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",12,"87.76% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",13,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",14,"95.29% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",15,"5.63 emergency admissions for ACS conditions per 1000 people"
"Flu vaccination rates (65 year",16,"63.64% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",17,"70.53% of people in at-risk groups have had a flu vaccination"
"Identifying Chronic Obstructiv",18,"0.04 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",19,"0.52 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",20,"77.67% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",21,"75.28% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",22,"78.79% of people with schizophrenia"
"Mental health â€“ care plans",23,"75.00% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",24,"14.82% of patients reported that they could not be overheard in the reception area"
"Palliative care register",25,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",26,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",27,"93.99% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",28,"90.13% of patients reported they were satisfied with the opening hours"
Responsive,29,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",30,"Performing as or better than expected for 15 out of 15 indicators"
"Seeing preferred GP",31,"54.16% of patients reported they see or speak to a GP they prefer"
"Smoking support",32,"85.60% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",33,"89.52% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",34,"81.04% of patients felt they were treated with care and concern by their nurse"
"Use of antibiotics",35,"0.16 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",36,"4.90% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",37,"73.95% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",38,"0.13 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",39,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",40,"89.34% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",41,"Performing as or better than expected for 5 out of 5 indicators"
Caring,42,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",43,"82.22% of women have attended cervical screening"
"Chronic Disease Management",44,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",45,"Low priority (Band 6)"
"Dementia review",46,"89.47% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",47,"84.06% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",48,"82.91% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",49,"87.86% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",50,"99.54% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",51,"90.83% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",52,"92.48% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",53,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",54,"44.00% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",55,"18.91 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",56,"8.99 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",57,"70.62% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",58,"44.80% of people in at-risk groups have had a flu vaccination"
"Identification of people with",59,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",60,"0.56 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",61,"0.67 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",62,"89.31% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",63,"89.34% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",64,"91.30% of people with schizophrenia"
"Mental health â€“ care plans",65,"94.44% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",66,"9.96% of patients reported that they could not be overheard in the reception area"
"Palliative care register",67,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",68,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",69,"90.42% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",70,"70.37% of patients reported they were satisfied with the opening hours"
Responsive,71,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",72,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",73,"66.73% of patients reported they see or speak to a GP they prefer"
"Smoking support",74,"97.41% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",75,"94.20% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",76,"90.37% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",77,"64.71 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",78,"0.29 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",79,"4.63% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",80,"77.52% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",81,"0.24 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",82,"98.29% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",83,"82.52% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",84,"Performing as or better than expected for 5 out of 5 indicators"
Caring,85,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",86,"80.75% of women have attended cervical screening"
"Chronic Disease Management",87,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",88,"Low priority (Band 6)"
"Dementia review",89,"91.46% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",90,"80.1% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",91,"78.45% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",92,"83.27% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",93,"94.97% of people with diabetes have had a flu vaccination"
